fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
O1a,,,,,28.421875,45.578125,382,,,,,2,193,,,0.35,60.0,20,
O1a,,,,,28.421875,45.734375,379,,,,,2,220,,,0.35,60.0,20,
O1a,,,,,28.421875,45.890625,353,,,,,2,277,,,0.35,60.0,20,
O1a,,,,,28.421875,46.046875,350,,,,,2,123,,,0.35,60.0,20,
O1a,,,,,28.421875,46.203125,355,,,,,1,249,,,0.35,60.0,20,
O1a,,,,,28.421875,46.359375,344,,,,,2,246,,,0.35,60.0,20,
O1a,,,,,28.421875,46.515625,331,,,,,1,245,,,0.35,60.0,20,
O1a,,,,,28.421875,46.671875,318,,,,,2,247,,,0.35,60.0,20,
O1a,,,,,28.421875,46.828125,309,,,,,1,230,,,0.35,60.0,20,
O1a,,,,,28.421875,46.984375,294,,,,,2,252,,,0.35,60.0,20,
O1a,,,,,28.421875,47.140625,282,,,,,2,244,,,0.35,60.0,20,
O1a,,,,,28.421875,47.296875,269,,,,,3,240,,,0.35,60.0,20,
O1a,,,,,28.421875,47.453125,251,,,,,2,253,,,0.35,60.0,20,
O1a,,,,,28.421875,47.609375,225,,,,,1,253,,,0.35,60.0,20,
O1a,,,,,28.421875,47.765625,194,,,,,2,260,,,0.35,60.0,20,
O1a,,,,,28.421875,47.921875,174,,,,,3,264,,,0.35,60.0,20,
O1a,,,,,28.421875,48.078125,118,,,,,2,258,,,0.35,60.0,20,
O1a,,,,,28.421875,48.234375,64,,,,,2,269,,,0.35,60.0,20,
O1a,,,,,28.421875,48.390625,19,,,,,2,276,,,0.35,60.0,20,
NF,,,,,28.421875,48.546875,1,,,,,1,266,,,,,20,
NF,,,,,28.421875,48.703125,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,48.859375,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.015625,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.171875,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.328125,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.484375,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.640625,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.796875,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,49.953125,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,50.109375,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,50.265625,0,,,,,0,0,,,,,20,
NF,,,,,28.421875,50.421875,0,,,,,0,0,,,,,20,
O1a,,,,,28.265625,45.578125,395,,,,,2,229,,,0.35,60.0,20,
