Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
Saudi,2025-06-24 19:00,0.0,35.1,21,21.5,319,96.59,174.84,244.17,6.95,173.67,29.86
Saudi,2025-06-24 20:00,0.0,34.5,22,22.0,320,96.59,174.84,244.17,6.95,173.67,29.86
Saudi,2025-06-24 21:00,0.0,33.8,23,22.6,321,96.59,174.84,244.17,6.95,173.67,29.86
Saudi,2025-06-24 22:00,0.0,33.2,23,23.2,322,96.59,174.84,244.17,6.95,173.67,29.86
Saudi,2025-06-24 23:00,0.0,32.5,24,23.7,323,96.59,174.84,244.17,6.95,173.67,29.86
Saudi,2025-06-25 00:00,0.0,31.9,25,24.3,324,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 01:00,0.0,32.6,24,24.1,324,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 02:00,0.0,33.3,23,23.9,324,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 03:00,0.0,34.0,22,23.6,325,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 04:00,0.0,34.7,21,23.4,325,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 05:00,0.0,35.5,20,23.2,326,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 06:00,0.0,36.2,20,23.0,326,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 07:00,0.0,36.7,19,23.1,326,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 08:00,0.0,37.2,19,23.3,325,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 09:00,0.0,37.8,18,23.5,325,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 10:00,0.0,38.3,18,23.6,324,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 11:00,0.0,38.8,18,23.8,324,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 12:00,0.0,39.4,18,24.0,323,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 13:00,0.0,38.7,18,22.5,323,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 14:00,0.0,38.0,19,21.0,322,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 15:00,0.0,37.3,19,19.6,320,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 16:00,0.0,36.6,20,18.1,319,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 17:00,0.0,36.0,20,16.7,317,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 18:00,0.0,35.3,21,15.3,315,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 19:00,0.0,34.7,21,15.9,314,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 20:00,0.0,34.1,22,16.5,313,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 21:00,0.0,33.5,22,17.1,312,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 22:00,0.0,32.9,23,17.8,311,96.64,182.53,253.99,6.51,181.28,28.79
Saudi,2025-06-25 23:00,0.0,32.4,23,18.4,310,96.64,182.53,253.99,6.51,181.28,28.79
