ent_coef,seed,episode,reward,burned_cells,fire_intensity,mean_entropy,mean_repeated
0.005,0,0,-3316.8282641585392,79,154.5458984375,-1.4428232973175175e-12,1.0
0.005,0,1,-3683.0807125764695,92,173.47503662109375,-1.4428232973175175e-12,1.0
0.005,0,2,-3510.860382921306,102,168.9289093017578,-1.4428232973175175e-12,1.0
0.005,0,3,-3395.5597003532457,85,157.0596466064453,-1.4428232973175175e-12,1.0
0.005,0,4,-3503.129856683083,82,164.00558471679688,-1.4428232973175175e-12,1.0
0.005,0,5,-3213.311797571333,97,181.1396484375,-1.4428232973175175e-12,1.0
0.005,0,6,-3231.7349180953715,82,156.2013702392578,-1.4428232973175175e-12,1.0
0.005,0,7,-3855.214232549013,106,187.55902099609375,-1.4428232973175175e-12,1.0
0.005,0,8,-3446.1414474625853,101,170.13302612304688,-1.4428232973175175e-12,1.0
0.005,0,9,-3081.4154902579057,92,160.1279754638672,-1.4428232973175175e-12,1.0
0.005,0,10,-3190.02961628682,87,159.65213012695312,-1.4428232973175175e-12,1.0
0.005,0,11,-3356.0629542680663,86,167.7266387939453,-1.4428232973175175e-12,1.0
0.005,0,12,-3065.665358135921,80,155.2617645263672,-1.4428232973175175e-12,1.0
0.005,0,13,-3631.424237615911,87,174.76931762695312,-1.4428232973175175e-12,1.0
0.005,0,14,-3862.2922192314963,92,178.87380981445312,-1.4428232973175175e-12,1.0
0.005,0,15,-4138.387625817136,104,184.38059997558594,-1.4428232973175175e-12,1.0
0.005,0,16,-3329.6034270142122,98,167.70071411132812,-1.4428232973175175e-12,1.0
0.005,0,17,-3625.879224327892,114,201.68629455566406,-1.4428232973175175e-12,1.0
0.005,0,18,-3461.0388971084412,82,161.04827880859375,-1.4428232973175175e-12,1.0
0.005,0,19,-3282.561677592368,89,154.8245086669922,-1.4428232973175175e-12,1.0
0.005,1,0,-3195.2008899641846,79,152.62945556640625,-1.4428232973175175e-12,1.0
0.005,1,1,-3652.9793951121737,95,174.1523895263672,-1.4428232973175175e-12,1.0
0.005,1,2,-3382.118718382241,101,168.5050048828125,-1.4428232973175175e-12,1.0
0.005,1,3,-3410.498599980091,84,156.76829528808594,-1.4428232973175175e-12,1.0
0.005,1,4,-3502.542209712657,85,164.50086975097656,-1.4428232973175175e-12,1.0
0.005,1,5,-4109.56122603797,107,190.73350524902344,-1.4428232973175175e-12,1.0
0.005,1,6,-4012.5266982776634,97,176.27178955078125,-1.4428232973175175e-12,1.0
0.005,1,7,-3907.807370806704,110,189.65293884277344,-1.4428232973175175e-12,1.0
0.005,1,8,-4004.115227471202,105,175.4569091796875,-1.4428232973175175e-12,1.0
0.005,1,9,-3918.964810633892,93,175.0628662109375,-1.4428232973175175e-12,1.0
0.005,1,10,-3216.282979506698,88,160.55923461914062,-1.4428232973175175e-12,1.0
0.005,1,11,-3399.142363804624,89,168.24349975585938,-1.4428232973175175e-12,1.0
0.005,1,12,-3095.619524204919,83,156.07901000976562,-1.4428232973175175e-12,1.0
0.005,1,13,-4361.381968816457,104,199.93272399902344,-1.4428232973175175e-12,1.0
0.005,1,14,-4305.426430929819,94,188.47930908203125,-1.4428232973175175e-12,1.0
0.005,1,15,-4171.912544053249,105,185.1541748046875,-1.4428232973175175e-12,1.0
0.005,1,16,-3309.2046806597405,93,166.56007385253906,-1.4428232973175175e-12,1.0
0.005,1,17,-3641.771588405838,114,201.2488555908203,-1.4428232973175175e-12,1.0
0.005,1,18,-3032.90362307967,78,155.04534912109375,-1.4428232973175175e-12,1.0
0.005,1,19,-3288.780228905264,90,155.2430419921875,-1.4428232973175175e-12,1.0
0.005,2,0,-3345.0902252501264,83,155.68017578125,-1.4428232973175175e-12,1.0
0.005,2,1,-3697.7702927368873,96,171.7173309326172,-1.4428232973175175e-12,1.0
0.005,2,2,-3513.0848417457028,99,165.6303253173828,-1.4428232973175175e-12,1.0
0.005,2,3,-3414.9230016433366,85,153.42910766601562,-1.4428232973175175e-12,1.0
0.005,2,4,-3512.1093553051915,84,162.0487518310547,-1.4428232973175175e-12,1.0
0.005,2,5,-4088.7561952825736,105,182.0906219482422,-1.4428232973175175e-12,1.0
0.005,2,6,-4054.4224170605657,97,174.57980346679688,-1.4428232973175175e-12,1.0
0.005,2,7,-3859.2961661961895,109,183.58981323242188,-1.4428232973175175e-12,1.0
0.005,2,8,-3998.9667698275093,102,169.53665161132812,-1.4428232973175175e-12,1.0
0.005,2,9,-3888.1844482763017,91,168.71453857421875,-1.4428232973175175e-12,1.0
0.005,2,10,-3221.9890676115683,91,159.79763793945312,-1.4428232973175175e-12,1.0
0.005,2,11,-3374.249675132209,89,165.4818115234375,-1.4428232973175175e-12,1.0
0.005,2,12,-3111.453949700471,83,156.3311767578125,-1.4428232973175175e-12,1.0
0.005,2,13,-4322.956702789745,102,194.76365661621094,-1.4428232973175175e-12,1.0
0.005,2,14,-4287.600601964528,92,184.32199096679688,-1.4428232973175175e-12,1.0
0.005,2,15,-4146.895430589786,103,180.874755859375,-1.4428232973175175e-12,1.0
0.005,2,16,-3280.147489305613,95,160.79576110839844,-1.4428232973175175e-12,1.0
0.005,2,17,-3564.281552574659,114,194.76431274414062,-1.4428232973175175e-12,1.0
0.005,2,18,-3476.870963410711,86,159.52777099609375,-1.4428232973175175e-12,1.0
0.005,2,19,-3302.9091320039324,90,152.841064453125,-1.4428232973175175e-12,1.0
0.01,0,0,-3317.404574244041,79,154.5458984375,-1.4428232973175175e-12,1.0
0.01,0,1,-3683.6570227804405,92,173.47503662109375,-1.4428232973175175e-12,1.0
0.01,0,2,-3511.436693243745,102,168.9289093017578,-1.4428232973175175e-12,1.0
0.01,0,3,-3396.1360104387477,85,157.0596466064453,-1.4428232973175175e-12,1.0
0.01,0,4,-3503.706166531648,82,164.00558471679688,-1.4428232973175175e-12,1.0
0.01,0,5,-3213.8881077753035,97,181.1396484375,-1.4428232973175175e-12,1.0
0.01,0,6,-3232.311228062405,82,156.2013702392578,-1.4428232973175175e-12,1.0
0.01,0,7,-3855.290543108389,106,187.55902099609375,-1.4428232973175175e-12,1.0
0.01,0,8,-3446.717757666556,101,170.13302612304688,-1.4428232973175175e-12,1.0
0.01,0,9,-3082.491800876516,92,160.1279754638672,-1.4428232973175175e-12,1.0
0.01,0,10,-3190.6059262538533,87,159.65213012695312,-1.4428232973175175e-12,1.0
0.01,0,11,-3356.6392643535683,86,167.7266387939453,-1.4428232973175175e-12,1.0
0.01,0,12,-3067.741668221423,80,155.2617645263672,-1.4428232973175175e-12,1.0
0.01,0,13,-3631.8492344130273,87,174.6693572998047,-1.4428232973175175e-12,1.0
0.01,0,14,-3862.7621046877775,92,178.86419677734375,-1.4428232973175175e-12,1.0
0.01,0,15,-4138.936186198602,104,184.3795166015625,-1.4428232973175175e-12,1.0
0.01,0,16,-3330.6797369812457,98,167.70071411132812,-1.4428232973175175e-12,1.0
0.01,0,17,-3632.2212955503505,115,203.28048706054688,-1.4428232973175175e-12,1.0
0.01,0,18,-3461.615207075475,82,161.04827880859375,-1.4428232973175175e-12,1.0
0.01,0,19,-3283.137987914807,89,154.8245086669922,-1.4428232973175175e-12,1.0
0.01,1,0,-3195.2008899641846,79,152.62945556640625,-1.4428232973175175e-12,1.0
0.01,1,1,-3652.9793951121737,95,174.1523895263672,-1.4428232973175175e-12,1.0
0.01,1,2,-3382.118718382241,101,168.5050048828125,-1.4428232973175175e-12,1.0
0.01,1,3,-3410.498599980091,84,156.76829528808594,-1.4428232973175175e-12,1.0
0.01,1,4,-3502.542209712657,85,164.50086975097656,-1.4428232973175175e-12,1.0
0.01,1,5,-4109.56122603797,107,190.73350524902344,-1.4428232973175175e-12,1.0
0.01,1,6,-4012.5266982776634,97,176.27178955078125,-1.4428232973175175e-12,1.0
0.01,1,7,-3907.807370806704,110,189.65293884277344,-1.4428232973175175e-12,1.0
0.01,1,8,-4004.115227471202,105,175.4569091796875,-1.4428232973175175e-12,1.0
0.01,1,9,-3918.964810633892,93,175.0628662109375,-1.4428232973175175e-12,1.0
0.01,1,10,-3216.282979506698,88,160.55923461914062,-1.4428232973175175e-12,1.0
0.01,1,11,-3399.142363804624,89,168.24349975585938,-1.4428232973175175e-12,1.0
0.01,1,12,-3095.619524204919,83,156.07901000976562,-1.4428232973175175e-12,1.0
0.01,1,13,-4361.381968816457,104,199.93272399902344,-1.4428232973175175e-12,1.0
0.01,1,14,-4305.426430929819,94,188.47930908203125,-1.4428232973175175e-12,1.0
0.01,1,15,-4171.912544053249,105,185.1541748046875,-1.4428232973175175e-12,1.0
0.01,1,16,-3309.2046806597405,93,166.56007385253906,-1.4428232973175175e-12,1.0
0.01,1,17,-3641.771588405838,114,201.2488555908203,-1.4428232973175175e-12,1.0
0.01,1,18,-3032.90362307967,78,155.04534912109375,-1.4428232973175175e-12,1.0
0.01,1,19,-3288.780228905264,90,155.2430419921875,-1.4428232973175175e-12,1.0
0.01,2,0,-3196.1082123761976,79,152.3673095703125,-1.4428232973175175e-12,1.0
0.01,2,1,-3620.1344713319713,95,170.73422241210938,-1.4428232973175175e-12,1.0
0.01,2,2,-3375.8352434977514,101,167.11053466796875,-1.4428232973175175e-12,1.0
0.01,2,3,-3397.447675545706,84,155.23956298828125,-1.4428232973175175e-12,1.0
0.01,2,4,-3490.9639418026927,84,162.5240936279297,-1.4428232973175175e-12,1.0
0.01,2,5,-4042.391116140807,106,183.9579315185547,-1.4428232973175175e-12,1.0
0.01,2,6,-3991.228354945919,96,173.8013458251953,-1.4428232973175175e-12,1.0
0.01,2,7,-3895.3181262223566,110,187.52273559570312,-1.4428232973175175e-12,1.0
0.01,2,8,-3967.914752618819,103,170.0843505859375,-1.4428232973175175e-12,1.0
0.01,2,9,-3858.474566175476,90,169.53924560546875,-1.4428232973175175e-12,1.0
0.01,2,10,-3215.3231457323404,88,160.05490112304688,-1.4428232973175175e-12,1.0
0.01,2,11,-3394.2299773719096,89,166.69540405273438,-1.4428232973175175e-12,1.0
0.01,2,12,-3088.01949931956,83,154.2944793701172,-1.4428232973175175e-12,1.0
0.01,2,13,-4336.118152948849,103,196.75015258789062,-1.4428232973175175e-12,1.0
0.01,2,14,-4252.619835319896,91,183.04217529296875,-1.4428232973175175e-12,1.0
0.01,2,15,-4133.421144704744,103,181.44285583496094,-1.4428232973175175e-12,1.0
0.01,2,16,-3279.9149403321435,92,162.7679901123047,-1.4428232973175175e-12,1.0
0.01,2,17,-3598.883220156616,114,195.76248168945312,-1.4428232973175175e-12,1.0
0.01,2,18,-3029.1542859572146,78,153.71640014648438,-1.4428232973175175e-12,1.0
0.01,2,19,-3279.8839556090106,89,153.37762451171875,-1.4428232973175175e-12,1.0
0.02,0,0,-3316.8282641585392,79,154.5458984375,-1.4428232973175175e-12,1.0
0.02,0,1,-3683.0807125764695,92,173.47503662109375,-1.4428232973175175e-12,1.0
0.02,0,2,-3510.860382921306,102,168.9289093017578,-1.4428232973175175e-12,1.0
0.02,0,3,-3395.5597003532457,85,157.0596466064453,-1.4428232973175175e-12,1.0
0.02,0,4,-3503.129856683083,82,164.00558471679688,-1.4428232973175175e-12,1.0
0.02,0,5,-3213.311797571333,97,181.1396484375,-1.4428232973175175e-12,1.0
0.02,0,6,-3231.7349180953715,82,156.2013702392578,-1.4428232973175175e-12,1.0
0.02,0,7,-3855.214232549013,106,187.55902099609375,-1.4428232973175175e-12,1.0
0.02,0,8,-3446.1414474625853,101,170.13302612304688,-1.4428232973175175e-12,1.0
0.02,0,9,-3081.4154902579057,92,160.1279754638672,-1.4428232973175175e-12,1.0
0.02,0,10,-3190.02961628682,87,159.65213012695312,-1.4428232973175175e-12,1.0
0.02,0,11,-3356.0629542680663,86,167.7266387939453,-1.4428232973175175e-12,1.0
0.02,0,12,-3065.665358135921,80,155.2617645263672,-1.4428232973175175e-12,1.0
0.02,0,13,-3631.424237615911,87,174.76931762695312,-1.4428232973175175e-12,1.0
0.02,0,14,-3862.2922192314963,92,178.87380981445312,-1.4428232973175175e-12,1.0
0.02,0,15,-4138.387625817136,104,184.38059997558594,-1.4428232973175175e-12,1.0
0.02,0,16,-3329.6034270142122,98,167.70071411132812,-1.4428232973175175e-12,1.0
0.02,0,17,-3625.879224327892,114,201.68629455566406,-1.4428232973175175e-12,1.0
0.02,0,18,-3461.0388971084412,82,161.04827880859375,-1.4428232973175175e-12,1.0
0.02,0,19,-3282.561677592368,89,154.8245086669922,-1.4428232973175175e-12,1.0
0.02,1,0,-3167.5819422591644,76,150.25408935546875,-1.4428232973175175e-12,1.0
0.02,1,1,-3600.4341394883527,91,171.1766357421875,-1.4428232973175175e-12,1.0
0.02,1,2,-3337.285067860763,99,165.9825897216797,-1.4428232973175175e-12,1.0
0.02,1,3,-3343.6557231917322,83,154.4200439453125,-1.4428232973175175e-12,1.0
0.02,1,4,-3444.8298131730535,82,161.77841186523438,-1.4428232973175175e-12,1.0
0.02,1,5,-3109.837052486396,96,178.17068481445312,-1.4428232973175175e-12,1.0
0.02,1,6,-3139.4829386739525,79,153.93679809570312,-1.4428232973175175e-12,1.0
0.02,1,7,-3845.6878931328874,106,186.40231323242188,-1.4428232973175175e-12,1.0
0.02,1,8,-3383.975697761286,100,167.575439453125,-1.4428232973175175e-12,1.0
