region,num_agents,policy,version,seed,episode,reward,burned_cells,fire_intensity
saudi,3,noop,baseline,0,0,-3410.0600554484927,87,159.2749481201172
saudi,3,noop,baseline,0,1,-3729.112081597332,97,171.90802001953125
saudi,3,noop,baseline,0,2,-3555.3459995292324,101,167.885009765625
saudi,3,noop,baseline,0,3,-3464.976554353903,88,156.1354522705078
saudi,3,noop,baseline,0,4,-3576.208931188432,87,163.48709106445312
saudi,3,noop,baseline,0,5,-4115.635308589003,109,182.33538818359375
saudi,3,noop,baseline,0,6,-4056.4557514052694,95,172.56390380859375
saudi,3,noop,baseline,0,7,-3885.1039397317877,110,183.71266174316406
saudi,3,noop,baseline,0,8,-4012.1533974837316,103,168.4510498046875
saudi,3,noop,baseline,0,9,-3891.285199840852,92,166.67864990234375
saudi,3,noop,baseline,0,10,-3251.5015711083092,91,161.69216918945312
saudi,3,noop,baseline,0,11,-3399.6543063147637,90,167.5146484375
saudi,3,noop,baseline,0,12,-3124.4655326377992,83,157.34014892578125
saudi,3,noop,baseline,0,13,-4302.263083135882,101,192.78744506835938
saudi,3,noop,baseline,0,14,-4297.457984950974,92,179.3426513671875
saudi,3,noop,baseline,0,15,-4195.526503631618,106,182.87649536132812
saudi,3,noop,baseline,0,16,-3291.4257716503503,95,161.95361328125
saudi,3,noop,baseline,0,17,-3590.3250316132244,115,198.33859252929688
saudi,3,noop,baseline,0,18,-3517.9520361149084,86,161.4877166748047
saudi,3,noop,baseline,0,19,-3338.9571680514905,91,154.7354278564453
saudi,3,random,baseline,0,0,-3122.6647667118837,78,141.26901245117188
saudi,3,random,baseline,0,1,-3503.914537209261,88,155.11209106445312
saudi,3,random,baseline,0,2,-2819.27387386602,89,147.59710693359375
saudi,3,random,baseline,0,3,-2528.4531771020147,60,115.6165771484375
saudi,3,random,baseline,0,4,-2386.4263727456505,65,114.94264221191406
saudi,3,random,baseline,0,5,-3990.552550014542,88,163.43450927734375
saudi,3,random,baseline,0,6,-4148.068105584081,101,181.05230712890625
saudi,3,random,baseline,0,7,-3901.9420935756116,106,182.05816650390625
saudi,3,random,baseline,0,8,-3712.64112682044,81,147.74978637695312
saudi,3,random,baseline,0,9,-3089.8776864977754,76,144.0040740966797
saudi,3,random,baseline,0,10,-3273.759651779267,91,165.0952606201172
saudi,3,random,baseline,0,11,-3375.40123008521,87,157.11790466308594
saudi,3,random,baseline,0,12,-2401.5183606805367,53,108.53565979003906
saudi,3,random,baseline,0,13,-3206.8567504775583,75,155.08143615722656
saudi,3,random,baseline,0,14,-3641.268633183982,86,167.41766357421875
saudi,3,random,baseline,0,15,-3578.566114089173,89,154.83035278320312
saudi,3,random,baseline,0,16,-3035.289881983693,88,156.9085693359375
saudi,3,random,baseline,0,17,-3084.5296986815397,88,161.30047607421875
saudi,3,random,baseline,0,18,-2701.8617102499784,61,129.18655395507812
saudi,3,random,baseline,0,19,-3104.378735262367,77,131.89736938476562
saudi,3,nearest_fire,baseline,0,0,54.1372077369705,0,0.09763473272323608
saudi,3,nearest_fire,baseline,0,1,91.69369926202756,0,0.07277540117502213
saudi,3,nearest_fire,baseline,0,2,148.732209829647,0,0.09781274944543839
saudi,3,nearest_fire,baseline,0,3,113.66325013789502,0,0.0999949648976326
saudi,3,nearest_fire,baseline,0,4,21.50544450221856,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,5,29.349008085742025,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,6,73.62587761475834,0,0.09706306457519531
saudi,3,nearest_fire,baseline,0,7,104.64914987215299,0,0.09871098399162292
saudi,3,nearest_fire,baseline,0,8,108.3275373157029,0,0.09719039499759674
saudi,3,nearest_fire,baseline,0,9,112.02050188294376,0,0.09722106903791428
saudi,3,nearest_fire,baseline,0,10,83.83463128770039,0,0.097129225730896
saudi,3,nearest_fire,baseline,0,11,10.069314532013678,0,0.09103535115718842
saudi,3,nearest_fire,baseline,0,12,101.26210064452006,0,0.09855146706104279
saudi,3,nearest_fire,baseline,0,13,20.497605995434537,0,0.09767003357410431
saudi,3,nearest_fire,baseline,0,14,135.37451178342175,0,0.0783395916223526
saudi,3,nearest_fire,baseline,0,15,58.7480451605041,0,0.09999755769968033
saudi,3,nearest_fire,baseline,0,16,53.675679589399294,0,0.09999755769968033
saudi,3,nearest_fire,baseline,0,17,98.2544454017822,0,0.08802138268947601
saudi,3,nearest_fire,baseline,0,18,22.633473526127112,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,19,16.044952458265808,0,0.09763473272323608
saudi,3,frontier,baseline,0,0,54.1372077369705,0,0.09763473272323608
saudi,3,frontier,baseline,0,1,91.69369926202756,0,0.07277540117502213
saudi,3,frontier,baseline,0,2,148.732209829647,0,0.09781274944543839
saudi,3,frontier,baseline,0,3,113.66325013789502,0,0.0999949648976326
saudi,3,frontier,baseline,0,4,21.50544450221856,0,0.09974584728479385
saudi,3,frontier,baseline,0,5,29.349008085742025,0,0.09974584728479385
saudi,3,frontier,baseline,0,6,73.62587761475834,0,0.09706306457519531
saudi,3,frontier,baseline,0,7,104.64914987215299,0,0.09871098399162292
saudi,3,frontier,baseline,0,8,108.3275373157029,0,0.09719039499759674
saudi,3,frontier,baseline,0,9,112.02050188294376,0,0.09722106903791428
saudi,3,frontier,baseline,0,10,83.83463128770039,0,0.097129225730896
saudi,3,frontier,baseline,0,11,10.069314532013678,0,0.09103535115718842
saudi,3,frontier,baseline,0,12,101.26210064452006,0,0.09855146706104279
saudi,3,frontier,baseline,0,13,20.497605995434537,0,0.09767003357410431
saudi,3,frontier,baseline,0,14,135.37451178342175,0,0.0783395916223526
