timesteps,ep_rew_mean
2048,-6733.796054900001
4096,-5690.619794
6144,-5370.616033933333
8192,-5533.783975775
10240,-5401.005855705883
12288,-5438.4660722786875
14336,-5455.246957295775
16384,-5709.524502135803
18432,-5704.3828847065215
20480,-5715.343264910001
22528,-5601.421248999999
24576,-5597.0788896799995
26624,-5767.52518545
28672,-5821.75632943
30720,-5968.9813590700005
32768,-5839.93701125
34816,-5883.041619530001
36864,-5727.4386157
38912,-5703.335306079999
40960,-5710.5484830000005
43008,-5856.80726908
45056,-5891.18305688
47104,-5854.463659729999
49152,-5835.7235570899975
51200,-5890.882905549999
53248,-5955.25154657
55296,-5928.44557534
57344,-6040.103210050001
59392,-6079.538249690002
61440,-6093.91912172
63488,-5885.2370381
65536,-6028.622445649999
67584,-6023.16287582
69632,-5936.95321563
71680,-5903.7455739199995
73728,-5850.066314959999
75776,-5872.612653699999
77824,-5839.098862640001
79872,-5756.445736689999
81920,-5798.145366649999
83968,-5921.8883963299995
86016,-5805.07778375
88064,-5920.490643249999
90112,-5940.281583410001
92160,-6064.6589943300005
94208,-5986.391070849999
96256,-5895.52446473
98304,-5884.651533019999
100352,-5894.719137969998
