timesteps,ep_rew_mean
2048,1192.8090191
4096,1060.34510875
6144,1216.6112516333335
8192,1214.2213131249998
10240,1147.4689073333332
12288,1099.1352339508198
14336,1151.8940054084508
16384,1178.0212645925926
18432,1122.0245131956522
20480,1126.3827523000002
22528,1147.1094872
24576,1113.45849354
26624,1085.81885264
28672,1130.07519056
30720,1168.7140862999997
32768,1196.6996655599996
34816,1143.82690013
36864,1120.84671972
38912,1173.81185893
40960,1095.88361915
43008,1088.2268971800002
45056,1114.39157923
47104,1140.8948237400002
49152,1091.00441644
51200,1092.47345913
53248,1141.92637194
55296,1185.41039217
57344,1169.2866788100002
59392,1237.17048423
61440,1218.08451237
63488,1230.91245038
65536,1234.17858518
67584,1270.5158308599998
69632,1256.2117391799998
71680,1236.4186117400002
73728,1186.47305134
75776,1152.60176494
77824,1163.23263259
79872,1135.51861439
81920,1122.5198065200002
83968,1122.64889359
86016,1117.4153504699998
88064,1118.76128372
90112,1141.81834848
92160,1106.064982
94208,1180.24452353
96256,1240.3858047
98304,1201.55229393
100352,1205.65581897
