env_steps,episode,episode_return,WEL,ISR
150,1,-43.64999999999997,18.0,0.5
300,2,-60.98333333333331,22.0,0.3333333333333333
360,3,-13.73333333333334,6.0,0.8333333333333334
401,4,0.0,0.0,1.0
551,5,-49.24999999999999,12.0,0.5
701,6,-23.683333333333348,6.0,0.8333333333333334
721,7,0.04999999999999716,0.0,1.0
871,8,-64.7333333333333,18.0,0.3333333333333333
1021,9,-11.949999999999994,0.0,1.0
1171,10,-75.86666666666665,28.0,0.16666666666666666
1321,11,-59.733333333333356,22.0,0.3333333333333333
1471,12,-46.49999999999997,12.0,0.5
1621,13,-41.79999999999995,15.0,0.5
1771,14,-61.13333333333334,22.0,0.3333333333333333
1921,15,-74.41666666666667,28.0,0.16666666666666666
2071,16,-63.183333333333366,22.0,0.3333333333333333
2095,17,0.05,0.0,1.0
2245,18,-66.5833333333333,25.0,0.3333333333333333
2395,19,-18.783333333333342,6.0,0.8333333333333334
2545,20,-56.45,16.0,0.5
2695,21,-51.466666666666676,16.0,0.6666666666666666
2761,22,-1.2000000000000004,0.0,1.0
2902,23,-54.43333333333334,18.0,0.3333333333333333
3028,24,-60.633333333333304,18.0,0.3333333333333333
3178,25,-56.183333333333316,18.0,0.3333333333333333
3328,26,-41.299999999999976,12.0,0.5
3478,27,-63.33333333333331,18.0,0.3333333333333333
3545,28,-12.833333333333337,6.0,0.8333333333333334
3614,29,-13.533333333333335,6.0,0.8333333333333334
3764,30,-53.19999999999998,12.0,0.5
3914,31,-38.5666666666667,9.0,0.6666666666666666
4064,32,-59.03333333333333,22.0,0.3333333333333333
4214,33,-43.46666666666663,9.0,0.6666666666666666
4280,34,-13.033333333333339,6.0,0.8333333333333334
4430,35,-18.933333333333344,6.0,0.8333333333333334
4580,36,-58.050000000000004,19.0,0.5
4657,37,-13.333333333333334,6.0,0.8333333333333334
4807,38,-51.44999999999998,12.0,0.5
4957,39,-67.96666666666671,28.0,0.16666666666666666
5107,40,-46.66666666666665,13.0,0.6666666666666666
5257,41,-56.883333333333354,18.0,0.3333333333333333
5407,42,-59.33333333333332,18.0,0.3333333333333333
5555,43,-65.03333333333333,22.0,0.3333333333333333
5705,44,-27.866666666666674,9.0,0.6666666666666666
5855,45,-17.48333333333334,6.0,0.8333333333333334
5932,46,-15.033333333333333,6.0,0.8333333333333334
6082,47,-46.10000000000001,12.0,0.5
6128,48,-12.33333333333333,6.0,0.8333333333333334
6265,49,-49.65000000000001,12.0,0.5
6415,50,-44.41666666666668,13.0,0.6666666666666666
6565,51,-61.53333333333333,18.0,0.3333333333333333
6715,52,-50.84999999999999,19.0,0.5
6865,53,-15.649999999999999,0.0,1.0
7015,54,-58.68333333333332,21.0,0.3333333333333333
7165,55,-58.99999999999999,19.0,0.5
7315,56,-60.7333333333333,18.0,0.3333333333333333
7465,57,-34.766666666666666,6.0,0.6666666666666666
7615,58,-56.49999999999998,19.0,0.5
7681,59,-0.2,0.0,1.0
7731,60,-12.783333333333333,6.0,0.8333333333333334
7881,61,-21.533333333333335,6.0,0.8333333333333334
8031,62,-45.91666666666664,9.0,0.6666666666666666
8165,63,-79.86666666666666,28.0,0.16666666666666666
8315,64,-69.3333333333333,22.0,0.3333333333333333
8465,65,-50.93333333333334,22.0,0.3333333333333333
8615,66,-54.79999999999999,16.0,0.5
8765,67,-65.41666666666666,24.0,0.16666666666666666
8781,68,0.04999999999999999,0.0,1.0
8931,69,-48.46666666666667,16.0,0.6666666666666666
9081,70,-35.46666666666668,9.0,0.6666666666666666
9211,71,-58.44999999999997,16.0,0.5
9361,72,-53.50000000000001,19.0,0.5
9511,73,-49.55000000000002,19.0,0.5
9524,74,0.05,0.0,1.0
9674,75,-56.48333333333335,18.0,0.3333333333333333
9700,76,0.05,0.0,1.0
9850,77,-66.0333333333333,22.0,0.3333333333333333
10000,78,-65.93333333333332,22.0,0.3333333333333333
10150,79,-52.033333333333346,22.0,0.3333333333333333
10300,80,-44.81666666666666,9.0,0.6666666666666666
10450,81,-53.7,19.0,0.5
10497,82,-12.183333333333334,6.0,0.8333333333333334
10614,83,-69.06666666666666,24.0,0.16666666666666666
10671,84,-12.933333333333335,6.0,0.8333333333333334
10821,85,-86.24999999999999,34.0,0.0
10971,86,-47.46666666666665,13.0,0.6666666666666666
11121,87,-78.61666666666662,28.0,0.16666666666666666
11271,88,-69.78333333333332,22.0,0.3333333333333333
11366,89,-0.10000000000000002,0.0,1.0
11516,90,-52.90000000000001,16.0,0.5
11666,91,-65.38333333333334,25.0,0.3333333333333333
11816,92,-23.08333333333334,6.0,0.8333333333333334
11856,93,-13.433333333333334,6.0,0.8333333333333334
12006,94,-41.46666666666667,9.0,0.6666666666666666
12156,95,-68.08333333333333,22.0,0.3333333333333333
12240,96,-14.83333333333334,6.0,0.8333333333333334
12390,97,-57.10000000000004,19.0,0.5
12488,98,-3.499999999999998,0.0,1.0
12638,99,-60.23333333333334,22.0,0.3333333333333333
12788,100,-68.98333333333332,22.0,0.3333333333333333
12938,101,-70.16666666666661,24.0,0.16666666666666666
13088,102,-74.96666666666667,28.0,0.16666666666666666
13238,103,-50.90000000000001,15.0,0.5
13388,104,-49.999999999999964,12.0,0.5
13538,105,-42.06666666666668,16.0,0.6666666666666666
13579,106,-12.783333333333333,6.0,0.8333333333333334
13677,107,-2.4999999999999996,0.0,1.0
13786,108,-12.73333333333333,6.0,0.8333333333333334
13936,109,-28.116666666666667,6.0,0.6666666666666666
14083,110,-69.18333333333327,22.0,0.3333333333333333
14191,111,-13.283333333333333,6.0,0.8333333333333334
14296,112,-13.433333333333332,6.0,0.8333333333333334
14338,113,-13.383333333333333,6.0,0.8333333333333334
14467,114,-0.05000000000000002,0.0,1.0
14529,115,-0.85,0.0,1.0
14679,116,-79.86666666666665,28.0,0.16666666666666666
14829,117,-38.56666666666668,9.0,0.6666666666666666
14930,118,-6.699999999999998,0.0,1.0
15080,119,-57.10000000000002,16.0,0.5
15230,120,-17.43333333333334,6.0,0.8333333333333334
15279,121,-12.883333333333333,6.0,0.8333333333333334
15429,122,-31.966666666666676,16.0,0.6666666666666666
15449,123,0.05,0.0,1.0
15534,124,-14.033333333333337,6.0,0.8333333333333334
15684,125,-72.58333333333336,25.0,0.3333333333333333
15725,126,-13.083333333333332,6.0,0.8333333333333334
15875,127,-48.866666666666674,13.0,0.6666666666666666
15899,128,0.05,0.0,1.0
16049,129,-74.93333333333335,28.0,0.3333333333333333
16132,130,-0.8000000000000002,0.0,1.0
16282,131,-57.35000000000003,19.0,0.5
16432,132,-17.933333333333348,6.0,0.8333333333333334
16582,133,-72.23333333333328,25.0,0.3333333333333333
16732,134,-57.25,19.0,0.5
16882,135,-59.333333333333336,22.0,0.3333333333333333
17015,136,-80.91666666666671,28.0,0.16666666666666666
17165,137,-42.41666666666665,9.0,0.6666666666666666
17307,138,-74.0333333333333,25.0,0.3333333333333333
17354,139,-13.933333333333335,6.0,0.8333333333333334
17504,140,-48.55000000000004,19.0,0.5
17600,141,-15.283333333333337,6.0,0.8333333333333334
17671,142,-2.799999999999999,0.0,1.0
