env_steps,episode,episode_return,WEL,ISR
150,1,-13.633333333333347,6.0,0.8333333333333334
234,2,-14.233333333333338,6.0,0.8333333333333334
384,3,-45.516666666666666,12.0,0.6666666666666666
534,4,-31.96666666666667,9.0,0.6666666666666666
684,5,-66.68333333333332,22.0,0.3333333333333333
834,6,-60.78333333333333,22.0,0.3333333333333333
984,7,-44.96666666666666,9.0,0.6666666666666666
1096,8,-71.53333333333332,22.0,0.3333333333333333
1195,9,-4.6999999999999975,0.0,1.0
1253,10,-14.283333333333339,6.0,0.8333333333333334
1403,11,-23.93333333333333,3.0,0.8333333333333334
1553,12,-35.36666666666666,9.0,0.6666666666666666
1597,13,-13.133333333333338,6.0,0.8333333333333334
1747,14,-21.78333333333333,6.0,0.8333333333333334
1897,15,-26.383333333333358,6.0,0.8333333333333334
1970,16,-0.15,0.0,1.0
2120,17,-3.749999999999998,0.0,1.0
2270,18,-27.466666666666672,9.0,0.6666666666666666
2420,19,-72.18333333333334,25.0,0.3333333333333333
2570,20,-37.76666666666666,12.0,0.6666666666666666
2642,21,-15.483333333333341,6.0,0.8333333333333334
2709,22,-15.033333333333344,6.0,0.8333333333333334
2734,23,-0.15000000000000002,0.0,1.0
2884,24,-37.66666666666668,6.0,0.6666666666666666
3034,25,-33.61666666666667,6.0,0.6666666666666666
3141,26,-0.7000000000000002,0.0,1.0
3163,27,-0.04999999999999993,0.0,1.0
3313,28,-13.550000000000006,0.0,1.0
3385,29,-13.83333333333334,6.0,0.8333333333333334
3535,30,-76.8666666666666,28.0,0.16666666666666666
3678,31,-79.7166666666667,28.0,0.16666666666666666
3828,32,-71.16666666666667,28.0,0.16666666666666666
3922,33,-13.383333333333342,6.0,0.8333333333333334
4072,34,-49.11666666666666,13.0,0.6666666666666666
4222,35,-14.733333333333333,3.0,0.8333333333333334
4372,36,-63.23333333333333,22.0,0.3333333333333333
4507,37,-64.4833333333333,18.0,0.3333333333333333
4589,38,-1.2000000000000002,0.0,1.0
4739,39,-32.71666666666667,9.0,0.6666666666666666
4889,40,-38.31666666666667,9.0,0.6666666666666666
4957,41,-4.1,0.0,1.0
5015,42,-1.1500000000000001,0.0,1.0
5165,43,-34.11666666666668,9.0,0.6666666666666666
5315,44,-45.66666666666666,9.0,0.6666666666666666
5465,45,-12.999999999999998,0.0,1.0
5615,46,-23.43333333333336,6.0,0.8333333333333334
5765,47,-45.349999999999994,19.0,0.5
5897,48,-81.96666666666668,28.0,0.16666666666666666
6047,49,-34.66666666666668,6.0,0.6666666666666666
6197,50,-22.483333333333327,3.0,0.8333333333333334
6280,51,-13.333333333333334,6.0,0.8333333333333334
6300,52,0.04999999999999999,0.0,1.0
6450,53,-53.55000000000001,16.0,0.5
6600,54,-25.433333333333366,6.0,0.8333333333333334
6750,55,-37.4,12.0,0.5
6900,56,-14.68333333333334,6.0,0.8333333333333334
7050,57,-45.75000000000001,19.0,0.5
7113,58,-1.3499999999999999,0.0,1.0
7128,59,0.05,0.0,1.0
7184,60,-3.299999999999999,0.0,1.0
7241,61,-2.9499999999999993,0.0,1.0
7294,62,-13.53333333333334,6.0,0.8333333333333334
7444,63,-8.499999999999998,0.0,1.0
7594,64,-13.483333333333329,3.0,0.8333333333333334
7672,65,-14.533333333333339,6.0,0.8333333333333334
7822,66,-39.60000000000001,12.0,0.5
7972,67,-34.61666666666669,9.0,0.6666666666666666
8122,68,-29.16666666666669,9.0,0.6666666666666666
8272,69,-24.383333333333354,6.0,0.8333333333333334
8310,70,-1.3877787807814457e-17,0.0,1.0
8369,71,-14.083333333333336,6.0,0.8333333333333334
8519,72,-49.21666666666668,13.0,0.6666666666666666
8669,73,-22.13333333333336,6.0,0.8333333333333334
8819,74,-24.966666666666672,9.0,0.6666666666666666
8875,75,-0.10000000000000003,0.0,1.0
8930,76,-2.050000000000001,0.0,1.0
8970,77,-12.483333333333336,6.0,0.8333333333333334
9076,78,-13.283333333333335,6.0,0.8333333333333334
9186,79,-12.033333333333331,6.0,0.8333333333333334
9336,80,-45.55000000000002,12.0,0.5
9486,81,-34.71666666666668,9.0,0.6666666666666666
9636,82,-11.799999999999992,0.0,1.0
9786,83,-48.26666666666667,16.0,0.6666666666666666
9915,84,-2.8499999999999983,0.0,1.0
9947,85,-0.04999999999999995,0.0,1.0
10097,86,-57.65,19.0,0.5
10247,87,-60.38333333333333,22.0,0.3333333333333333
10377,88,-65.2833333333333,18.0,0.3333333333333333
10442,89,-14.083333333333334,6.0,0.8333333333333334
10592,90,-2.0500000000000007,0.0,1.0
10742,91,-54.96666666666663,16.0,0.6666666666666666
10788,92,-12.383333333333338,6.0,0.8333333333333334
10938,93,-26.733333333333352,6.0,0.8333333333333334
11088,94,-20.63333333333335,6.0,0.8333333333333334
11227,95,-80.31666666666666,28.0,0.16666666666666666
11377,96,-64.43333333333332,22.0,0.3333333333333333
11512,97,-77.61666666666665,28.0,0.16666666666666666
11662,98,-27.48333333333333,10.0,0.8333333333333334
11769,99,-12.283333333333331,6.0,0.8333333333333334
11808,100,-12.383333333333331,6.0,0.8333333333333334
11958,101,-15.350000000000007,0.0,1.0
12108,102,-39.4833333333333,10.0,0.8333333333333334
12240,103,-12.983333333333336,6.0,0.8333333333333334
12390,104,-76.21666666666664,28.0,0.16666666666666666
12431,105,0.05,0.0,1.0
12581,106,-15.65,0.0,1.0
12650,107,-3.8999999999999986,0.0,1.0
12708,108,-4.899999999999999,0.0,1.0
12858,109,-30.333333333333346,3.0,0.8333333333333334
12907,110,-12.483333333333333,6.0,0.8333333333333334
13057,111,-42.16666666666665,13.0,0.6666666666666666
13117,112,-13.433333333333337,6.0,0.8333333333333334
13267,113,-38.54999999999999,12.0,0.5
13313,114,-3.5499999999999994,0.0,1.0
13463,115,-15.999999999999993,0.0,1.0
13613,116,-51.50000000000001,19.0,0.5
13629,117,0.04999999999999999,0.0,1.0
13779,118,-44.86666666666664,9.0,0.6666666666666666
13929,119,-60.749999999999986,19.0,0.5
14079,120,-45.20000000000002,19.0,0.5
14141,121,-2.1999999999999997,0.0,1.0
14218,122,-0.29999999999999993,0.0,1.0
14276,123,-11.333333333333337,6.0,0.8333333333333334
14426,124,-48.55,19.0,0.5
14576,125,-39.716666666666654,6.0,0.6666666666666666
14726,126,-67.98333333333333,25.0,0.3333333333333333
14876,127,-25.35,0.0,1.0
