/home/ali_akarma/venvs/wildfire-marl/lib/python3.12/site-packages/torch/cuda/__init__.py:187: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Training on device: cpu | Region: SAUDI | Reward: welisr
Starting QMIX training...
Steps: 2000/100000 | Mean Return: -41.29 | Epsilon: 0.97
Steps: 4000/100000 | Mean Return: -41.29 | Epsilon: 0.94
Steps: 6000/100000 | Mean Return: -41.29 | Epsilon: 0.91
Steps: 8000/100000 | Mean Return: -41.29 | Epsilon: 0.87
Steps: 10000/100000 | Mean Return: -40.20 | Epsilon: 0.84
Steps: 12000/100000 | Mean Return: -40.60 | Epsilon: 0.81
Steps: 14000/100000 | Mean Return: -41.29 | Epsilon: 0.78
Steps: 16000/100000 | Mean Return: -41.29 | Epsilon: 0.75
Steps: 18000/100000 | Mean Return: -40.60 | Epsilon: 0.72
Steps: 20000/100000 | Mean Return: -41.30 | Epsilon: 0.68
Steps: 22000/100000 | Mean Return: -41.29 | Epsilon: 0.65
Steps: 24000/100000 | Mean Return: -41.29 | Epsilon: 0.62
Steps: 26000/100000 | Mean Return: -41.30 | Epsilon: 0.59
Steps: 28000/100000 | Mean Return: -41.29 | Epsilon: 0.56
Steps: 30000/100000 | Mean Return: -37.72 | Epsilon: 0.53
Steps: 32000/100000 | Mean Return: -40.20 | Epsilon: 0.49
Steps: 34000/100000 | Mean Return: -41.31 | Epsilon: 0.46
Steps: 36000/100000 | Mean Return: -41.31 | Epsilon: 0.43
Steps: 38000/100000 | Mean Return: -41.29 | Epsilon: 0.40
Steps: 40000/100000 | Mean Return: -40.20 | Epsilon: 0.37
Steps: 42000/100000 | Mean Return: -40.60 | Epsilon: 0.34
Steps: 44000/100000 | Mean Return: -39.24 | Epsilon: 0.30
Steps: 46000/100000 | Mean Return: -40.61 | Epsilon: 0.27
Steps: 48000/100000 | Mean Return: -41.29 | Epsilon: 0.24
Steps: 50000/100000 | Mean Return: -41.29 | Epsilon: 0.21
Steps: 52000/100000 | Mean Return: -40.20 | Epsilon: 0.18
Steps: 54000/100000 | Mean Return: -41.29 | Epsilon: 0.15
Steps: 56000/100000 | Mean Return: -40.00 | Epsilon: 0.11
Steps: 58000/100000 | Mean Return: -41.31 | Epsilon: 0.08
Steps: 60000/100000 | Mean Return: -41.62 | Epsilon: 0.05
Steps: 62000/100000 | Mean Return: -37.38 | Epsilon: 0.05
Steps: 64000/100000 | Mean Return: -38.77 | Epsilon: 0.05
Steps: 66000/100000 | Mean Return: -27.80 | Epsilon: 0.05
Steps: 68000/100000 | Mean Return: -35.04 | Epsilon: 0.05
Steps: 70000/100000 | Mean Return: -36.31 | Epsilon: 0.05
Steps: 72000/100000 | Mean Return: -40.07 | Epsilon: 0.05
Steps: 74000/100000 | Mean Return: -39.90 | Epsilon: 0.05
Steps: 76000/100000 | Mean Return: -41.30 | Epsilon: 0.05
Steps: 78000/100000 | Mean Return: -41.29 | Epsilon: 0.05
Steps: 80000/100000 | Mean Return: -40.60 | Epsilon: 0.05
Steps: 82000/100000 | Mean Return: -36.64 | Epsilon: 0.05
Steps: 84000/100000 | Mean Return: -40.20 | Epsilon: 0.05
Steps: 86000/100000 | Mean Return: -41.29 | Epsilon: 0.05
Steps: 88000/100000 | Mean Return: -37.14 | Epsilon: 0.05
Steps: 90000/100000 | Mean Return: -39.15 | Epsilon: 0.05
Steps: 92000/100000 | Mean Return: -41.29 | Epsilon: 0.05
Steps: 94000/100000 | Mean Return: -38.42 | Epsilon: 0.05
Steps: 96000/100000 | Mean Return: -40.60 | Epsilon: 0.05
Steps: 98000/100000 | Mean Return: -36.06 | Epsilon: 0.05
Steps: 100000/100000 | Mean Return: -35.90 | Epsilon: 0.05
QMIX policy saved successfully to results/phase2_peer/checkpoint_qmix_saudi.pt
Training curve (913 episodes) saved to results/phase2_peer/train_curve_qmix_saudi.csv
