env_steps,episode,episode_return,WEL,ISR
144,1,-35.333333333333336,22.0,0.3333333333333333
288,2,-6.333333333333332,3.0,0.8333333333333334
373,3,-54.0,34.0,0.0
517,4,-44.66666666666667,28.0,0.16666666666666666
661,5,-54.0,34.0,0.0
765,6,-44.66666666666667,28.0,0.16666666666666666
909,7,-20.0,10.0,0.5
1053,8,-35.333333333333336,22.0,0.3333333333333333
1197,9,-12.666666666666668,6.0,0.6666666666666666
1282,10,-54.0,34.0,0.0
1426,11,-22.0,12.0,0.5
1518,12,-44.66666666666667,28.0,0.16666666666666666
1662,13,-29.0,19.0,0.5
1806,14,-54.0,34.0,0.0
1950,15,-44.66666666666667,28.0,0.16666666666666666
2094,16,-35.333333333333336,22.0,0.3333333333333333
2095,17,0.0,0.0,1.0
2239,18,-15.666666666666668,9.0,0.6666666666666666
2383,19,-44.66666666666667,28.0,0.16666666666666666
2472,20,-54.0,34.0,0.0
2561,21,-54.0,34.0,0.0
2705,22,-29.0,19.0,0.5
2849,23,-44.66666666666667,28.0,0.16666666666666666
2993,24,-6.333333333333332,3.0,0.8333333333333334
3137,25,-10.666666666666668,4.0,0.6666666666666666
3228,26,-44.66666666666667,28.0,0.16666666666666666
3372,27,-44.66666666666667,28.0,0.16666666666666666
3516,28,-44.66666666666667,28.0,0.16666666666666666
3647,29,-54.0,34.0,0.0
3791,30,-35.333333333333336,22.0,0.3333333333333333
3935,31,-35.333333333333336,22.0,0.3333333333333333
4079,32,-16.666666666666668,10.0,0.6666666666666666
4223,33,-6.333333333333332,3.0,0.8333333333333334
4353,34,-54.0,34.0,0.0
4444,35,-54.0,34.0,0.0
4588,36,-21.333333333333336,8.0,0.3333333333333333
4695,37,-54.0,34.0,0.0
4839,38,-6.333333333333332,3.0,0.8333333333333334
4983,39,-26.0,16.0,0.5
5070,40,-54.0,34.0,0.0
5165,41,-54.0,34.0,0.0
5309,42,-12.666666666666668,6.0,0.6666666666666666
5453,43,-20.0,10.0,0.5
5597,44,-26.0,16.0,0.5
5682,45,-54.0,34.0,0.0
5826,46,-16.666666666666668,10.0,0.6666666666666666
5970,47,-26.0,16.0,0.5
6057,48,-54.0,34.0,0.0
6143,49,-29.333333333333336,16.0,0.3333333333333333
6287,50,-26.0,16.0,0.5
6431,51,-6.333333333333332,3.0,0.8333333333333334
6548,52,-44.66666666666667,28.0,0.16666666666666666
6640,53,-44.66666666666667,28.0,0.16666666666666666
6753,54,-54.0,34.0,0.0
6852,55,-54.0,34.0,0.0
6948,56,-54.0,34.0,0.0
7058,57,-54.0,34.0,0.0
7177,58,-54.0,34.0,0.0
7292,59,-54.0,34.0,0.0
7412,60,-54.0,34.0,0.0
7507,61,-54.0,34.0,0.0
7651,62,-6.433333333333332,3.0,0.8333333333333334
7795,63,-0.33333333333333215,-3.0,0.8333333333333334
7939,64,-20.0,10.0,0.5
8083,65,-35.333333333333336,22.0,0.3333333333333333
8227,66,-44.66666666666667,28.0,0.16666666666666666
8311,67,-54.0,34.0,0.0
8455,68,-6.333333333333332,3.0,0.8333333333333334
8546,69,-54.0,34.0,0.0
8690,70,3.0,-3.0,1.0
8777,71,-44.66666666666667,28.0,0.16666666666666666
8778,72,0.0,0.0,1.0
8900,73,-44.66666666666667,28.0,0.16666666666666666
9014,74,-38.66666666666667,22.0,0.16666666666666666
9106,75,-54.0,34.0,0.0
9235,76,-54.0,34.0,0.0
9345,77,-44.66666666666667,28.0,0.16666666666666666
9434,78,-54.0,34.0,0.0
9578,79,-35.43333333333334,22.0,0.3333333333333333
