env_steps,episode,episode_return,WEL,ISR
144,1,-35.333333333333336,22.0,0.3333333333333333
288,2,-44.66666666666667,28.0,0.16666666666666666
389,3,-54.0,34.0,0.0
533,4,-29.0,19.0,0.5
677,5,-54.0,34.0,0.0
821,6,-26.0,16.0,0.5
965,7,-35.333333333333336,22.0,0.3333333333333333
1109,8,-44.66666666666667,28.0,0.16666666666666666
1209,9,-54.0,34.0,0.0
1353,10,-54.0,34.0,0.0
1497,11,-44.66666666666667,28.0,0.16666666666666666
1641,12,-44.66666666666667,28.0,0.16666666666666666
1785,13,-35.333333333333336,22.0,0.3333333333333333
1929,14,-54.0,34.0,0.0
2073,15,-44.66666666666667,28.0,0.16666666666666666
2217,16,-44.66666666666667,28.0,0.16666666666666666
2337,17,-54.0,34.0,0.0
2445,18,-54.0,34.0,0.0
2564,19,-54.0,34.0,0.0
2708,20,-54.0,34.0,0.0
2831,21,-54.0,34.0,0.0
2923,22,-54.0,34.0,0.0
3067,23,-12.666666666666668,6.0,0.6666666666666666
3211,24,-22.0,12.0,0.5
3355,25,-6.333333333333332,3.0,0.8333333333333334
3442,26,-54.0,34.0,0.0
3546,27,-54.0,34.0,0.0
3690,28,-44.66666666666667,28.0,0.16666666666666666
3834,29,-35.333333333333336,22.0,0.3333333333333333
3976,30,-54.0,34.0,0.0
4074,31,-54.0,34.0,0.0
4218,32,-44.66666666666667,28.0,0.16666666666666666
4362,33,-35.333333333333336,22.0,0.3333333333333333
4504,34,-54.0,34.0,0.0
4608,35,-54.0,34.0,0.0
4752,36,-35.333333333333336,22.0,0.3333333333333333
4896,37,-44.66666666666667,28.0,0.16666666666666666
5040,38,-6.333333333333332,3.0,0.8333333333333334
5178,39,-54.0,34.0,0.0
5322,40,-26.0,16.0,0.5
5466,41,-6.333333333333332,3.0,0.8333333333333334
5610,42,-44.66666666666667,28.0,0.16666666666666666
5754,43,-6.333333333333332,3.0,0.8333333333333334
5853,44,-54.0,34.0,0.0
5957,45,-54.0,34.0,0.0
6100,46,-54.0,34.0,0.0
6244,47,-35.333333333333336,22.0,0.3333333333333333
6388,48,3.0,-3.0,1.0
6532,49,-29.333333333333336,16.0,0.3333333333333333
6676,50,-44.66666666666667,28.0,0.16666666666666666
6772,51,-38.66666666666667,22.0,0.16666666666666666
6857,52,-54.0,34.0,0.0
6961,53,-54.0,34.0,0.0
7105,54,-44.66666666666667,28.0,0.16666666666666666
7249,55,-6.333333333333332,3.0,0.8333333333333334
7393,56,-35.333333333333336,22.0,0.3333333333333333
7492,57,-54.0,34.0,0.0
7636,58,-6.333333333333332,3.0,0.8333333333333334
7780,59,-12.666666666666668,6.0,0.6666666666666666
7879,60,-54.0,34.0,0.0
8023,61,-26.0,16.0,0.5
8166,62,-54.0,34.0,0.0
8310,63,-35.333333333333336,22.0,0.3333333333333333
8413,64,-54.0,34.0,0.0
8539,65,-44.66666666666667,28.0,0.16666666666666666
8683,66,-3.333333333333332,0.0,0.8333333333333334
8810,67,-54.0,34.0,0.0
8954,68,-44.66666666666667,28.0,0.16666666666666666
9040,69,-44.66666666666667,28.0,0.16666666666666666
9184,70,-26.0,16.0,0.5
9328,71,-35.333333333333336,22.0,0.3333333333333333
9472,72,-35.333333333333336,22.0,0.3333333333333333
9616,73,-22.0,12.0,0.5
9760,74,-44.66666666666667,28.0,0.16666666666666666
9868,75,-54.0,34.0,0.0
9990,76,-54.0,34.0,0.0
10134,77,-44.66666666666667,28.0,0.16666666666666666
10278,78,-44.66666666666667,28.0,0.16666666666666666
10398,79,-54.0,34.0,0.0
10542,80,-35.333333333333336,22.0,0.3333333333333333
10686,81,-44.66666666666667,28.0,0.16666666666666666
10830,82,-44.66666666666667,28.0,0.16666666666666666
10929,83,-54.0,34.0,0.0
11073,84,-44.66666666666667,28.0,0.16666666666666666
11208,85,-54.0,34.0,0.0
11352,86,-44.66666666666667,28.0,0.16666666666666666
11479,87,-54.0,34.0,0.0
11573,88,-44.66666666666667,28.0,0.16666666666666666
11717,89,-35.333333333333336,22.0,0.3333333333333333
11806,90,-54.0,34.0,0.0
11950,91,-22.0,12.0,0.5
12034,92,-54.0,34.0,0.0
12178,93,-44.66666666666667,28.0,0.16666666666666666
12322,94,-44.66666666666667,28.0,0.16666666666666666
12449,95,-54.0,34.0,0.0
12551,96,-54.0,34.0,0.0
12695,97,-44.66666666666667,28.0,0.16666666666666666
12833,98,-54.0,34.0,0.0
12928,99,-54.0,34.0,0.0
13029,100,-54.0,34.0,0.0
13172,101,-54.0,34.0,0.0
13316,102,-54.0,34.0,0.0
13426,103,-54.0,34.0,0.0
13570,104,-44.66666666666667,28.0,0.16666666666666666
13714,105,-44.66666666666667,28.0,0.16666666666666666
13858,106,-44.66666666666667,28.0,0.16666666666666666
13993,107,-54.0,34.0,0.0
14137,108,-54.0,34.0,0.0
14223,109,-54.0,34.0,0.0
14367,110,-6.333333333333332,3.0,0.8333333333333334
14511,111,-35.333333333333336,22.0,0.3333333333333333
14655,112,-44.66666666666667,28.0,0.16666666666666666
14799,113,-44.66666666666667,28.0,0.16666666666666666
14943,114,-26.0,16.0,0.5
15087,115,-44.66666666666667,28.0,0.16666666666666666
15231,116,-6.333333333333332,3.0,0.8333333333333334
15375,117,-6.433333333333332,3.0,0.8333333333333334
15483,118,-54.0,34.0,0.0
15614,119,-44.66666666666667,28.0,0.16666666666666666
15718,120,-54.0,34.0,0.0
15862,121,-44.66666666666667,28.0,0.16666666666666666
16006,122,-35.333333333333336,22.0,0.3333333333333333
16120,123,-54.0,34.0,0.0
16264,124,-26.0,16.0,0.5
16408,125,-44.66666666666667,28.0,0.16666666666666666
16552,126,-44.66666666666667,28.0,0.16666666666666666
16696,127,-35.333333333333336,22.0,0.3333333333333333
16825,128,-54.0,34.0,0.0
16916,129,-54.0,34.0,0.0
17060,130,-22.0,12.0,0.5
17204,131,-22.0,12.0,0.5
17348,132,-15.666666666666668,9.0,0.6666666666666666
17492,133,-15.666666666666668,9.0,0.6666666666666666
17588,134,-44.66666666666667,28.0,0.16666666666666666
17732,135,-22.0,12.0,0.5
