env_steps,episode,episode_return,WEL,ISR
144,1,-41.285714285714285,27.0,0.2857142857142857
288,2,-41.285714285714285,27.0,0.2857142857142857
379,3,-41.285714285714285,27.0,0.2857142857142857
519,4,-41.285714285714285,27.0,0.2857142857142857
640,5,-41.285714285714285,27.0,0.2857142857142857
763,6,-41.285714285714285,27.0,0.2857142857142857
870,7,-41.285714285714285,27.0,0.2857142857142857
1014,8,-41.285714285714285,27.0,0.2857142857142857
1126,9,-41.285714285714285,27.0,0.2857142857142857
1270,10,-41.285714285714285,27.0,0.2857142857142857
1347,11,-41.28571428571429,27.0,0.2857142857142857
1438,12,-41.285714285714285,27.0,0.2857142857142857
1494,13,-41.285714285714285,27.0,0.2857142857142857
1545,14,-41.285714285714285,27.0,0.2857142857142857
1680,15,-28.428571428571423,27.0,0.2857142857142857
1777,16,-41.285714285714285,27.0,0.2857142857142857
1921,17,-41.285714285714285,27.0,0.2857142857142857
2037,18,-41.285714285714285,27.0,0.2857142857142857
2137,19,-41.285714285714285,27.0,0.2857142857142857
2281,20,-41.285714285714285,27.0,0.2857142857142857
2399,21,-41.285714285714285,27.0,0.2857142857142857
2543,22,-41.285714285714285,27.0,0.2857142857142857
2651,23,-28.428571428571423,27.0,0.2857142857142857
2792,24,-34.42857142857142,27.0,0.2857142857142857
2936,25,-41.285714285714285,27.0,0.2857142857142857
3080,26,-30.42857142857143,19.0,0.42857142857142855
3151,27,-41.28571428571429,27.0,0.2857142857142857
3295,28,-41.285714285714285,27.0,0.2857142857142857
3414,29,-41.285714285714285,27.0,0.2857142857142857
3490,30,-41.285714285714285,27.0,0.2857142857142857
3628,31,-26.57142857142857,27.0,0.2857142857142857
3696,32,-41.285714285714285,27.0,0.2857142857142857
3726,33,-41.285714285714285,27.0,0.2857142857142857
3836,34,-41.285714285714285,27.0,0.2857142857142857
3955,35,-41.285714285714285,27.0,0.2857142857142857
4049,36,-34.42857142857142,27.0,0.2857142857142857
4175,37,-28.428571428571423,27.0,0.2857142857142857
4301,38,-34.42857142857142,27.0,0.2857142857142857
4375,39,-41.285714285714285,27.0,0.2857142857142857
4519,40,-41.285714285714285,27.0,0.2857142857142857
4631,41,-41.285714285714285,27.0,0.2857142857142857
4775,42,-41.285714285714285,27.0,0.2857142857142857
4838,43,-41.28571428571429,27.0,0.2857142857142857
4963,44,-41.285714285714285,27.0,0.2857142857142857
5055,45,-41.285714285714285,27.0,0.2857142857142857
5152,46,-41.285714285714285,27.0,0.2857142857142857
5270,47,-41.285714285714285,27.0,0.2857142857142857
5406,48,-41.285714285714285,27.0,0.2857142857142857
5550,49,-26.57142857142857,27.0,0.2857142857142857
5617,50,-41.285714285714285,27.0,0.2857142857142857
5747,51,-41.285714285714285,27.0,0.2857142857142857
5803,52,-41.285714285714285,27.0,0.2857142857142857
5938,53,-41.285714285714285,27.0,0.2857142857142857
6082,54,-41.285714285714285,27.0,0.2857142857142857
