env_steps,episode,episode_return,WEL,ISR
144,1,-44.66666666666667,28.0,0.16666666666666666
283,2,-54.0,34.0,0.0
427,3,-19.766666666666666,13.0,0.6666666666666666
518,4,-38.66666666666667,22.0,0.16666666666666666
662,5,-35.333333333333336,22.0,0.3333333333333333
806,6,-31.333333333333336,18.0,0.3333333333333333
950,7,-44.66666666666667,28.0,0.16666666666666666
1094,8,-35.333333333333336,22.0,0.3333333333333333
1238,9,-54.0,34.0,0.0
1382,10,-35.333333333333336,22.0,0.3333333333333333
1495,11,-54.0,34.0,0.0
1615,12,-54.0,34.0,0.0
1759,13,-10.666666666666668,4.0,0.6666666666666666
1903,14,-26.0,16.0,0.5
2047,15,-44.66666666666667,28.0,0.16666666666666666
2155,16,-54.0,34.0,0.0
2299,17,-35.333333333333336,22.0,0.3333333333333333
2443,18,-0.33333333333333215,-3.0,0.8333333333333334
2542,19,-54.0,34.0,0.0
2686,20,-16.666666666666668,10.0,0.6666666666666666
2830,21,-44.66666666666667,28.0,0.16666666666666666
2831,22,0.0,0.0,1.0
2975,23,-35.333333333333336,22.0,0.3333333333333333
3119,24,-54.0,34.0,0.0
3263,25,-35.333333333333336,22.0,0.3333333333333333
3407,26,-12.0,2.0,0.5
3551,27,-12.666666666666668,6.0,0.6666666666666666
3695,28,-29.0,19.0,0.5
3835,29,-54.0,34.0,0.0
3968,30,-54.0,34.0,0.0
4112,31,-44.66666666666667,28.0,0.16666666666666666
4247,32,-54.0,34.0,0.0
4391,33,-35.333333333333336,22.0,0.3333333333333333
4467,34,-54.0,34.0,0.0
4611,35,-44.66666666666667,28.0,0.16666666666666666
4731,36,-54.0,34.0,0.0
4863,37,-54.0,34.0,0.0
5007,38,-35.333333333333336,22.0,0.3333333333333333
5151,39,-44.66666666666667,28.0,0.16666666666666666
5295,40,-38.66666666666667,22.0,0.16666666666666666
5439,41,-2.666666666666668,-4.0,0.6666666666666666
5583,42,-35.333333333333336,28.0,0.16666666666666666
5727,43,-35.333333333333336,22.0,0.3333333333333333
