region,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,BC-only (no RL fine-tuning),42,7.0,19.8,0.3714285714285714,0.9944228599950371,866.4666666666667,-497.0325520833333
saudi,BC-only (no RL fine-tuning),1042,7.0,20.6,0.36190476190476184,0.9938046156890257,884.4666666666667,-549.66796875
saudi,BC-only (no RL fine-tuning),2042,7.0,21.4,0.35238095238095235,0.9939906791503195,894.8,-550.1842447916666
saudi,BC-only (no RL fine-tuning),3042,7.0,19.0,0.3809523809523809,0.9948498550372721,886.0,-568.0846354166666
saudi,BC-only (no RL fine-tuning),4042,7.0,20.6,0.36190476190476184,0.9906244592295057,881.8666666666667,-576.1920572916666
saudi,Full System (retrained),42,7.0,20.6,0.36190476190476184,0.9918372693905149,866.3333333333334,-496.93359375
saudi,Full System (retrained),1042,7.0,20.6,0.36190476190476184,0.9938854134727181,884.4,-549.5598958333334
saudi,Full System (retrained),2042,7.0,21.4,0.35238095238095235,0.9961042465123927,894.7333333333333,-550.1295572916666
saudi,Full System (retrained),3042,7.0,19.8,0.3714285714285714,0.9965357425745461,885.9333333333333,-568.0358072916666
saudi,Full System (retrained),4042,7.0,21.4,0.35238095238095235,0.9942176999225919,881.8666666666667,-576.1907552083334
saudi,w/o BC Pretraining,42,7.0,27.0,0.2857142857142857,0.9821937640404632,865.6666666666666,-496.5105729166667
saudi,w/o BC Pretraining,1042,7.0,27.0,0.2857142857142857,0.9812386823139067,883.8666666666667,-549.3585416666666
saudi,w/o BC Pretraining,2042,7.0,27.0,0.2857142857142857,0.9877576521010085,894.4666666666667,-549.9233333333334
saudi,w/o BC Pretraining,3042,7.0,27.0,0.2857142857142857,0.9885639536730321,885.8,-567.904453125
saudi,w/o BC Pretraining,4042,7.0,27.0,0.2857142857142857,0.9914881931142939,880.5333333333333,-575.20703125
saudi,w/o Entropy Bonus,42,7.0,20.6,0.36190476190476184,0.9918372693905149,866.3333333333334,-496.93359375
saudi,w/o Entropy Bonus,1042,7.0,20.6,0.36190476190476184,0.9938854134727181,884.4,-549.5598958333334
saudi,w/o Entropy Bonus,2042,7.0,21.4,0.35238095238095235,0.9961042465123927,894.7333333333333,-550.1295572916666
saudi,w/o Entropy Bonus,3042,7.0,19.8,0.3714285714285714,0.9965357425745461,885.9333333333333,-568.0358072916666
saudi,w/o Entropy Bonus,4042,7.0,21.4,0.35238095238095235,0.9942176999225919,881.8666666666667,-576.1907552083334
saudi,w/o KL Regularization,42,7.0,20.6,0.36190476190476184,0.9918372693905149,866.3333333333334,-496.93359375
saudi,w/o KL Regularization,1042,7.0,20.6,0.36190476190476184,0.9935724244273347,884.4,-549.5598958333334
saudi,w/o KL Regularization,2042,7.0,21.4,0.35238095238095235,0.9961042465123927,894.7333333333333,-550.1295572916666
saudi,w/o KL Regularization,3042,7.0,19.8,0.3714285714285714,0.9965357425745461,885.9333333333333,-568.0358072916666
saudi,w/o KL Regularization,4042,7.0,21.4,0.35238095238095235,0.9942176999225919,881.8666666666667,-576.1907552083334
saudi,w/o Target-Seeking,42,7.0,27.0,0.2857142857142857,0.9617131877713352,860.0,-492.75390625
saudi,w/o Target-Seeking,1042,7.0,27.0,0.2857142857142857,0.9750613065365372,877.9333333333333,-544.4173177083334
saudi,w/o Target-Seeking,2042,7.0,27.0,0.2857142857142857,0.9908650768910653,889.1333333333333,-545.3326822916666
saudi,w/o Target-Seeking,3042,7.0,27.0,0.2857142857142857,0.9594395447883203,879.6,-562.44140625
saudi,w/o Target-Seeking,4042,7.0,27.0,0.2857142857142857,0.9610371969785584,874.8,-570.2897135416666
saudi,w/o WEL/ISR Reward,42,7.0,19.8,0.3714285714285714,0.991339741225644,866.4,-496.9720052083333
saudi,w/o WEL/ISR Reward,1042,7.0,20.6,0.36190476190476184,0.9894291669594488,884.5333333333333,-549.73046875
saudi,w/o WEL/ISR Reward,2042,7.0,22.2,0.3428571428571428,0.9956444763974501,894.8,-550.1829427083334
saudi,w/o WEL/ISR Reward,3042,7.0,19.0,0.3809523809523809,0.9952558140868913,886.0,-568.1145833333334
saudi,w/o WEL/ISR Reward,4042,7.0,21.4,0.35238095238095235,0.9938443807457451,881.8666666666667,-576.1907552083334
saudi,Full System (shipped ckpt),42,7.0,20.6,0.3619047619047618,0.9904692376776556,866.4,-496.9765625
saudi,Full System (shipped ckpt),1042,7.0,19.8,0.3714285714285714,0.9915534694253076,884.2666666666667,-549.4251302083334
saudi,Full System (shipped ckpt),2042,7.0,21.4,0.3523809523809523,0.9979170567475044,894.6666666666666,-550.05859375
saudi,Full System (shipped ckpt),3042,7.0,19.8,0.3714285714285714,0.9959594829884856,885.8666666666667,-567.96484375
saudi,Full System (shipped ckpt),4042,7.0,19.8,0.3714285714285714,0.9975075860148456,881.6666666666666,-575.9459635416666
