WEL,ISR,CE,burned,return,region,policy,seed,episode
6.0,0.8333333333333334,1.0,154,-9.333333333333332,california,commnet,42,0
12.0,0.6666666666666666,1.0,180,-18.666666666666668,california,commnet,42,1
6.0,0.8333333333333334,1.0,182,-9.333333333333332,california,commnet,42,2
25.0,0.3333333333333333,0.8951048951048951,724,-38.333333333333336,california,commnet,42,3
6.0,0.8333333333333334,1.0,85,-9.333333333333332,california,commnet,42,4
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,42,5
9.0,0.6666666666666666,1.0,433,-15.666666666666668,california,commnet,42,6
6.0,0.8333333333333334,1.0,136,-9.333333333333332,california,commnet,42,7
6.0,0.8333333333333334,1.0,100,-9.333333333333332,california,commnet,42,8
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,42,9
22.0,0.3333333333333333,1.0,715,-35.333333333333336,california,commnet,42,10
6.0,0.8333333333333334,1.0,368,-9.333333333333332,california,commnet,42,11
6.0,0.8333333333333334,1.0,151,-9.333333333333332,california,commnet,42,12
9.0,0.6666666666666666,1.0,432,-15.666666666666668,california,commnet,42,13
9.0,0.6666666666666666,1.0,442,-15.666666666666668,california,commnet,42,14
6.0,0.8333333333333334,1.0,168,-9.333333333333332,california,commnet,1042,0
0.0,1.0,1.0,0,0.0,california,commnet,1042,1
6.0,0.8333333333333334,1.0,170,-9.333333333333332,california,commnet,1042,2
6.0,0.8333333333333334,1.0,149,-9.333333333333332,california,commnet,1042,3
12.0,0.6666666666666666,1.0,168,-18.666666666666668,california,commnet,1042,4
9.0,0.6666666666666666,1.0,425,-15.666666666666668,california,commnet,1042,5
25.0,0.3333333333333333,0.8675496688741722,714,-38.333333333333336,california,commnet,1042,6
9.0,0.6666666666666666,1.0,511,-15.666666666666668,california,commnet,1042,7
18.0,0.3333333333333333,1.0,550,-31.333333333333336,california,commnet,1042,8
6.0,0.8333333333333334,1.0,157,-9.333333333333332,california,commnet,1042,9
18.0,0.3333333333333333,1.0,672,-31.333333333333336,california,commnet,1042,10
0.0,1.0,1.0,0,0.0,california,commnet,1042,11
6.0,0.8333333333333334,1.0,170,-9.333333333333332,california,commnet,1042,12
9.0,0.6666666666666666,1.0,438,-15.666666666666668,california,commnet,1042,13
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,1042,14
22.0,0.3333333333333333,0.8564814814814815,712,-35.333333333333336,california,commnet,2042,0
6.0,0.8333333333333334,1.0,93,-9.333333333333332,california,commnet,2042,1
6.0,0.8333333333333334,1.0,122,-9.333333333333332,california,commnet,2042,2
9.0,0.6666666666666666,0.9624724061810155,379,-15.666666666666668,california,commnet,2042,3
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,2042,4
22.0,0.3333333333333333,1.0,716,-35.333333333333336,california,commnet,2042,5
28.0,0.16666666666666666,0.7041942604856513,711,-45.16666666666667,california,commnet,2042,6
6.0,0.8333333333333334,1.0,128,-9.333333333333332,california,commnet,2042,7
6.0,0.8333333333333334,1.0,137,-9.333333333333332,california,commnet,2042,8
18.0,0.3333333333333333,1.0,668,-31.333333333333336,california,commnet,2042,9
28.0,0.16666666666666666,1.0,624,-44.66666666666667,california,commnet,2042,10
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,2042,11
18.0,0.3333333333333333,0.9624724061810155,421,-31.433333333333337,california,commnet,2042,12
18.0,0.3333333333333333,0.7660044150110376,694,-31.333333333333336,california,commnet,2042,13
6.0,0.8333333333333334,1.0,182,-9.333333333333332,california,commnet,2042,14
9.0,0.6666666666666666,1.0,426,-15.666666666666668,california,commnet,3042,0
9.0,0.6666666666666666,1.0,442,-15.666666666666668,california,commnet,3042,1
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,3042,2
22.0,0.3333333333333333,1.0,702,-35.333333333333336,california,commnet,3042,3
6.0,0.8333333333333334,1.0,148,-9.333333333333332,california,commnet,3042,4
22.0,0.3333333333333333,1.0,714,-35.333333333333336,california,commnet,3042,5
6.0,0.8333333333333334,0.9126984126984127,158,-9.83333333333333,california,commnet,3042,6
28.0,0.16666666666666666,1.0,677,-44.66666666666667,california,commnet,3042,7
6.0,0.8333333333333334,0.9137931034482759,171,-9.333333333333332,california,commnet,3042,8
6.0,0.8333333333333334,0.8931623931623932,163,-9.333333333333332,california,commnet,3042,9
6.0,0.8333333333333334,1.0,156,-9.333333333333332,california,commnet,3042,10
28.0,0.16666666666666666,1.0,686,-44.66666666666667,california,commnet,3042,11
9.0,0.6666666666666666,1.0,472,-15.666666666666668,california,commnet,3042,12
6.0,0.8333333333333334,1.0,173,-9.333333333333332,california,commnet,3042,13
6.0,0.8333333333333334,0.9204545454545454,128,-9.333333333333332,california,commnet,3042,14
22.0,0.3333333333333333,1.0,702,-35.333333333333336,california,commnet,4042,0
22.0,0.3333333333333333,0.9205298013245033,713,-35.333333333333336,california,commnet,4042,1
6.0,0.8333333333333334,1.0,151,-9.333333333333332,california,commnet,4042,2
6.0,0.8333333333333334,1.0,171,-9.333333333333332,california,commnet,4042,3
6.0,0.8333333333333334,1.0,141,-9.333333333333332,california,commnet,4042,4
6.0,0.8333333333333334,1.0,182,-9.333333333333332,california,commnet,4042,5
22.0,0.3333333333333333,1.0,721,-35.333333333333336,california,commnet,4042,6
6.0,0.8333333333333334,1.0,159,-9.333333333333332,california,commnet,4042,7
18.0,0.3333333333333333,0.7637969094922737,705,-31.333333333333336,california,commnet,4042,8
6.0,0.8333333333333334,1.0,133,-9.333333333333332,california,commnet,4042,9
6.0,0.8333333333333334,1.0,367,-9.333333333333332,california,commnet,4042,10
6.0,0.8333333333333334,1.0,170,-9.333333333333332,california,commnet,4042,11
22.0,0.3333333333333333,0.7549668874172185,714,-35.93333333333334,california,commnet,4042,12
6.0,0.8333333333333334,1.0,150,-9.333333333333332,california,commnet,4042,13
6.0,0.8333333333333334,1.0,131,-9.333333333333332,california,commnet,4042,14
