env_steps,episode,episode_return,WEL,ISR
150,1,-54.0,34.0,0.0
300,2,-41.43333333333334,28.0,0.3333333333333333
450,3,-47.66666666666667,31.0,0.16666666666666666
600,4,-47.66666666666667,31.0,0.16666666666666666
750,5,-54.0,34.0,0.0
900,6,-47.66666666666667,31.0,0.16666666666666666
1050,7,-41.333333333333336,28.0,0.3333333333333333
1166,8,-54.0,34.0,0.0
1316,9,-32.0,22.0,0.5
1466,10,-38.333333333333336,25.0,0.3333333333333333
1616,11,-47.66666666666667,31.0,0.16666666666666666
1766,12,-47.66666666666667,31.0,0.16666666666666666
1908,13,-54.0,34.0,0.0
2058,14,-47.66666666666667,31.0,0.16666666666666666
2205,15,-47.66666666666667,31.0,0.16666666666666666
2355,16,-47.66666666666667,31.0,0.16666666666666666
2505,17,-32.0,22.0,0.5
2655,18,-44.66666666666667,28.0,0.16666666666666666
2805,19,-34.333333333333336,21.0,0.3333333333333333
2955,20,-38.333333333333336,25.0,0.3333333333333333
3087,21,-38.333333333333336,25.0,0.3333333333333333
3233,22,-54.0,34.0,0.0
3383,23,-47.66666666666667,31.0,0.16666666666666666
3533,24,-54.0,34.0,0.0
3678,25,-47.66666666666667,31.0,0.16666666666666666
3828,26,-47.66666666666667,31.0,0.16666666666666666
3978,27,-47.66666666666667,31.0,0.16666666666666666
4128,28,-44.66666666666667,28.0,0.16666666666666666
4268,29,-54.0,34.0,0.0
4418,30,-47.66666666666667,31.0,0.16666666666666666
4568,31,-34.333333333333336,21.0,0.3333333333333333
4718,32,-47.66666666666667,31.0,0.16666666666666666
4868,33,-47.66666666666667,31.0,0.16666666666666666
5018,34,-54.0,34.0,0.0
5168,35,-47.66666666666667,31.0,0.16666666666666666
5318,36,-41.333333333333336,28.0,0.3333333333333333
5468,37,-47.66666666666667,31.0,0.16666666666666666
5618,38,-54.0,34.0,0.0
5768,39,-47.66666666666667,31.0,0.16666666666666666
5918,40,-47.66666666666667,31.0,0.16666666666666666
6057,41,-41.43333333333333,28.0,0.3333333333333333
6207,42,-28.0,18.0,0.5
6357,43,-54.0,34.0,0.0
6507,44,-54.0,34.0,0.0
6657,45,-47.66666666666667,31.0,0.16666666666666666
6807,46,-38.333333333333336,25.0,0.3333333333333333
6957,47,-54.0,34.0,0.0
7107,48,-47.66666666666667,31.0,0.16666666666666666
7257,49,-47.66666666666667,31.0,0.16666666666666666
7407,50,-44.66666666666667,28.0,0.16666666666666666
7526,51,-47.66666666666667,31.0,0.16666666666666666
7676,52,-44.66666666666667,28.0,0.16666666666666666
7826,53,-41.333333333333336,28.0,0.3333333333333333
7976,54,-47.66666666666667,31.0,0.16666666666666666
8126,55,-47.66666666666667,31.0,0.16666666666666666
8276,56,-41.333333333333336,28.0,0.3333333333333333
8426,57,-54.0,34.0,0.0
8576,58,-47.66666666666667,31.0,0.16666666666666666
8726,59,-54.0,34.0,0.0
8876,60,-47.66666666666667,31.0,0.16666666666666666
9026,61,-38.333333333333336,25.0,0.3333333333333333
9176,62,-47.66666666666667,31.0,0.16666666666666666
9326,63,-44.66666666666667,28.0,0.16666666666666666
9476,64,-47.66666666666667,31.0,0.16666666666666666
9626,65,-54.0,34.0,0.0
9776,66,-47.66666666666667,31.0,0.16666666666666666
9926,67,-54.0,34.0,0.0
10076,68,-54.0,34.0,0.0
10226,69,-44.66666666666667,28.0,0.16666666666666666
10360,70,-47.66666666666667,31.0,0.16666666666666666
10510,71,-34.333333333333336,21.0,0.3333333333333333
10660,72,-47.66666666666667,31.0,0.16666666666666666
10810,73,-54.0,34.0,0.0
10960,74,-38.333333333333336,25.0,0.3333333333333333
11106,75,-41.333333333333336,28.0,0.3333333333333333
11256,76,-18.666666666666668,12.0,0.6666666666666666
11406,77,-54.0,34.0,0.0
11556,78,-38.333333333333336,25.0,0.3333333333333333
11706,79,-47.66666666666667,31.0,0.16666666666666666
11856,80,-47.66666666666667,31.0,0.16666666666666666
12006,81,-41.333333333333336,28.0,0.3333333333333333
12156,82,-54.0,34.0,0.0
12306,83,-41.333333333333336,28.0,0.3333333333333333
12456,84,-47.66666666666667,31.0,0.16666666666666666
12606,85,-41.333333333333336,28.0,0.3333333333333333
12756,86,-47.66666666666667,31.0,0.16666666666666666
12906,87,-47.766666666666666,31.0,0.16666666666666666
13056,88,-38.333333333333336,25.0,0.3333333333333333
13196,89,-32.0,22.0,0.5
13322,90,-47.66666666666667,31.0,0.16666666666666666
13472,91,-47.66666666666667,31.0,0.16666666666666666
13622,92,-54.0,34.0,0.0
13772,93,-34.333333333333336,21.0,0.3333333333333333
13922,94,-47.66666666666667,31.0,0.16666666666666666
14072,95,-38.333333333333336,25.0,0.3333333333333333
14222,96,-54.0,34.0,0.0
14372,97,-47.66666666666667,31.0,0.16666666666666666
14522,98,-38.333333333333336,25.0,0.3333333333333333
14672,99,-54.0,34.0,0.0
14797,100,-54.0,34.0,0.0
14947,101,-47.66666666666667,31.0,0.16666666666666666
15097,102,-54.0,34.0,0.0
15247,103,-47.66666666666667,31.0,0.16666666666666666
15397,104,-47.66666666666667,31.0,0.16666666666666666
15547,105,-47.66666666666667,31.0,0.16666666666666666
15697,106,-28.0,18.0,0.5
15847,107,-47.66666666666667,31.0,0.16666666666666666
15997,108,-47.66666666666667,31.0,0.16666666666666666
16147,109,-41.333333333333336,28.0,0.3333333333333333
16297,110,-41.43333333333334,28.0,0.3333333333333333
16447,111,-54.0,34.0,0.0
16597,112,-54.0,34.0,0.0
16747,113,-47.66666666666667,31.0,0.16666666666666666
16897,114,-32.0,22.0,0.5
17043,115,-47.66666666666667,31.0,0.16666666666666666
17193,116,-44.66666666666667,28.0,0.16666666666666666
17343,117,-47.66666666666667,31.0,0.16666666666666666
17493,118,-47.66666666666667,31.0,0.16666666666666666
17637,119,-32.0,22.0,0.5
17787,120,-34.333333333333336,21.0,0.3333333333333333
17937,121,-38.333333333333336,25.0,0.3333333333333333
18087,122,-34.333333333333336,21.0,0.3333333333333333
18237,123,-47.66666666666667,31.0,0.16666666666666666
18387,124,-34.333333333333336,21.0,0.3333333333333333
18537,125,-47.766666666666666,31.0,0.16666666666666666
18687,126,-40.66666666666667,24.0,0.16666666666666666
18837,127,-54.099999999999994,34.0,0.0
18987,128,-54.0,34.0,0.0
19137,129,-40.66666666666667,24.0,0.16666666666666666
19285,130,-34.333333333333336,21.0,0.3333333333333333
19435,131,-34.333333333333336,21.0,0.3333333333333333
19585,132,-47.66666666666667,31.0,0.16666666666666666
19735,133,-34.333333333333336,21.0,0.3333333333333333
19885,134,-40.66666666666667,24.0,0.16666666666666666
20035,135,-47.66666666666667,31.0,0.16666666666666666
20185,136,-34.333333333333336,21.0,0.3333333333333333
20335,137,-41.333333333333336,28.0,0.3333333333333333
20485,138,-28.0,18.0,0.5
20635,139,-34.333333333333336,21.0,0.3333333333333333
20785,140,-47.66666666666667,31.0,0.16666666666666666
20935,141,-28.0,18.0,0.5
21085,142,-25.0,15.0,0.5
21235,143,-47.66666666666667,31.0,0.16666666666666666
21385,144,-18.666666666666668,12.0,0.6666666666666666
21535,145,-41.333333333333336,28.0,0.3333333333333333
21685,146,-34.333333333333336,21.0,0.3333333333333333
21835,147,-18.666666666666668,12.0,0.6666666666666666
21985,148,-25.0,15.0,0.5
22135,149,-38.333333333333336,25.0,0.3333333333333333
22285,150,-28.0,18.0,0.5
22435,151,-25.0,15.0,0.5
22585,152,-34.333333333333336,21.0,0.3333333333333333
22735,153,-47.66666666666667,31.0,0.16666666666666666
22885,154,-18.666666666666668,12.0,0.6666666666666666
23035,155,-40.66666666666667,24.0,0.16666666666666666
23185,156,-34.333333333333336,21.0,0.3333333333333333
23335,157,-38.333333333333336,25.0,0.3333333333333333
23485,158,-28.0,18.0,0.5
23635,159,-15.666666666666668,9.0,0.6666666666666666
23775,160,-47.66666666666667,31.0,0.16666666666666666
23925,161,-28.0,18.0,0.5
24075,162,-34.333333333333336,21.0,0.3333333333333333
24225,163,-18.666666666666668,12.0,0.6666666666666666
24375,164,-34.333333333333336,21.0,0.3333333333333333
24525,165,-25.0,15.0,0.5
24675,166,-25.0,15.0,0.5
24825,167,-18.666666666666668,12.0,0.6666666666666666
24975,168,-18.666666666666668,12.0,0.6666666666666666
25125,169,-25.0,15.0,0.5
25275,170,-47.66666666666667,31.0,0.16666666666666666
25425,171,-25.0,15.0,0.5
25575,172,-25.0,15.0,0.5
25705,173,-25.0,15.0,0.5
25855,174,-25.099999999999998,15.0,0.5
26005,175,-44.66666666666667,28.0,0.16666666666666666
26155,176,-15.666666666666668,9.0,0.6666666666666666
26305,177,-25.0,15.0,0.5
26455,178,-40.66666666666667,24.0,0.16666666666666666
26605,179,-31.333333333333336,18.0,0.3333333333333333
26755,180,-34.333333333333336,21.0,0.3333333333333333
26905,181,-25.0,15.0,0.5
27055,182,-25.0,15.0,0.5
27205,183,-31.333333333333336,18.0,0.3333333333333333
27355,184,-18.666666666666668,12.0,0.6666666666666666
27505,185,-28.0,18.0,0.5
27583,186,-18.666666666666668,12.0,0.6666666666666666
27733,187,-22.666666666666668,16.0,0.6666666666666666
27883,188,-25.0,15.0,0.5
28033,189,-25.0,15.0,0.5
28183,190,-34.333333333333336,21.0,0.3333333333333333
28333,191,-25.0,15.0,0.5
28483,192,-38.333333333333336,25.0,0.3333333333333333
28633,193,-34.333333333333336,21.0,0.3333333333333333
28783,194,-32.0,22.0,0.5
28933,195,-18.666666666666668,12.0,0.6666666666666666
29083,196,-25.0,15.0,0.5
29233,197,-34.333333333333336,21.0,0.3333333333333333
29383,198,-34.333333333333336,21.0,0.3333333333333333
29533,199,-34.333333333333336,21.0,0.3333333333333333
29683,200,-34.333333333333336,21.0,0.3333333333333333
29833,201,-34.333333333333336,21.0,0.3333333333333333
29983,202,-38.333333333333336,25.0,0.3333333333333333
30133,203,-29.0,19.0,0.5
30283,204,-25.0,15.0,0.5
30433,205,-34.333333333333336,21.0,0.3333333333333333
30583,206,-40.66666666666667,24.0,0.16666666666666666
30733,207,-35.333333333333336,22.0,0.3333333333333333
30883,208,-40.66666666666667,24.0,0.16666666666666666
31033,209,-25.0,15.0,0.5
31183,210,-34.333333333333336,21.0,0.3333333333333333
31333,211,-34.333333333333336,21.0,0.3333333333333333
31483,212,-34.333333333333336,21.0,0.3333333333333333
31623,213,-44.66666666666667,28.0,0.16666666666666666
31773,214,-25.0,15.0,0.5
31923,215,-44.66666666666667,28.0,0.16666666666666666
32073,216,-25.0,15.0,0.5
32223,217,-54.0,34.0,0.0
32373,218,-34.333333333333336,21.0,0.3333333333333333
32523,219,-31.333333333333336,18.0,0.3333333333333333
32673,220,-34.333333333333336,21.0,0.3333333333333333
32823,221,-34.333333333333336,21.0,0.3333333333333333
32973,222,-34.333333333333336,21.0,0.3333333333333333
33123,223,-38.333333333333336,25.0,0.3333333333333333
33273,224,-31.333333333333336,18.0,0.3333333333333333
