env_steps,episode,episode_return,WEL,ISR
150,1,-54.0,34.0,0.0
298,2,-47.66666666666667,31.0,0.16666666666666666
448,3,-41.333333333333336,28.0,0.3333333333333333
598,4,-47.66666666666667,31.0,0.16666666666666666
748,5,-47.66666666666667,31.0,0.16666666666666666
898,6,-54.0,34.0,0.0
1048,7,-47.66666666666667,31.0,0.16666666666666666
1198,8,-47.66666666666667,31.0,0.16666666666666666
1342,9,-44.66666666666667,28.0,0.16666666666666666
1492,10,-47.66666666666667,31.0,0.16666666666666666
1642,11,-47.66666666666667,31.0,0.16666666666666666
1792,12,-54.0,34.0,0.0
1935,13,-54.0,34.0,0.0
2085,14,-47.66666666666667,31.0,0.16666666666666666
2215,15,-47.66666666666667,31.0,0.16666666666666666
2365,16,-28.0,18.0,0.5
2515,17,-41.333333333333336,28.0,0.3333333333333333
2665,18,-41.333333333333336,28.0,0.3333333333333333
2815,19,-41.333333333333336,28.0,0.3333333333333333
2965,20,-47.66666666666667,31.0,0.16666666666666666
3115,21,-40.66666666666667,24.0,0.16666666666666666
3265,22,-54.0,34.0,0.0
3415,23,-54.0,34.0,0.0
3565,24,-54.0,34.0,0.0
3715,25,-47.66666666666667,31.0,0.16666666666666666
3865,26,-47.66666666666667,31.0,0.16666666666666666
4015,27,-41.333333333333336,28.0,0.3333333333333333
4157,28,-32.0,22.0,0.5
4307,29,-41.333333333333336,28.0,0.3333333333333333
4457,30,-47.66666666666667,31.0,0.16666666666666666
4607,31,-41.333333333333336,28.0,0.3333333333333333
4744,32,-54.0,34.0,0.0
4894,33,-44.66666666666667,28.0,0.16666666666666666
5044,34,-47.66666666666667,31.0,0.16666666666666666
5194,35,-54.0,34.0,0.0
5344,36,-47.66666666666667,31.0,0.16666666666666666
5494,37,-47.66666666666667,31.0,0.16666666666666666
5644,38,-44.66666666666667,28.0,0.16666666666666666
5793,39,-38.333333333333336,25.0,0.3333333333333333
5932,40,-47.66666666666667,31.0,0.16666666666666666
6082,41,-47.66666666666667,31.0,0.16666666666666666
6229,42,-54.0,34.0,0.0
6372,43,-54.0,34.0,0.0
6522,44,-38.333333333333336,25.0,0.3333333333333333
6672,45,-54.0,34.0,0.0
6822,46,-54.0,34.0,0.0
6947,47,-47.66666666666667,31.0,0.16666666666666666
7088,48,-54.0,34.0,0.0
7238,49,-54.0,34.0,0.0
7369,50,-44.66666666666667,28.0,0.16666666666666666
7519,51,-47.66666666666667,31.0,0.16666666666666666
7669,52,-47.66666666666667,31.0,0.16666666666666666
7819,53,-54.0,34.0,0.0
7959,54,-47.66666666666667,31.0,0.16666666666666666
