env_steps,episode,episode_return,WEL,ISR
150,1,-41.285714285714285,27.0,0.2857142857142857
300,2,-41.28571428571429,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-41.285714285714285,27.0,0.2857142857142857
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-41.285714285714285,27.0,0.2857142857142857
1350,9,-41.285714285714285,27.0,0.2857142857142857
1500,10,-41.285714285714285,27.0,0.2857142857142857
1502,11,0.0,0.0,1.0
1652,12,-34.42857142857143,23.0,0.42857142857142855
1802,13,-41.285714285714285,27.0,0.2857142857142857
1952,14,-34.42857142857143,23.0,0.42857142857142855
2102,15,-41.285714285714285,27.0,0.2857142857142857
2252,16,-41.285714285714285,27.0,0.2857142857142857
2402,17,-41.28571428571429,27.0,0.2857142857142857
2552,18,-41.285714285714285,27.0,0.2857142857142857
2702,19,-41.285714285714285,27.0,0.2857142857142857
2852,20,-41.285714285714285,27.0,0.2857142857142857
3002,21,-41.285714285714285,27.0,0.2857142857142857
3152,22,-34.42857142857143,23.0,0.42857142857142855
3302,23,-41.285714285714285,27.0,0.2857142857142857
3452,24,-41.28571428571429,27.0,0.2857142857142857
3602,25,-41.285714285714285,27.0,0.2857142857142857
3752,26,-41.285714285714285,27.0,0.2857142857142857
3902,27,-41.285714285714285,27.0,0.2857142857142857
4052,28,-41.285714285714285,27.0,0.2857142857142857
4202,29,-41.285714285714285,27.0,0.2857142857142857
4352,30,-41.285714285714285,27.0,0.2857142857142857
4502,31,-41.285714285714285,27.0,0.2857142857142857
4652,32,-41.285714285714285,27.0,0.2857142857142857
4802,33,-41.285714285714285,27.0,0.2857142857142857
4952,34,-41.285714285714285,27.0,0.2857142857142857
5102,35,-41.28571428571429,27.0,0.2857142857142857
5252,36,-41.285714285714285,27.0,0.2857142857142857
5402,37,-41.285714285714285,27.0,0.2857142857142857
5552,38,-41.285714285714285,27.0,0.2857142857142857
5702,39,-41.285714285714285,27.0,0.2857142857142857
5852,40,-41.285714285714285,27.0,0.2857142857142857
6002,41,-34.42857142857143,23.0,0.42857142857142855
6152,42,-41.285714285714285,27.0,0.2857142857142857
6302,43,-41.285714285714285,27.0,0.2857142857142857
6452,44,-41.285714285714285,27.0,0.2857142857142857
6602,45,-41.285714285714285,27.0,0.2857142857142857
6752,46,-41.285714285714285,27.0,0.2857142857142857
6902,47,-41.285714285714285,27.0,0.2857142857142857
7052,48,-41.285714285714285,27.0,0.2857142857142857
7202,49,-41.285714285714285,27.0,0.2857142857142857
7352,50,-41.285714285714285,27.0,0.2857142857142857
7502,51,-34.42857142857143,23.0,0.42857142857142855
7652,52,-41.285714285714285,27.0,0.2857142857142857
7802,53,-41.285714285714285,27.0,0.2857142857142857
7952,54,-34.42857142857143,23.0,0.42857142857142855
8102,55,-34.42857142857143,23.0,0.42857142857142855
8252,56,-41.285714285714285,27.0,0.2857142857142857
8402,57,-41.285714285714285,27.0,0.2857142857142857
8552,58,-41.285714285714285,27.0,0.2857142857142857
8702,59,-41.28571428571429,27.0,0.2857142857142857
8852,60,-41.285714285714285,27.0,0.2857142857142857
9002,61,-41.285714285714285,27.0,0.2857142857142857
9152,62,-41.285714285714285,27.0,0.2857142857142857
9302,63,-41.285714285714285,27.0,0.2857142857142857
9452,64,-41.285714285714285,27.0,0.2857142857142857
9602,65,-34.42857142857143,23.0,0.42857142857142855
9752,66,-41.285714285714285,27.0,0.2857142857142857
9902,67,-41.285714285714285,27.0,0.2857142857142857
10052,68,-34.42857142857143,23.0,0.42857142857142855
10202,69,-34.42857142857143,23.0,0.42857142857142855
10352,70,-41.285714285714285,27.0,0.2857142857142857
10502,71,-41.385714285714286,27.0,0.2857142857142857
10652,72,-41.285714285714285,27.0,0.2857142857142857
10802,73,-41.38571428571428,27.0,0.2857142857142857
10952,74,-41.285714285714285,27.0,0.2857142857142857
11102,75,-41.285714285714285,27.0,0.2857142857142857
11252,76,-41.285714285714285,27.0,0.2857142857142857
11402,77,-41.285714285714285,27.0,0.2857142857142857
11552,78,-41.285714285714285,27.0,0.2857142857142857
11702,79,-41.285714285714285,27.0,0.2857142857142857
11852,80,-34.42857142857143,23.0,0.42857142857142855
12002,81,-41.285714285714285,27.0,0.2857142857142857
12152,82,-41.285714285714285,27.0,0.2857142857142857
12302,83,-41.285714285714285,27.0,0.2857142857142857
12452,84,-41.285714285714285,27.0,0.2857142857142857
12602,85,-41.285714285714285,27.0,0.2857142857142857
12752,86,-41.285714285714285,27.0,0.2857142857142857
12902,87,-41.285714285714285,27.0,0.2857142857142857
13052,88,-41.285714285714285,27.0,0.2857142857142857
13202,89,-41.285714285714285,27.0,0.2857142857142857
13352,90,-41.285714285714285,27.0,0.2857142857142857
13502,91,-41.285714285714285,27.0,0.2857142857142857
13652,92,-34.42857142857143,23.0,0.42857142857142855
13802,93,-41.285714285714285,27.0,0.2857142857142857
13952,94,-41.285714285714285,27.0,0.2857142857142857
14102,95,-41.285714285714285,27.0,0.2857142857142857
14252,96,-41.285714285714285,27.0,0.2857142857142857
14402,97,-41.285714285714285,27.0,0.2857142857142857
14552,98,-41.285714285714285,27.0,0.2857142857142857
14702,99,-41.38571428571428,27.0,0.2857142857142857
14852,100,-41.285714285714285,27.0,0.2857142857142857
