env_steps,episode,episode_return,WEL,ISR
150,1,-34.42857142857143,23.0,0.42857142857142855
300,2,-41.385714285714286,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-34.42857142857143,23.0,0.42857142857142855
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-34.42857142857143,23.0,0.42857142857142855
1350,9,-41.285714285714285,27.0,0.2857142857142857
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-34.42857142857143,23.0,0.42857142857142855
1800,12,-41.285714285714285,27.0,0.2857142857142857
1950,13,-34.42857142857143,23.0,0.42857142857142855
