env_steps,episode,episode_return,WEL,ISR
150,1,-41.285714285714285,27.0,0.2857142857142857
300,2,-41.285714285714285,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-41.285714285714285,27.0,0.2857142857142857
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-41.285714285714285,27.0,0.2857142857142857
1350,9,-41.285714285714285,27.0,0.2857142857142857
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-41.285714285714285,27.0,0.2857142857142857
1800,12,-41.285714285714285,27.0,0.2857142857142857
1950,13,-41.28571428571429,27.0,0.2857142857142857
2100,14,-41.285714285714285,27.0,0.2857142857142857
2250,15,-41.38571428571428,27.0,0.2857142857142857
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-41.285714285714285,27.0,0.2857142857142857
2700,18,-41.28571428571429,27.0,0.2857142857142857
2850,19,-41.285714285714285,27.0,0.2857142857142857
3000,20,-41.285714285714285,27.0,0.2857142857142857
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-34.42857142857143,23.0,0.42857142857142855
3450,23,-41.285714285714285,27.0,0.2857142857142857
3600,24,-41.28571428571429,27.0,0.2857142857142857
3750,25,-41.285714285714285,27.0,0.2857142857142857
3900,26,-41.285714285714285,27.0,0.2857142857142857
4050,27,-41.285714285714285,27.0,0.2857142857142857
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-41.285714285714285,27.0,0.2857142857142857
4500,30,-41.285714285714285,27.0,0.2857142857142857
4650,31,-34.42857142857143,23.0,0.42857142857142855
4800,32,-34.42857142857143,23.0,0.42857142857142855
4950,33,-34.42857142857143,23.0,0.42857142857142855
5100,34,-41.285714285714285,27.0,0.2857142857142857
5250,35,-34.42857142857143,23.0,0.42857142857142855
5400,36,-34.42857142857143,23.0,0.42857142857142855
5550,37,-41.285714285714285,27.0,0.2857142857142857
5700,38,-34.42857142857143,23.0,0.42857142857142855
5850,39,-34.42857142857143,23.0,0.42857142857142855
6000,40,-41.285714285714285,27.0,0.2857142857142857
6150,41,-34.528571428571425,23.0,0.42857142857142855
6300,42,-41.285714285714285,27.0,0.2857142857142857
6450,43,-34.42857142857143,23.0,0.42857142857142855
6600,44,-41.28571428571429,27.0,0.2857142857142857
6750,45,-34.42857142857143,23.0,0.42857142857142855
6900,46,-41.28571428571429,27.0,0.2857142857142857
7050,47,-41.285714285714285,27.0,0.2857142857142857
7200,48,-34.42857142857143,23.0,0.42857142857142855
7350,49,-21.571428571428573,13.0,0.5714285714285714
7500,50,-34.42857142857143,23.0,0.42857142857142855
7650,51,-34.42857142857143,23.0,0.42857142857142855
7800,52,-41.285714285714285,27.0,0.2857142857142857
7950,53,-14.714285714285714,9.0,0.7142857142857143
8100,54,-34.42857142857143,23.0,0.42857142857142855
8250,55,-34.42857142857143,23.0,0.42857142857142855
8400,56,-34.42857142857143,23.0,0.42857142857142855
8550,57,-41.285714285714285,27.0,0.2857142857142857
8700,58,-28.42857142857143,17.0,0.42857142857142855
8850,59,-34.42857142857143,23.0,0.42857142857142855
9000,60,-34.42857142857143,23.0,0.42857142857142855
9150,61,-34.42857142857143,23.0,0.42857142857142855
9300,62,-41.285714285714285,27.0,0.2857142857142857
9450,63,-41.285714285714285,27.0,0.2857142857142857
9600,64,-41.285714285714285,27.0,0.2857142857142857
9750,65,-41.285714285714285,27.0,0.2857142857142857
9900,66,-27.571428571428577,19.0,0.5714285714285714
10050,67,-34.42857142857143,23.0,0.42857142857142855
10200,68,-34.42857142857143,23.0,0.42857142857142855
10350,69,-41.285714285714285,27.0,0.2857142857142857
10500,70,-34.42857142857143,23.0,0.42857142857142855
10650,71,-34.42857142857143,23.0,0.42857142857142855
10800,72,-34.42857142857143,23.0,0.42857142857142855
10950,73,-34.42857142857143,23.0,0.42857142857142855
11100,74,-13.714285714285715,8.0,0.7142857142857143
11250,75,-28.42857142857143,17.0,0.42857142857142855
11400,76,-21.571428571428573,13.0,0.5714285714285714
11550,77,-34.42857142857143,23.0,0.42857142857142855
11700,78,-32.42857142857143,21.0,0.42857142857142855
11850,79,-41.285714285714285,27.0,0.2857142857142857
12000,80,-34.42857142857143,23.0,0.42857142857142855
12150,81,-34.42857142857143,23.0,0.42857142857142855
12300,82,-27.571428571428573,19.0,0.5714285714285714
12450,83,-34.42857142857143,23.0,0.42857142857142855
12600,84,-28.528571428571425,17.0,0.42857142857142855
12750,85,-34.42857142857143,23.0,0.42857142857142855
12900,86,-34.42857142857143,23.0,0.42857142857142855
13050,87,-21.571428571428573,13.0,0.5714285714285714
13200,88,-41.385714285714286,27.0,0.2857142857142857
13350,89,-34.42857142857143,23.0,0.42857142857142855
13500,90,-28.42857142857143,17.0,0.42857142857142855
13650,91,-34.42857142857143,23.0,0.42857142857142855
13800,92,-27.571428571428573,19.0,0.5714285714285714
13950,93,-34.42857142857143,23.0,0.42857142857142855
14100,94,-34.42857142857143,23.0,0.42857142857142855
14250,95,-6.857142857142859,4.0,0.8571428571428571
14400,96,-34.42857142857143,23.0,0.42857142857142855
14550,97,-21.571428571428573,13.0,0.5714285714285714
14700,98,-27.571428571428577,19.0,0.5714285714285714
14850,99,-27.571428571428573,19.0,0.5714285714285714
15000,100,-28.42857142857143,17.0,0.42857142857142855
15150,101,-27.571428571428573,19.0,0.5714285714285714
15300,102,-14.714285714285714,9.0,0.7142857142857143
15304,103,0.0,0.0,1.0
15454,104,-6.857142857142858,4.0,0.8571428571428571
15604,105,-27.571428571428573,19.0,0.5714285714285714
15754,106,-27.571428571428577,19.0,0.5714285714285714
15904,107,-27.771428571428572,19.0,0.5714285714285714
16054,108,-27.571428571428577,19.0,0.5714285714285714
16204,109,-27.571428571428573,19.0,0.5714285714285714
16354,110,-34.42857142857143,23.0,0.42857142857142855
16504,111,-27.671428571428578,19.0,0.5714285714285714
16654,112,-27.671428571428574,19.0,0.5714285714285714
16804,113,-27.571428571428573,19.0,0.5714285714285714
16954,114,-34.42857142857143,23.0,0.42857142857142855
17104,115,-21.67142857142857,13.0,0.5714285714285714
17254,116,-27.571428571428577,19.0,0.5714285714285714
17404,117,-21.571428571428573,13.0,0.5714285714285714
17554,118,-21.571428571428573,13.0,0.5714285714285714
17704,119,-34.42857142857143,23.0,0.42857142857142855
17854,120,-41.285714285714285,27.0,0.2857142857142857
18004,121,-34.42857142857143,23.0,0.42857142857142855
18154,122,-27.571428571428577,19.0,0.5714285714285714
18304,123,-21.571428571428573,13.0,0.5714285714285714
18454,124,-34.42857142857143,23.0,0.42857142857142855
18604,125,-27.571428571428577,19.0,0.5714285714285714
18754,126,-41.285714285714285,27.0,0.2857142857142857
18904,127,-41.285714285714285,27.0,0.2857142857142857
19054,128,-27.571428571428577,19.0,0.5714285714285714
19204,129,-8.857142857142858,6.0,0.8571428571428571
19354,130,-27.571428571428573,19.0,0.5714285714285714
19504,131,-12.85714285714286,10.0,0.8571428571428571
19654,132,-27.571428571428577,19.0,0.5714285714285714
19804,133,-34.42857142857143,23.0,0.42857142857142855
19954,134,-19.714285714285715,14.0,0.7142857142857143
20104,135,-21.571428571428573,13.0,0.5714285714285714
20254,136,-21.571428571428573,13.0,0.5714285714285714
20404,137,-27.571428571428577,19.0,0.5714285714285714
20554,138,-19.714285714285715,14.0,0.7142857142857143
20704,139,-34.42857142857143,23.0,0.42857142857142855
20854,140,-34.42857142857143,23.0,0.42857142857142855
21004,141,-34.42857142857143,23.0,0.42857142857142855
21154,142,-14.714285714285714,9.0,0.7142857142857143
21304,143,-41.285714285714285,27.0,0.2857142857142857
21454,144,-34.42857142857143,23.0,0.42857142857142855
21604,145,-34.42857142857143,23.0,0.42857142857142855
21754,146,-21.571428571428573,13.0,0.5714285714285714
21904,147,-27.571428571428577,19.0,0.5714285714285714
22054,148,-27.571428571428573,19.0,0.5714285714285714
22204,149,-27.571428571428573,19.0,0.5714285714285714
