region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,assets_rot90,CommNet (matched),42,7.0,8.6,0.5777777777777777,0.9068610349784237,619.4666666666667,-392.90833333333336
california,assets_rot90,CommNet (matched),1042,7.0,9.133333333333333,0.5555555555555556,0.8745305494032375,667.0666666666667,-437.1098697916667
california,assets_rot90,CommNet (matched),2042,7.0,11.6,0.5222222222222223,0.8054553057938992,703.6,-481.52791666666667
california,assets_rot90,CommNet (matched),3042,7.0,6.4,0.6444444444444444,0.8228993350798363,611.2666666666667,-373.872265625
california,assets_rot90,CommNet (matched),4042,7.0,8.666666666666666,0.5888888888888889,0.7894559439853015,611.0666666666667,-375.58578125
california,assets_rot90,Learned Hierarchical,42,7.0,15.8,0.4444444444444444,0.9832733223043195,651.4,-394.638671875
california,assets_rot90,Learned Hierarchical,1042,7.0,18.0,0.4,0.983433105338881,697.4666666666667,-447.5735677083333
california,assets_rot90,Learned Hierarchical,2042,7.0,17.6,0.4222222222222222,0.9664386704266634,727.7333333333333,-487.7825520833333
california,assets_rot90,Learned Hierarchical,3042,7.0,15.0,0.4888888888888889,0.9807039977279655,636.2666666666667,-385.2740885416667
california,assets_rot90,Learned Hierarchical,4042,7.0,14.066666666666666,0.4888888888888889,0.98555970724648,642.9333333333333,-388.7799479166667
california,assets_rot90,Local Reactive,42,7.0,5.2,0.7222222222222222,0.9959547556074569,575.6,-377.3027083333333
california,assets_rot90,Local Reactive,1042,7.0,6.133333333333334,0.711111111111111,0.9978544061302682,613.0666666666667,-435.7779947916667
california,assets_rot90,Local Reactive,2042,7.0,8.133333333333333,0.6555555555555556,0.995640687753161,654.8666666666667,-444.20960937499996
california,assets_rot90,Local Reactive,3042,7.0,5.933333333333334,0.7222222222222222,0.9926459555894324,554.9333333333333,-356.6375260416667
california,assets_rot90,Local Reactive,4042,7.0,4.466666666666667,0.7555555555555556,0.9971264955156556,562.1333333333333,-358.1726822916667
california,assets_rot90,No-Op,42,7.0,15.8,0.4444444444444444,1.0,656.0666666666667,-396.4505208333333
california,assets_rot90,No-Op,1042,7.0,18.0,0.4,1.0,702.6,-451.2415364583333
california,assets_rot90,No-Op,2042,7.0,17.6,0.4222222222222222,1.0,731.1333333333333,-489.6276041666667
california,assets_rot90,No-Op,3042,7.0,15.0,0.4888888888888889,1.0,641.4,-387.1725260416667
california,assets_rot90,No-Op,4042,7.0,14.266666666666667,0.4777777777777778,1.0,646.6666666666666,-390.8502604166667
california,assets_rot90,Value-First Heuristic,42,7.0,15.6,0.45555555555555555,0.9981639176889964,652.9333333333333,-394.5611979166667
california,assets_rot90,Value-First Heuristic,1042,7.0,18.0,0.4,0.9977400071992573,699.9333333333333,-449.0123697916667
california,assets_rot90,Value-First Heuristic,2042,7.0,17.4,0.43333333333333335,0.9982776623481147,728.5333333333333,-487.6783854166667
california,assets_rot90,Value-First Heuristic,3042,7.0,15.0,0.4888888888888889,0.9978298713329679,638.4,-385.7044270833333
california,assets_rot90,Value-First Heuristic,4042,7.0,14.066666666666666,0.4888888888888889,0.997738296982141,644.2666666666667,-388.96484375
california,cross_region,CommNet (matched) [trained on saudi],42,7.0,24.6,0.24444444444444444,0.6732477174192083,640.2666666666667,-388.11809895833335
california,cross_region,CommNet (matched) [trained on saudi],1042,7.0,27.733333333333334,0.16666666666666666,0.6551729778373979,687.8666666666667,-442.520703125
california,cross_region,CommNet (matched) [trained on saudi],2042,7.0,27.333333333333332,0.17777777777777776,0.6333918897559,716.5333333333333,-476.1562760416667
california,cross_region,CommNet (matched) [trained on saudi],3042,7.0,22.4,0.31111111111111106,0.6269958457344093,625.8666666666667,-378.38645833333334
california,cross_region,CommNet (matched) [trained on saudi],4042,7.0,23.8,0.26666666666666666,0.6766345868115168,631.0,-385.4128125
california,cross_region,Learned Hierarchical [trained on saudi],42,7.0,24.6,0.24444444444444444,0.9943295019157089,652.7333333333333,-393.62890625
california,cross_region,Learned Hierarchical [trained on saudi],1042,7.0,27.733333333333334,0.16666666666666666,0.9946360153256706,699.9333333333333,-448.509765625
