region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,heldout_ignition,No-Op,42,0,34.0,0.0,1.0,827,-393.173828125
california,heldout_ignition,No-Op,42,1,16.0,0.5,1.0,578,-279.365234375
california,heldout_ignition,No-Op,42,2,12.0,0.5,1.0,498,-324.892578125
california,heldout_ignition,No-Op,42,3,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,42,4,28.0,0.16666666666666666,1.0,742,-540.654296875
california,heldout_ignition,No-Op,42,5,34.0,0.0,1.0,827,-393.154296875
california,heldout_ignition,No-Op,42,6,16.0,0.5,1.0,578,-279.35546875
california,heldout_ignition,No-Op,42,7,12.0,0.5,1.0,498,-324.912109375
california,heldout_ignition,No-Op,42,8,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,42,9,28.0,0.16666666666666666,1.0,742,-540.6640625
california,heldout_ignition,No-Op,42,10,34.0,0.0,1.0,827,-393.193359375
california,heldout_ignition,No-Op,42,11,16.0,0.5,1.0,578,-279.365234375
california,heldout_ignition,No-Op,42,12,12.0,0.5,1.0,498,-324.90234375
california,heldout_ignition,No-Op,42,13,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,42,14,28.0,0.16666666666666666,1.0,742,-540.615234375
california,heldout_ignition,No-Op,1042,0,34.0,0.0,1.0,827,-393.1640625
california,heldout_ignition,No-Op,1042,1,16.0,0.5,1.0,578,-279.345703125
california,heldout_ignition,No-Op,1042,2,12.0,0.5,1.0,498,-324.90234375
california,heldout_ignition,No-Op,1042,3,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,1042,4,28.0,0.16666666666666666,1.0,742,-540.625
california,heldout_ignition,No-Op,1042,5,34.0,0.0,1.0,827,-393.193359375
california,heldout_ignition,No-Op,1042,6,16.0,0.5,1.0,578,-279.365234375
california,heldout_ignition,No-Op,1042,7,12.0,0.5,1.0,498,-324.892578125
california,heldout_ignition,No-Op,1042,8,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,1042,9,28.0,0.16666666666666666,1.0,742,-540.654296875
california,heldout_ignition,No-Op,1042,10,34.0,0.0,1.0,827,-393.173828125
california,heldout_ignition,No-Op,1042,11,16.0,0.5,1.0,578,-279.365234375
california,heldout_ignition,No-Op,1042,12,12.0,0.5,1.0,498,-324.8828125
california,heldout_ignition,No-Op,1042,13,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,1042,14,28.0,0.16666666666666666,1.0,742,-540.654296875
california,heldout_ignition,No-Op,2042,0,34.0,0.0,1.0,827,-393.1640625
california,heldout_ignition,No-Op,2042,1,16.0,0.5,1.0,578,-279.375
california,heldout_ignition,No-Op,2042,2,12.0,0.5,1.0,498,-324.90234375
california,heldout_ignition,No-Op,2042,3,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,2042,4,28.0,0.16666666666666666,1.0,742,-540.673828125
california,heldout_ignition,No-Op,2042,5,34.0,0.0,1.0,827,-393.18359375
california,heldout_ignition,No-Op,2042,6,16.0,0.5,1.0,578,-279.35546875
california,heldout_ignition,No-Op,2042,7,12.0,0.5,1.0,498,-324.912109375
california,heldout_ignition,No-Op,2042,8,0.0,1.0,1.0,279,-112.32421875
california,heldout_ignition,No-Op,2042,9,28.0,0.16666666666666666,1.0,742,-540.615234375
california,heldout_ignition,No-Op,2042,10,34.0,0.0,1.0,827,-393.203125
california,heldout_ignition,No-Op,2042,11,16.0,0.5,1.0,578,-279.35546875
california,heldout_ignition,No-Op,2042,12,12.0,0.5,1.0,498,-324.892578125
