region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,heldout_ignition,No-Op,42,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,No-Op,42,1,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,No-Op,42,2,27.0,0.2857142857142857,1.0,900,-538.59375
saudi,heldout_ignition,No-Op,42,3,27.0,0.2857142857142857,1.0,650,-294.31640625
saudi,heldout_ignition,No-Op,42,4,27.0,0.2857142857142857,1.0,900,-715.91796875
saudi,heldout_ignition,No-Op,42,5,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,No-Op,42,6,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,No-Op,42,7,27.0,0.2857142857142857,1.0,900,-538.623046875
saudi,heldout_ignition,No-Op,42,8,27.0,0.2857142857142857,1.0,650,-294.326171875
saudi,heldout_ignition,No-Op,42,9,27.0,0.2857142857142857,1.0,900,-715.888671875
saudi,heldout_ignition,No-Op,42,10,27.0,0.2857142857142857,1.0,900,-121.298828125
saudi,heldout_ignition,No-Op,42,11,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,No-Op,42,12,27.0,0.2857142857142857,1.0,900,-538.623046875
saudi,heldout_ignition,No-Op,42,13,27.0,0.2857142857142857,1.0,650,-294.3359375
saudi,heldout_ignition,No-Op,42,14,27.0,0.2857142857142857,1.0,900,-715.888671875
saudi,heldout_ignition,No-Op,1042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,No-Op,1042,1,27.0,0.2857142857142857,1.0,900,-492.67578125
saudi,heldout_ignition,No-Op,1042,2,27.0,0.2857142857142857,1.0,900,-538.61328125
saudi,heldout_ignition,No-Op,1042,3,27.0,0.2857142857142857,1.0,650,-294.3359375
saudi,heldout_ignition,No-Op,1042,4,27.0,0.2857142857142857,1.0,900,-715.87890625
saudi,heldout_ignition,No-Op,1042,5,27.0,0.2857142857142857,1.0,900,-121.2890625
saudi,heldout_ignition,No-Op,1042,6,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,No-Op,1042,7,27.0,0.2857142857142857,1.0,900,-538.59375
saudi,heldout_ignition,No-Op,1042,8,27.0,0.2857142857142857,1.0,650,-294.31640625
saudi,heldout_ignition,No-Op,1042,9,27.0,0.2857142857142857,1.0,900,-715.91796875
saudi,heldout_ignition,No-Op,1042,10,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,No-Op,1042,11,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,No-Op,1042,12,27.0,0.2857142857142857,1.0,900,-538.59375
saudi,heldout_ignition,No-Op,1042,13,27.0,0.2857142857142857,1.0,650,-294.365234375
saudi,heldout_ignition,No-Op,1042,14,27.0,0.2857142857142857,1.0,900,-715.8984375
saudi,heldout_ignition,No-Op,2042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
