region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,3,CommNet (matched),42,7.0,17.4,0.4222222222222222,0.5537126345289634,631.1333333333333,-384.15614583333337
california,3,CommNet (matched),1042,7.0,22.133333333333333,0.31111111111111106,0.6381863588297644,680.2,-437.3498177083333
california,3,CommNet (matched),2042,7.0,22.533333333333335,0.31111111111111106,0.6386701762346084,709.5333333333333,-475.32049479166665
california,3,CommNet (matched),3042,7.0,15.6,0.47777777777777775,0.6668105892704602,605.9333333333333,-378.4616145833333
california,3,CommNet (matched),4042,7.0,18.2,0.4222222222222222,0.6547545774839693,619.9333333333333,-376.9564322916667
california,3,Local Reactive,42,7.0,13.733333333333333,0.5,0.9953537785676172,571.5333333333333,-375.09226562500004
california,3,Local Reactive,1042,7.0,15.8,0.43333333333333335,0.9973946360153256,607.6,-426.087890625
california,3,Local Reactive,2042,7.0,20.0,0.34444444444444444,0.9937200478773563,647.0666666666667,-441.89776041666664
california,3,Local Reactive,3042,7.0,11.733333333333333,0.5666666666666667,0.9949260600806992,552.8666666666667,-374.08315104166667
california,3,Local Reactive,4042,7.0,14.4,0.5111111111111112,0.9948964029312204,564.6,-362.4402604166667
california,3,No-Op,42,7.0,24.6,0.24444444444444444,1.0,656.0666666666667,-396.4635416666667
california,3,No-Op,1042,7.0,27.733333333333334,0.16666666666666666,1.0,702.5333333333333,-451.248046875
california,3,No-Op,2042,7.0,27.733333333333334,0.16666666666666666,1.0,731.0666666666667,-489.6399739583333
california,3,No-Op,3042,7.0,22.4,0.31111111111111106,1.0,641.4,-387.18359375
california,3,No-Op,4042,7.0,23.8,0.26666666666666666,1.0,646.6666666666666,-390.859375
california,3,Value-First Heuristic,42,7.0,24.2,0.25555555555555554,0.9898906591241095,651.9333333333333,-394.435546875
california,3,Value-First Heuristic,1042,7.0,26.933333333333334,0.18888888888888886,0.9917217273435402,699.0666666666667,-448.8157552083333
california,3,Value-First Heuristic,2042,7.0,26.533333333333335,0.2,0.9918329525664811,727.2,-487.06640625
california,3,Value-First Heuristic,3042,7.0,22.0,0.3222222222222222,0.9912297673840885,636.4666666666667,-385.248046875
california,3,Value-First Heuristic,4042,7.0,23.4,0.27777777777777773,0.9913478162278485,642.6666666666666,-388.5813802083333
california,6,CommNet (matched),42,7.0,14.733333333333333,0.4888888888888889,0.5749209999095892,580.0,-371.49250000000006
california,6,CommNet (matched),1042,7.0,18.533333333333335,0.4,0.5161901648481533,632.7333333333333,-429.7112760416667
california,6,CommNet (matched),2042,7.0,20.733333333333334,0.3555555555555555,0.5240385048789857,674.8666666666667,-466.0234375
california,6,CommNet (matched),3042,7.0,13.2,0.5333333333333333,0.5566486859662951,577.8,-372.39630208333335
california,6,CommNet (matched),4042,7.0,15.8,0.4888888888888889,0.55443353660204,580.6,-366.5
california,6,Local Reactive,42,7.0,8.333333333333334,0.6333333333333333,0.9896335218749012,522.0,-386.49895833333335
california,6,Local Reactive,1042,7.0,12.8,0.5111111111111112,0.9858731805298973,560.4666666666667,-391.18203125
california,6,Local Reactive,2042,7.0,12.0,0.5111111111111112,0.9855909932101344,584.8666666666667,-423.97234375
california,6,Local Reactive,3042,7.0,7.866666666666666,0.6222222222222222,0.9871098697885305,496.8,-352.0618489583333
california,6,Local Reactive,4042,7.0,3.066666666666667,0.6888888888888889,0.9894041882685332,500.8666666666667,-338.781171875
california,6,No-Op,42,7.0,24.6,0.24444444444444444,1.0,656.0666666666667,-396.4635416666667
california,6,No-Op,1042,7.0,27.733333333333334,0.16666666666666666,1.0,702.5333333333333,-451.248046875
california,6,No-Op,2042,7.0,27.733333333333334,0.16666666666666666,1.0,731.0666666666667,-489.6399739583333
california,6,No-Op,3042,7.0,22.4,0.31111111111111106,1.0,641.4,-387.18359375
california,6,No-Op,4042,7.0,23.8,0.26666666666666666,1.0,646.6666666666666,-390.859375
