region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,3,No-Op,42,0,34.0,0.0,1.0,827,-421.54296875
california,3,No-Op,42,1,16.0,0.5,1.0,555,-281.123046875
california,3,No-Op,42,2,28.0,0.16666666666666666,1.0,632,-415.400390625
california,3,No-Op,42,3,12.0,0.5,1.0,487,-307.79296875
california,3,No-Op,42,4,22.0,0.3333333333333333,1.0,623,-376.923828125
california,3,No-Op,42,5,34.0,0.0,1.0,827,-599.43359375
california,3,No-Op,42,6,34.0,0.0,1.0,827,-578.642578125
california,3,No-Op,42,7,34.0,0.0,1.0,827,-358.10546875
california,3,No-Op,42,8,22.0,0.3333333333333333,1.0,543,-347.119140625
california,3,No-Op,42,9,34.0,0.0,1.0,827,-571.689453125
california,3,No-Op,42,10,9.0,0.6666666666666666,1.0,418,-259.091796875
california,3,No-Op,42,11,22.0,0.3333333333333333,1.0,542,-333.046875
california,3,No-Op,42,12,34.0,0.0,1.0,827,-436.279296875
california,3,No-Op,42,13,12.0,0.5,1.0,466,-301.787109375
california,3,No-Op,42,14,22.0,0.3333333333333333,1.0,613,-358.974609375
california,3,No-Op,1042,0,22.0,0.3333333333333333,1.0,543,-349.462890625
california,3,No-Op,1042,1,34.0,0.0,1.0,765,-550.556640625
california,3,No-Op,1042,2,34.0,0.0,1.0,827,-341.083984375
california,3,No-Op,1042,3,28.0,0.16666666666666666,1.0,748,-566.416015625
california,3,No-Op,1042,4,34.0,0.0,1.0,827,-564.765625
california,3,No-Op,1042,5,28.0,0.16666666666666666,1.0,783,-553.59375
california,3,No-Op,1042,6,22.0,0.3333333333333333,1.0,539,-327.63671875
california,3,No-Op,1042,7,12.0,0.5,1.0,475,-309.052734375
california,3,No-Op,1042,8,34.0,0.0,1.0,827,-377.75390625
california,3,No-Op,1042,9,34.0,0.0,1.0,827,-584.638671875
california,3,No-Op,1042,10,34.0,0.0,1.0,757,-511.9140625
california,3,No-Op,1042,11,22.0,0.3333333333333333,1.0,634,-392.05078125
california,3,No-Op,1042,12,22.0,0.3333333333333333,1.0,634,-392.041015625
california,3,No-Op,1042,13,34.0,0.0,1.0,827,-654.43359375
california,3,No-Op,1042,14,22.0,0.3333333333333333,1.0,525,-293.3203125
california,3,No-Op,2042,0,28.0,0.16666666666666666,1.0,745,-559.208984375
california,3,No-Op,2042,1,34.0,0.0,1.0,827,-528.935546875
california,3,No-Op,2042,2,34.0,0.0,1.0,827,-597.822265625
california,3,No-Op,2042,3,34.0,0.0,1.0,827,-581.953125
california,3,No-Op,2042,4,28.0,0.16666666666666666,1.0,653,-403.984375
california,3,No-Op,2042,5,22.0,0.3333333333333333,1.0,625,-378.291015625
california,3,No-Op,2042,6,12.0,0.5,1.0,504,-332.080078125
california,3,No-Op,2042,7,34.0,0.0,1.0,827,-584.619140625
california,3,No-Op,2042,8,28.0,0.16666666666666666,1.0,724,-565.48828125
california,3,No-Op,2042,9,28.0,0.16666666666666666,1.0,796,-569.16015625
california,3,No-Op,2042,10,22.0,0.3333333333333333,1.0,618,-368.154296875
california,3,No-Op,2042,11,16.0,0.5,1.0,591,-285.83984375
california,3,No-Op,2042,12,28.0,0.16666666666666666,1.0,748,-573.779296875
california,3,No-Op,2042,13,34.0,0.0,1.0,827,-429.7265625
california,3,No-Op,2042,14,34.0,0.0,1.0,827,-585.556640625
california,3,No-Op,3042,0,28.0,0.16666666666666666,1.0,623,-459.0234375
california,3,No-Op,3042,1,6.0,0.6666666666666666,1.0,454,-240.9375
california,3,No-Op,3042,2,34.0,0.0,1.0,827,-393.193359375
california,3,No-Op,3042,3,22.0,0.3333333333333333,1.0,613,-357.529296875
california,3,No-Op,3042,4,34.0,0.0,1.0,827,-388.720703125
california,3,No-Op,3042,5,28.0,0.16666666666666666,1.0,769,-557.75390625
california,3,No-Op,3042,6,3.0,0.8333333333333334,1.0,311,-131.42578125
california,3,No-Op,3042,7,9.0,0.6666666666666666,1.0,407,-235.8984375
california,3,No-Op,3042,8,16.0,0.5,1.0,522,-249.8828125
california,3,No-Op,3042,9,28.0,0.16666666666666666,1.0,748,-526.318359375
california,3,No-Op,3042,10,28.0,0.16666666666666666,1.0,670,-476.943359375
california,3,No-Op,3042,11,28.0,0.16666666666666666,1.0,816,-616.71875
california,3,No-Op,3042,12,34.0,0.0,1.0,827,-485.634765625
california,3,No-Op,3042,13,22.0,0.3333333333333333,1.0,646,-409.189453125
california,3,No-Op,3042,14,16.0,0.5,1.0,561,-278.583984375
california,3,No-Op,4042,0,12.0,0.5,1.0,483,-266.54296875
california,3,No-Op,4042,1,22.0,0.3333333333333333,1.0,551,-370.3125
california,3,No-Op,4042,2,3.0,0.8333333333333334,1.0,330,-153.37890625
california,3,No-Op,4042,3,28.0,0.16666666666666666,1.0,728,-488.828125
california,3,No-Op,4042,4,28.0,0.16666666666666666,1.0,699,-511.083984375
california,3,No-Op,4042,5,34.0,0.0,1.0,827,-397.294921875
california,3,No-Op,4042,6,22.0,0.3333333333333333,1.0,609,-372.138671875
california,3,No-Op,4042,7,34.0,0.0,1.0,827,-461.42578125
california,3,No-Op,4042,8,22.0,0.3333333333333333,1.0,560,-379.86328125
california,3,No-Op,4042,9,28.0,0.16666666666666666,1.0,814,-590.478515625
california,3,No-Op,4042,10,12.0,0.5,1.0,468,-272.275390625
california,3,No-Op,4042,11,34.0,0.0,1.0,827,-300.41015625
california,3,No-Op,4042,12,22.0,0.3333333333333333,1.0,638,-412.431640625
california,3,No-Op,4042,13,28.0,0.16666666666666666,1.0,656,-431.85546875
california,3,No-Op,4042,14,28.0,0.16666666666666666,1.0,683,-454.5703125
california,3,Value-First Heuristic,42,0,34.0,0.0,1.0,825,-417.51953125
california,3,Value-First Heuristic,42,1,16.0,0.5,0.9885057471264368,547,-280.185546875
california,3,Value-First Heuristic,42,2,28.0,0.16666666666666666,0.9885057471264368,627,-413.212890625
california,3,Value-First Heuristic,42,3,12.0,0.5,0.9908045977011494,483,-305.732421875
california,3,Value-First Heuristic,42,4,22.0,0.3333333333333333,0.9862068965517241,614,-373.837890625
california,3,Value-First Heuristic,42,5,34.0,0.0,0.993006993006993,825,-597.98828125
california,3,Value-First Heuristic,42,6,34.0,0.0,0.9897435897435898,825,-577.451171875
california,3,Value-First Heuristic,42,7,34.0,0.0,1.0,827,-358.10546875
california,3,Value-First Heuristic,42,8,22.0,0.3333333333333333,0.9885057471264368,540,-345.1953125
california,3,Value-First Heuristic,42,9,34.0,0.0,0.9875621890547264,825,-566.73828125
california,3,Value-First Heuristic,42,10,9.0,0.6666666666666666,0.9908045977011494,416,-258.0859375
california,3,Value-First Heuristic,42,11,22.0,0.3333333333333333,0.9885057471264368,539,-331.73828125
california,3,Value-First Heuristic,42,12,34.0,0.0,0.976897689768977,824,-434.19921875
california,3,Value-First Heuristic,42,13,12.0,0.5,0.9908045977011494,464,-300.5078125
california,3,Value-First Heuristic,42,14,16.0,0.5,0.9885057471264368,598,-356.03515625
california,3,Value-First Heuristic,1042,0,22.0,0.3333333333333333,0.9885057471264368,540,-347.578125
california,3,Value-First Heuristic,1042,1,34.0,0.0,0.993103448275862,762,-549.677734375
california,3,Value-First Heuristic,1042,2,34.0,0.0,1.0,826,-340.439453125
california,3,Value-First Heuristic,1042,3,28.0,0.16666666666666666,0.9954022988505747,745,-562.568359375
california,3,Value-First Heuristic,1042,4,34.0,0.0,0.9952038369304557,824,-562.0703125
california,3,Value-First Heuristic,1042,5,28.0,0.16666666666666666,0.993103448275862,780,-550.8203125
california,3,Value-First Heuristic,1042,6,22.0,0.3333333333333333,0.9908045977011494,536,-325.517578125
california,3,Value-First Heuristic,1042,7,12.0,0.5,0.9908045977011494,473,-308.3203125
california,3,Value-First Heuristic,1042,8,34.0,0.0,0.9895833333333334,826,-377.177734375
california,3,Value-First Heuristic,1042,9,34.0,0.0,0.9876543209876543,825,-583.408203125
california,3,Value-First Heuristic,1042,10,34.0,0.0,0.993103448275862,750,-498.564453125
california,3,Value-First Heuristic,1042,11,16.0,0.5,0.9885057471264368,627,-390.947265625
california,3,Value-First Heuristic,1042,12,16.0,0.5,0.9885057471264368,627,-390.927734375
california,3,Value-First Heuristic,1042,13,34.0,0.0,0.9907407407407407,824,-651.767578125
california,3,Value-First Heuristic,1042,14,22.0,0.3333333333333333,0.9908045977011494,521,-292.451171875
california,3,Value-First Heuristic,2042,0,28.0,0.16666666666666666,1.0,744,-559.091796875
california,3,Value-First Heuristic,2042,1,34.0,0.0,0.994535519125683,825,-527.490234375
california,3,Value-First Heuristic,2042,2,34.0,0.0,0.9901234567901235,825,-592.79296875
california,3,Value-First Heuristic,2042,3,34.0,0.0,0.9885057471264368,825,-580.224609375
california,3,Value-First Heuristic,2042,4,22.0,0.3333333333333333,0.993103448275862,646,-402.685546875
california,3,Value-First Heuristic,2042,5,16.0,0.5,0.9908045977011494,613,-373.310546875
california,3,Value-First Heuristic,2042,6,12.0,0.5,0.9908045977011494,502,-331.123046875
california,3,Value-First Heuristic,2042,7,34.0,0.0,0.9876543209876543,825,-583.388671875
california,3,Value-First Heuristic,2042,8,28.0,0.16666666666666666,0.993103448275862,720,-560.33203125
california,3,Value-First Heuristic,2042,9,28.0,0.16666666666666666,0.9816091954022989,793,-566.5625
california,3,Value-First Heuristic,2042,10,16.0,0.5,0.9908045977011494,609,-366.123046875
california,3,Value-First Heuristic,2042,11,16.0,0.5,0.993103448275862,587,-283.88671875
california,3,Value-First Heuristic,2042,12,28.0,0.16666666666666666,0.9908045977011494,745,-570.01953125
california,3,Value-First Heuristic,2042,13,34.0,0.0,1.0,824,-424.82421875
california,3,Value-First Heuristic,2042,14,34.0,0.0,0.9925373134328358,825,-584.140625
california,3,Value-First Heuristic,3042,0,28.0,0.16666666666666666,0.9885057471264368,621,-457.373046875
california,3,Value-First Heuristic,3042,1,6.0,0.6666666666666666,0.9908045977011494,446,-239.384765625
california,3,Value-First Heuristic,3042,2,34.0,0.0,0.9964912280701754,824,-391.728515625
california,3,Value-First Heuristic,3042,3,16.0,0.5,0.9885057471264368,598,-354.599609375
california,3,Value-First Heuristic,3042,4,34.0,0.0,0.9828178694158075,826,-388.0859375
california,3,Value-First Heuristic,3042,5,28.0,0.16666666666666666,0.9954022988505747,765,-554.3359375
california,3,Value-First Heuristic,3042,6,3.0,0.8333333333333334,0.993103448275862,310,-131.171875
california,3,Value-First Heuristic,3042,7,9.0,0.6666666666666666,0.9908045977011494,405,-234.873046875
california,3,Value-First Heuristic,3042,8,16.0,0.5,0.993103448275862,515,-249.3359375
california,3,Value-First Heuristic,3042,9,28.0,0.16666666666666666,1.0,743,-518.53515625
california,3,Value-First Heuristic,3042,10,28.0,0.16666666666666666,0.9908045977011494,666,-474.35546875
california,3,Value-First Heuristic,3042,11,28.0,0.16666666666666666,0.9862068965517241,815,-616.298828125
california,3,Value-First Heuristic,3042,12,34.0,0.0,0.987987987987988,826,-484.306640625
california,3,Value-First Heuristic,3042,13,22.0,0.3333333333333333,0.9908045977011494,635,-406.279296875
california,3,Value-First Heuristic,3042,14,16.0,0.5,0.993103448275862,552,-278.056640625
