region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,3,No-Op,42,0,27.0,0.2857142857142857,1.0,900,-191.26953125
saudi,3,No-Op,42,1,27.0,0.2857142857142857,1.0,872,-609.814453125
saudi,3,No-Op,42,2,27.0,0.2857142857142857,1.0,898,-739.8828125
saudi,3,No-Op,42,3,27.0,0.2857142857142857,1.0,761,-405.009765625
saudi,3,No-Op,42,4,27.0,0.2857142857142857,1.0,888,-671.2890625
saudi,3,No-Op,42,5,27.0,0.2857142857142857,1.0,900,-351.396484375
saudi,3,No-Op,42,6,27.0,0.2857142857142857,1.0,900,-572.59765625
saudi,3,No-Op,42,7,27.0,0.2857142857142857,1.0,900,-161.376953125
saudi,3,No-Op,42,8,27.0,0.2857142857142857,1.0,821,-508.857421875
saudi,3,No-Op,42,9,27.0,0.2857142857142857,1.0,900,-629.560546875
saudi,3,No-Op,42,10,27.0,0.2857142857142857,1.0,900,-538.623046875
saudi,3,No-Op,42,11,27.0,0.2857142857142857,1.0,900,-628.4375
saudi,3,No-Op,42,12,27.0,0.2857142857142857,1.0,900,-414.384765625
saudi,3,No-Op,42,13,27.0,0.2857142857142857,1.0,680,-315.95703125
saudi,3,No-Op,42,14,27.0,0.2857142857142857,1.0,900,-731.71875
saudi,3,No-Op,1042,0,27.0,0.2857142857142857,1.0,900,-585.283203125
saudi,3,No-Op,1042,1,27.0,0.2857142857142857,1.0,857,-589.140625
saudi,3,No-Op,1042,2,27.0,0.2857142857142857,1.0,900,-653.45703125
saudi,3,No-Op,1042,3,27.0,0.2857142857142857,1.0,838,-544.521484375
saudi,3,No-Op,1042,4,27.0,0.2857142857142857,1.0,900,-471.279296875
saudi,3,No-Op,1042,5,27.0,0.2857142857142857,1.0,900,-238.828125
saudi,3,No-Op,1042,6,27.0,0.2857142857142857,1.0,900,-659.1015625
saudi,3,No-Op,1042,7,27.0,0.2857142857142857,1.0,900,-667.98828125
saudi,3,No-Op,1042,8,27.0,0.2857142857142857,1.0,900,-445.0390625
saudi,3,No-Op,1042,9,27.0,0.2857142857142857,1.0,900,-296.3671875
saudi,3,No-Op,1042,10,27.0,0.2857142857142857,1.0,809,-487.91015625
saudi,3,No-Op,1042,11,27.0,0.2857142857142857,1.0,900,-617.294921875
saudi,3,No-Op,1042,12,27.0,0.2857142857142857,1.0,900,-617.275390625
saudi,3,No-Op,1042,13,27.0,0.2857142857142857,1.0,900,-715.927734375
saudi,3,No-Op,1042,14,27.0,0.2857142857142857,1.0,884,-668.69140625
saudi,3,No-Op,2042,0,27.0,0.2857142857142857,1.0,859,-595.966796875
saudi,3,No-Op,2042,1,27.0,0.2857142857142857,1.0,900,-640.361328125
saudi,3,No-Op,2042,2,27.0,0.2857142857142857,1.0,900,-677.626953125
saudi,3,No-Op,2042,3,27.0,0.2857142857142857,1.0,900,-190.13671875
saudi,3,No-Op,2042,4,27.0,0.2857142857142857,1.0,900,-455.29296875
saudi,3,No-Op,2042,5,27.0,0.2857142857142857,1.0,900,-679.189453125
saudi,3,No-Op,2042,6,27.0,0.2857142857142857,1.0,877,-592.20703125
saudi,3,No-Op,2042,7,27.0,0.2857142857142857,1.0,900,-296.34765625
saudi,3,No-Op,2042,8,27.0,0.2857142857142857,1.0,900,-696.318359375
saudi,3,No-Op,2042,9,27.0,0.2857142857142857,1.0,900,-694.00390625
saudi,3,No-Op,2042,10,27.0,0.2857142857142857,1.0,900,-639.951171875
saudi,3,No-Op,2042,11,27.0,0.2857142857142857,1.0,900,-390.712890625
saudi,3,No-Op,2042,12,27.0,0.2857142857142857,1.0,900,-597.919921875
saudi,3,No-Op,2042,13,27.0,0.2857142857142857,1.0,900,-466.50390625
saudi,3,No-Op,2042,14,27.0,0.2857142857142857,1.0,900,-649.443359375
saudi,3,No-Op,3042,0,27.0,0.2857142857142857,1.0,795,-461.07421875
saudi,3,No-Op,3042,1,27.0,0.2857142857142857,1.0,900,-716.09375
saudi,3,No-Op,3042,2,27.0,0.2857142857142857,1.0,900,-131.23046875
saudi,3,No-Op,3042,3,27.0,0.2857142857142857,1.0,900,-747.646484375
saudi,3,No-Op,3042,4,27.0,0.2857142857142857,1.0,900,-414.208984375
saudi,3,No-Op,3042,5,27.0,0.2857142857142857,1.0,900,-437.2265625
saudi,3,No-Op,3042,6,27.0,0.2857142857142857,1.0,900,-632.28515625
saudi,3,No-Op,3042,7,27.0,0.2857142857142857,1.0,853,-521.328125
saudi,3,No-Op,3042,8,27.0,0.2857142857142857,1.0,866,-588.80859375
saudi,3,No-Op,3042,9,27.0,0.2857142857142857,1.0,900,-554.697265625
saudi,3,No-Op,3042,10,27.0,0.2857142857142857,1.0,900,-685.068359375
