policy_family,metric,higher_is_better,saudi_mean,california_mean,trs_a_to_b,cdgg_a_to_b,trs_b_to_a,cdgg_b_to_a
nearest_fire,burned_cells,False,0.72,0.0,0.0,0.72,,-0.72
nearest_fire,isr,True,0.9942857142857143,1.0,1.0057471264367817,-0.005714285714285672,0.9942857142857143,0.005714285714285672
nearest_fire,cps,True,1.0,1.0,1.0,0.0,1.0,0.0
nearest_fire,rac,True,-17.64243931166214,0.9837660235132292,-0.05576133810832681,-18.62620533517537,-17.933572506049142,18.62620533517537
nearest_fire,wel,False,0.05739052414894104,0.0,0.0,0.05739052414894104,,-0.05739052414894104
frontier,burned_cells,False,0.72,0.0,0.0,0.72,,-0.72
frontier,isr,True,0.9942857142857143,1.0,1.0057471264367817,-0.005714285714285672,0.9942857142857143,0.005714285714285672
frontier,cps,True,1.0,1.0,1.0,0.0,1.0,0.0
frontier,rac,True,-17.64243931166214,0.9837660235132292,-0.05576133810832681,-18.62620533517537,-17.933572506049142,18.62620533517537
frontier,wel,False,0.05739052414894104,0.0,0.0,0.05739052414894104,,-0.05739052414894104
hierarchical_greedy,burned_cells,False,0.5,0.0,0.0,0.5,,-0.5
hierarchical_greedy,isr,True,1.0,1.0,1.0,0.0,1.0,0.0
hierarchical_greedy,cps,True,1.0,1.0,1.0,0.0,1.0,0.0
hierarchical_greedy,rac,True,0.42218104268366413,0.9662045264299695,2.2886023500442594,-0.5440234837463054,0.436947904025643,0.5440234837463054
hierarchical_greedy,wel,False,0.0,0.0,,0.0,,0.0
hierarchical_risk_aware,burned_cells,False,0.36,0.0,0.0,0.36,,-0.36
hierarchical_risk_aware,isr,True,1.0,1.0,1.0,0.0,1.0,0.0
hierarchical_risk_aware,cps,True,1.0,1.0,1.0,0.0,1.0,0.0
hierarchical_risk_aware,rac,True,0.33269571545790433,0.9770558683408999,2.936785245328853,-0.6443601528829955,0.3405083846667252,0.6443601528829955
hierarchical_risk_aware,wel,False,0.0,0.0,,0.0,,0.0
