region,num_agents,policy,version,seed,episode,reward,burned_cells,fire_intensity
saudi,3,noop,baseline,0,0,-3356.2747408963587,87,159.2749481201172
saudi,3,noop,baseline,0,1,-3603.7633186928924,97,171.90802001953125
saudi,3,noop,baseline,0,2,-3439.0347805827114,101,167.885009765625
saudi,3,noop,baseline,0,3,-3362.7769091289024,88,156.1354522705078
saudi,3,noop,baseline,0,4,-3395.760855405315,87,163.48709106445312
saudi,3,noop,baseline,0,5,-3946.9864621487286,109,182.33538818359375
saudi,3,noop,baseline,0,6,-3873.052755309446,95,172.56390380859375
saudi,3,noop,baseline,0,7,-3687.433445858285,110,183.71266174316406
saudi,3,noop,baseline,0,8,-3801.532378369344,103,168.4510498046875
saudi,3,noop,baseline,0,9,-3717.135443320998,92,166.67864990234375
saudi,3,noop,baseline,0,10,-3176.117732560109,91,161.69216918945312
saudi,3,noop,baseline,0,11,-3269.839227102528,90,167.5146484375
saudi,3,noop,baseline,0,12,-3075.49515463222,83,157.34014892578125
saudi,3,noop,baseline,0,13,-4131.050164265634,101,192.78744506835938
saudi,3,noop,baseline,0,14,-4121.976275792367,92,179.3426513671875
saudi,3,noop,baseline,0,15,-4034.0679737704722,106,182.87649536132812
saudi,3,noop,baseline,0,16,-3129.1156852450226,95,161.95361328125
saudi,3,noop,baseline,0,17,-3386.5085158242955,115,198.33859252929688
saudi,3,noop,baseline,0,18,-3416.7768264101296,86,161.4877166748047
saudi,3,noop,baseline,0,19,-3266.706144038542,91,154.7354278564453
saudi,3,random,baseline,0,0,-2897.336228898245,78,141.26901245117188
saudi,3,random,baseline,0,1,-3287.0164033967603,88,155.11209106445312
saudi,3,random,baseline,0,2,-2404.6647118625083,89,147.59710693359375
saudi,3,random,baseline,0,3,-2115.9740550618544,60,115.6165771484375
saudi,3,random,baseline,0,4,-1755.5954348076666,65,114.94264221191406
saudi,3,random,baseline,0,5,-3632.985566752856,88,163.43450927734375
saudi,3,random,baseline,0,6,-4074.0947871244025,101,181.05230712890625
saudi,3,random,baseline,0,7,-3779.3319858845275,106,182.05816650390625
saudi,3,random,baseline,0,8,-3478.037566264471,81,147.74978637695312
saudi,3,random,baseline,0,9,-2976.580887326632,76,144.0040740966797
saudi,3,random,baseline,0,10,-3207.294085145928,91,165.0952606201172
saudi,3,random,baseline,0,11,-3235.3183085304986,87,157.11790466308594
saudi,3,random,baseline,0,12,-1745.1217683162542,53,108.53565979003906
saudi,3,random,baseline,0,13,-2896.2407681269215,75,155.08143615722656
saudi,3,random,baseline,0,14,-3293.8596616922687,86,167.41766357421875
saudi,3,random,baseline,0,15,-3272.3761831085894,89,154.83035278320312
saudi,3,random,baseline,0,16,-2956.5563396464954,88,156.9085693359375
saudi,3,random,baseline,0,17,-2605.6293686858885,88,161.30047607421875
saudi,3,random,baseline,0,18,-2056.4340283465704,61,129.18655395507812
saudi,3,random,baseline,0,19,-2933.603658201135,77,131.89736938476562
saudi,3,nearest_fire,baseline,0,0,50.498434792208265,0,0.09763473272323608
saudi,3,nearest_fire,baseline,0,1,74.3907038815046,0,0.07277540117502213
saudi,3,nearest_fire,baseline,0,2,36.86864483112383,0,0.09781274944543839
saudi,3,nearest_fire,baseline,0,3,44.52999971477786,0,0.0999949648976326
saudi,3,nearest_fire,baseline,0,4,39.03135391422081,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,5,35.98087032764342,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,6,51.794516265262956,0,0.09706306457519531
saudi,3,nearest_fire,baseline,0,7,35.71449495955626,0,0.09871098399162292
saudi,3,nearest_fire,baseline,0,8,46.58367310042698,0,0.09719039499759674
saudi,3,nearest_fire,baseline,0,9,33.232745655634545,0,0.09722106903791428
saudi,3,nearest_fire,baseline,0,10,64.36614441454975,0,0.097129225730896
saudi,3,nearest_fire,baseline,0,11,56.82313862532961,0,0.09103535115718842
saudi,3,nearest_fire,baseline,0,12,29.64819195924287,0,0.09855146706104279
saudi,3,nearest_fire,baseline,0,13,45.15821265565131,0,0.09767003357410431
saudi,3,nearest_fire,baseline,0,14,54.65177294405004,0,0.0783395916223526
saudi,3,nearest_fire,baseline,0,15,54.40608035242607,0,0.09999755769968033
saudi,3,nearest_fire,baseline,0,16,23.87780662291697,0,0.09999755769968033
saudi,3,nearest_fire,baseline,0,17,47.876824729681935,0,0.08802138268947601
saudi,3,nearest_fire,baseline,0,18,28.198852869550837,0,0.09974584728479385
saudi,3,nearest_fire,baseline,0,19,39.800323654345284,0,0.09763473272323608
saudi,3,frontier,baseline,0,0,50.498434792208265,0,0.09763473272323608
saudi,3,frontier,baseline,0,1,74.3907038815046,0,0.07277540117502213
saudi,3,frontier,baseline,0,2,36.86864483112383,0,0.09781274944543839
saudi,3,frontier,baseline,0,3,44.52999971477786,0,0.0999949648976326
saudi,3,frontier,baseline,0,4,39.03135391422081,0,0.09974584728479385
saudi,3,frontier,baseline,0,5,35.98087032764342,0,0.09974584728479385
saudi,3,frontier,baseline,0,6,51.794516265262956,0,0.09706306457519531
saudi,3,frontier,baseline,0,7,35.71449495955626,0,0.09871098399162292
saudi,3,frontier,baseline,0,8,46.58367310042698,0,0.09719039499759674
saudi,3,frontier,baseline,0,9,33.232745655634545,0,0.09722106903791428
saudi,3,frontier,baseline,0,10,64.36614441454975,0,0.097129225730896
saudi,3,frontier,baseline,0,11,56.82313862532961,0,0.09103535115718842
saudi,3,frontier,baseline,0,12,29.64819195924287,0,0.09855146706104279
saudi,3,frontier,baseline,0,13,45.15821265565131,0,0.09767003357410431
saudi,3,frontier,baseline,0,14,54.65177294405004,0,0.0783395916223526
saudi,3,frontier,baseline,0,15,54.40608035242607,0,0.09999755769968033
saudi,3,frontier,baseline,0,16,23.87780662291697,0,0.09999755769968033
saudi,3,frontier,baseline,0,17,47.876824729681935,0,0.08802138268947601
saudi,3,frontier,baseline,0,18,28.198852869550837,0,0.09974584728479385
saudi,3,frontier,baseline,0,19,39.800323654345284,0,0.09763473272323608
saudi,3,ppo_v3,v3,0,0,-2849.837360275346,76,150.25408935546875
saudi,3,ppo_v3,v3,0,1,-3059.683447748922,91,171.1766357421875
saudi,3,ppo_v3,v3,0,2,-3006.867683854519,99,165.9825897216797
saudi,3,ppo_v3,v3,0,3,-2974.776354693355,83,154.4200439453125
saudi,3,ppo_v3,v3,0,4,-2992.2906579181827,82,161.77841186523438
saudi,3,ppo_v3,v3,0,5,-2857.2578428776815,96,178.17068481445312
saudi,3,ppo_v3,v3,0,6,-2739.24577344475,79,153.93679809570312
saudi,3,ppo_v3,v3,0,7,-3666.1090451626637,106,186.40231323242188
saudi,3,ppo_v3,v3,0,8,-2995.2635723216695,100,167.575439453125
saudi,3,ppo_v3,v3,0,9,-2638.1803081089934,90,157.6300048828125
