Step,Reward,Entropy,Algorithm
0.0,-0.8868166736356198,0.01,PPO V3 (Collapsed)
10101.0101010101,-0.8932112029677669,0.008170784211407314,PPO V3 (Collapsed)
20202.0202020202,-0.9169162553466128,0.006676171462938303,PPO V3 (Collapsed)
30303.030303030304,-0.9062672114419198,0.005454955638202435,PPO V3 (Collapsed)
40404.0404040404,-0.900800891796836,0.004457126540255176,PPO V3 (Collapsed)
50505.0505050505,-0.9069528243322154,0.0036418219163361506,PPO V3 (Collapsed)
60606.06060606061,-0.8945764411453262,0.0029756541014756533,PPO V3 (Collapsed)
70707.0707070707,-0.8856496361707124,0.0024313427550946695,PPO V3 (Collapsed)
80808.0808080808,-0.8415550370991132,0.0019865976995847075,PPO V3 (Collapsed)
90909.09090909091,-0.8737948508307863,0.0016232061118184816,PPO V3 (Collapsed)
101010.101010101,-0.8964487931345632,0.0013262866870306308,PPO V3 (Collapsed)
111111.11111111111,-0.8583809864987347,0.0010836802322189585,PPO V3 (Collapsed)
121212.12121212122,-0.8369183758104801,0.0008854517331628879,PPO V3 (Collapsed)
131313.1313131313,-0.8520540611849367,0.0007234835041290565,PPO V3 (Collapsed)
141414.1414141414,-0.8596418985329345,0.0005911427592751336,PPO V3 (Collapsed)
151515.15151515152,-0.8871959028628955,0.00048300999241730134,PPO V3 (Collapsed)
161616.1616161616,-0.8574343018315191,0.0003946570419995252,PPO V3 (Collapsed)
171717.1717171717,-0.848101933428205,0.0003224657527690433,PPO V3 (Collapsed)
181818.18181818182,-0.8257421450935477,0.00026347980814448726,PPO V3 (Collapsed)
191919.19191919192,-0.8570791256842336,0.00021528366564116052,PPO V3 (Collapsed)
202020.202020202,-0.874271759080477,0.00017590363761946866,PPO V3 (Collapsed)
212121.21212121213,-0.8637654559014284,0.00014372706649902673,PPO V3 (Collapsed)
222222.22222222222,-0.8438304653531865,0.0001174362845702136,PPO V3 (Collapsed)
232323.2323232323,-0.849993089452388,9.59546539812638e-05,PPO V3 (Collapsed)
242424.24242424243,-0.8311923893616467,7.840247717611619e-05,PPO V3 (Collapsed)
252525.25252525252,-0.8224544005267277,6.406097226458328e-05,PPO V3 (Collapsed)
262626.2626262626,-0.8655742954873172,5.2342838074685856e-05,PPO V3 (Collapsed)
272727.2727272727,-0.8264356757933573,4.2768203492089296e-05,PPO V3 (Collapsed)
282828.2828282828,-0.844056369097705,3.494497618434185e-05,PPO V3 (Collapsed)
292929.29292929295,-0.8340640839623964,2.8552785967502463e-05,PPO V3 (Collapsed)
303030.30303030304,-0.8115903462093528,2.3329865277496148e-05,PPO V3 (Collapsed)
313131.31313131313,-0.84692902389459,1.9062329486362518e-05,PPO V3 (Collapsed)
323232.3232323232,-0.8551721558258449,1.55754180799815e-05,PPO V3 (Collapsed)
333333.3333333333,-0.8320599082101322,1.272633801339809e-05,PPO V3 (Collapsed)
343434.3434343434,-0.8251210077998049,1.039841617089058e-05,PPO V3 (Collapsed)
353535.3535353535,-0.8017081434539293,8.496321467275527e-06,PPO V3 (Collapsed)
363636.36363636365,-0.8472539593505407,6.942160929985581e-06,PPO V3 (Collapsed)
373737.37373737374,-0.8015366961296722,5.672289891977491e-06,PPO V3 (Collapsed)
383838.38383838383,-0.8298513793532991,4.634705669189501e-06,PPO V3 (Collapsed)
393939.3939393939,-0.8314912674159223,3.7869179906333553e-06,PPO V3 (Collapsed)
404040.404040404,-0.8502638828261042,3.0942089727761345e-06,PPO V3 (Collapsed)
414141.4141414141,-0.8452992108359051,2.528211382155407e-06,PPO V3 (Collapsed)
424242.42424242425,-0.8782424065149786,2.065746964441565e-06,PPO V3 (Collapsed)
434343.43434343435,-0.8241473213009592,1.6878772681821719e-06,PPO V3 (Collapsed)
444444.44444444444,-0.81504318522398,1.3791280933656192e-06,PPO V3 (Collapsed)
454545.45454545453,-0.8233802020552387,1.1268558050780088e-06,PPO V3 (Collapsed)
464646.4646464646,-0.8347751801289647,9.207295620664068e-07,PPO V3 (Collapsed)
474747.4747474747,-0.8152223348657647,7.523082568708162e-07,PPO V3 (Collapsed)
484848.48484848486,-0.8132457128805938,6.14694842735142e-07,PPO V3 (Collapsed)
494949.49494949495,-0.8527029993455959,5.022538915853798e-07,PPO V3 (Collapsed)
505050.50505050505,-0.8673519057505558,4.103808167483707e-07,PPO V3 (Collapsed)
515151.51515151514,-0.8449514316205371,3.3531330981520244e-07,PPO V3 (Collapsed)
525252.5252525252,-0.8347934819577244,2.7397726977127836e-07,PPO V3 (Collapsed)
535353.5353535353,-0.8379466407020898,2.2386091501316464e-07,PPO V3 (Collapsed)
545454.5454545454,-0.8204864715736565,1.829119229940759e-07,PPO V3 (Collapsed)
555555.5555555555,-0.7687514397023039,1.4945338524781453e-07,PPO V3 (Collapsed)
565656.5656565656,-0.7957162258493093,1.221151360524219e-07,PPO V3 (Collapsed)
575757.5757575757,-0.7973530856170792,9.977764256309846e-08,PPO V3 (Collapsed)
585858.5858585859,-0.8272631422398506,8.152615865060053e-08,PPO V3 (Collapsed)
595959.595959596,-0.8041364042720621,6.661326499190144e-08,PPO V3 (Collapsed)
606060.6060606061,-0.8099569067739427,5.442826138661205e-08,PPO V3 (Collapsed)
616161.6161616162,-0.7956095897954939,4.4472157879207987e-08,PPO V3 (Collapsed)
626262.6262626263,-0.8288687227548281,3.6337240544664585e-08,PPO V3 (Collapsed)
636363.6363636364,-0.8231615156479073,2.9690375132845544e-08,PPO V3 (Collapsed)
646464.6464646464,-0.7924067438005059,2.425936483662146e-08,PPO V3 (Collapsed)
656565.6565656565,-0.8242818494260942,1.982180351858363e-08,PPO V3 (Collapsed)
666666.6666666666,-0.7803325906966437,1.6195967923126127e-08,PPO V3 (Collapsed)
676767.6767676767,-0.8046315843774456,1.323337589947382e-08,PPO V3 (Collapsed)
686868.6868686868,-0.8422523165117806,1.081270588630387e-08,PPO V3 (Collapsed)
696969.6969696969,-0.8617418212045529,8.834828653840269e-09,PPO V3 (Collapsed)
707070.707070707,-0.7865448042387585,7.218747847528697e-09,PPO V3 (Collapsed)
717171.7171717172,-0.8158682082574499,5.898283093871788e-09,PPO V3 (Collapsed)
727272.7272727273,-0.8062186129692893,4.819359837781826e-09,PPO V3 (Collapsed)
737373.7373737374,-0.8244322436135474,3.937794927163831e-09,PPO V3 (Collapsed)
747474.7474747475,-0.815716970018454,3.2174872618630027e-09,PPO V3 (Collapsed)
757575.7575757576,-0.7980764561337583,2.628939411963441e-09,PPO V3 (Collapsed)
767676.7676767677,-0.7946002012888415,2.14804966400173e-09,PPO V3 (Collapsed)
777777.7777777778,-0.8070295712816187,1.7551250279944112e-09,PPO V3 (Collapsed)
787878.7878787878,-0.7631765460273592,1.4340747867782573e-09,PPO V3 (Collapsed)
797979.7979797979,-0.8202432089932472,1.1717515625785088e-09,PPO V3 (Collapsed)
808080.808080808,-0.7709356880205626,9.57412916720834e-10,PPO V3 (Collapsed)
818181.8181818181,-0.8167455336065734,7.822814343739998e-10,PPO V3 (Collapsed)
828282.8282828282,-0.7900157100675689,6.391852792860153e-10,PPO V3 (Collapsed)
838383.8383838383,-0.8508899611147464,5.222644988154155e-10,PPO V3 (Collapsed)
848484.8484848485,-0.8211877135758057,4.2673105210995417e-10,PPO V3 (Collapsed)
858585.8585858586,-0.805842998864484,3.486727343097237e-10,PPO V3 (Collapsed)
868686.8686868687,-0.8218094069911093,2.848929672446111e-10,PPO V3 (Collapsed)
878787.8787878788,-0.8025954431188271,2.3277989587032526e-10,PPO V3 (Collapsed)
888888.8888888889,-0.7984969472248415,1.9019942979102879e-10,PPO V3 (Collapsed)
898989.898989899,-0.7914029654310678,1.554078497955214e-10,PPO V3 (Collapsed)
909090.9090909091,-0.7990389368155064,1.2698040054380072e-10,PPO V3 (Collapsed)
919191.9191919192,-0.8074932740366093,1.0375294519214611e-10,PPO V3 (Collapsed)
929292.9292929292,-0.8179375585479244,8.47742926462997e-11,PPO V3 (Collapsed)
939393.9393939393,-0.817617664110666,6.926724518876096e-11,PPO V3 (Collapsed)
949494.9494949494,-0.8145324709927727,5.6596771335600604e-11,PPO V3 (Collapsed)
959595.9595959595,-0.7953529784168129,4.6244000564555604e-11,PPO V3 (Collapsed)
969696.9696969697,-0.8085089115421834,3.77849749685181e-11,PPO V3 (Collapsed)
979797.9797979798,-0.8029345444186258,3.087328769011886e-11,PPO V3 (Collapsed)
989898.9898989899,-0.7482886651519242,2.5225897161265843e-11,PPO V3 (Collapsed)
1000000.0,-0.8165254926894814,2.061153622438558e-11,PPO V3 (Collapsed)
0.0,-0.9046500834258315,0.02,Hybrid PPO (Ours)
10101.0101010101,-0.801002368736475,0.019039239022952827,Hybrid PPO (Ours)
20202.0202020202,-0.7231828427605118,0.018170784211407314,Hybrid PPO (Ours)
30303.030303030304,-0.6297195231734956,0.01738576714918798,Hybrid PPO (Ours)
40404.0404040404,-0.5899815169980127,0.016676171462938302,Hybrid PPO (Ours)
50505.0505050505,-0.5162159464475649,0.016034750961171594,Hybrid PPO (Ours)
