WEL,ISR,CE,burned,return,region,policy,seed,episode,train_seed
4.0,0.8571428571428571,0.9227373068432672,184,-6.857142857142858,saudi,hiercomm,42,0,42
17.0,0.42857142857142855,0.9911699779249448,156,-28.42857142857143,saudi,hiercomm,42,1,42
10.0,0.8571428571428571,0.9757174392935982,99,-12.857142857142858,saudi,hiercomm,42,2,42
19.0,0.5714285714285714,0.9845474613686535,222,-27.571428571428577,saudi,hiercomm,42,3,42
0.0,1.0,0.9845474613686535,139,0.0,saudi,hiercomm,42,4,42
8.0,0.7142857142857143,0.9580573951434879,302,-13.914285714285713,saudi,hiercomm,42,5,42
8.0,0.7142857142857143,0.9933774834437086,248,-13.714285714285714,saudi,hiercomm,42,6,42
0.0,1.0,0.9803921568627451,42,0.0,saudi,hiercomm,42,7,42
3.0,0.8571428571428571,0.9713024282560706,184,-5.857142857142858,saudi,hiercomm,42,8,42
9.0,0.7142857142857143,0.9977924944812362,318,-14.714285714285714,saudi,hiercomm,42,9,42
0.0,1.0,0.9757174392935982,243,0.0,saudi,hiercomm,42,10,42
0.0,1.0,0.9757174392935982,186,-0.1,saudi,hiercomm,42,11,42
8.0,0.7142857142857143,0.9558498896247241,273,-13.714285714285714,saudi,hiercomm,42,12,42
8.0,0.7142857142857143,0.9933774834437086,298,-13.714285714285714,saudi,hiercomm,42,13,42
0.0,1.0,0.869757174392936,209,-0.7999999999999999,saudi,hiercomm,42,14,42
0.0,1.0,0.9933774834437086,276,0.0,saudi,hiercomm,1042,0,42
0.0,1.0,0.8189845474613686,138,-0.6000000000000001,saudi,hiercomm,1042,1,42
3.0,0.8571428571428571,0.9811320754716981,50,-5.857142857142858,saudi,hiercomm,1042,2,42
7.0,0.7142857142857143,0.9933774834437086,261,-12.714285714285714,saudi,hiercomm,1042,3,42
17.0,0.42857142857142855,0.9713024282560706,179,-28.628571428571426,saudi,hiercomm,1042,4,42
4.0,0.8571428571428571,0.9933774834437086,164,-6.857142857142858,saudi,hiercomm,1042,5,42
0.0,1.0,0.9911699779249448,86,0.0,saudi,hiercomm,1042,6,42
4.0,0.8571428571428571,0.9911699779249448,195,-6.857142857142858,saudi,hiercomm,1042,7,42
0.0,1.0,0.9933774834437086,223,0.0,saudi,hiercomm,1042,8,42
4.0,0.8571428571428571,0.9933774834437086,212,-6.857142857142858,saudi,hiercomm,1042,9,42
0.0,1.0,0.9867549668874173,131,-0.1,saudi,hiercomm,1042,10,42
0.0,1.0,0.9977924944812362,134,0.0,saudi,hiercomm,1042,11,42
0.0,1.0,0.977924944812362,176,0.0,saudi,hiercomm,1042,12,42
4.0,0.8571428571428571,0.9713024282560706,236,-6.857142857142858,saudi,hiercomm,1042,13,42
8.0,0.7142857142857143,0.9955849889624724,317,-13.714285714285714,saudi,hiercomm,1042,14,42
7.0,0.7142857142857143,0.9867549668874173,302,-12.714285714285714,saudi,hiercomm,2042,0,42
4.0,0.8571428571428571,0.9757174392935982,272,-6.857142857142858,saudi,hiercomm,2042,1,42
7.0,0.7142857142857143,0.9911699779249448,177,-12.714285714285714,saudi,hiercomm,2042,2,42
8.0,0.7142857142857143,0.9911699779249448,245,-13.714285714285714,saudi,hiercomm,2042,3,42
4.0,0.8571428571428571,0.9933774834437086,339,-6.857142857142858,saudi,hiercomm,2042,4,42
0.0,1.0,0.9602649006622517,259,-0.30000000000000004,saudi,hiercomm,2042,5,42
0.0,1.0,0.9889624724061811,296,0.0,saudi,hiercomm,2042,6,42
0.0,1.0,0.9933774834437086,141,0.0,saudi,hiercomm,2042,7,42
17.0,0.42857142857142855,0.9713024282560706,168,-28.628571428571426,saudi,hiercomm,2042,8,42
0.0,1.0,0.9933774834437086,280,0.0,saudi,hiercomm,2042,9,42
9.0,0.7142857142857143,0.9583333333333334,33,-14.714285714285714,saudi,hiercomm,2042,10,42
9.0,0.7142857142857143,1.0,338,-14.714285714285714,saudi,hiercomm,2042,11,42
8.0,0.7142857142857143,0.9933774834437086,318,-13.714285714285714,saudi,hiercomm,2042,12,42
0.0,1.0,0.9845474613686535,232,0.0,saudi,hiercomm,2042,13,42
0.0,1.0,0.9933774834437086,115,0.0,saudi,hiercomm,2042,14,42
8.0,0.7142857142857143,0.9911699779249448,234,-13.714285714285714,saudi,hiercomm,3042,0,42
13.0,0.5714285714285714,0.9977924944812362,214,-21.571428571428577,saudi,hiercomm,3042,1,42
0.0,1.0,0.9470198675496688,221,-0.2,saudi,hiercomm,3042,2,42
0.0,1.0,0.9911699779249448,124,0.0,saudi,hiercomm,3042,3,42
0.0,1.0,0.9668874172185431,208,-0.1999999999999993,saudi,hiercomm,3042,4,42
0.0,1.0,0.9845474613686535,150,0.0,saudi,hiercomm,3042,5,42
13.0,0.7142857142857143,0.9933774834437086,202,-18.714285714285715,saudi,hiercomm,3042,6,42
13.0,0.5714285714285714,0.9911699779249448,248,-21.571428571428573,saudi,hiercomm,3042,7,42
4.0,0.8571428571428571,0.9823399558498896,232,-6.857142857142858,saudi,hiercomm,3042,8,42
8.0,0.7142857142857143,0.9911699779249448,221,-13.714285714285714,saudi,hiercomm,3042,9,42
4.0,0.8571428571428571,0.9933774834437086,270,-6.857142857142858,saudi,hiercomm,3042,10,42
4.0,0.8571428571428571,0.9933774834437086,172,-6.857142857142858,saudi,hiercomm,3042,11,42
4.0,0.8571428571428571,0.9911699779249448,230,-6.857142857142858,saudi,hiercomm,3042,12,42
4.0,0.8571428571428571,0.9624724061810155,275,-7.157142857142857,saudi,hiercomm,3042,13,42
