env_steps,episode,episode_return,WEL,ISR
55,1,-12.083333333333334,6.0,0.8333333333333334
205,2,-32.31666666666667,6.0,0.6666666666666666
355,3,-50.11666666666663,16.0,0.6666666666666666
505,4,-52.69999999999999,12.0,0.5
655,5,-44.26666666666668,16.0,0.6666666666666666
805,6,-50.16666666666662,16.0,0.6666666666666666
955,7,-66.63333333333331,22.0,0.3333333333333333
1105,8,-38.25,12.0,0.5
1124,9,0.05,0.0,1.0
1274,10,-50.90000000000001,19.0,0.5
1318,11,-12.683333333333335,6.0,0.8333333333333334
1468,12,-52.583333333333314,18.0,0.3333333333333333
1488,13,0.05,0.0,1.0
1621,14,-53.09999999999998,12.0,0.5
1771,15,-21.233333333333356,6.0,0.8333333333333334
1921,16,-61.633333333333354,22.0,0.3333333333333333
2050,17,-65.38333333333331,18.0,0.3333333333333333
2196,18,-57.24999999999998,15.0,0.5
2271,19,-13.333333333333336,6.0,0.8333333333333334
2421,20,-61.116666666666674,28.0,0.16666666666666666
2571,21,-39.51666666666666,6.0,0.6666666666666666
2721,22,-29.71666666666668,13.0,0.6666666666666666
2871,23,-45.65000000000002,16.0,0.5
2944,24,-15.583333333333334,6.0,0.8333333333333334
3094,25,-62.033333333333324,18.0,0.3333333333333333
3244,26,-55.70000000000002,19.0,0.5
3289,27,-2.599999999999999,0.0,1.0
3439,28,-35.26666666666665,9.0,0.6666666666666666
3589,29,-22.083333333333357,6.0,0.8333333333333334
3739,30,-34.71666666666669,12.0,0.6666666666666666
3889,31,-65.4833333333333,22.0,0.3333333333333333
3951,32,-12.98333333333334,6.0,0.8333333333333334
4101,33,-4.149999999999999,0.0,1.0
4181,34,-16.08333333333334,6.0,0.8333333333333334
4223,35,-12.683333333333334,6.0,0.8333333333333334
4263,36,-13.433333333333332,6.0,0.8333333333333334
4351,37,-13.333333333333337,6.0,0.8333333333333334
4501,38,-2.3000000000000003,0.0,1.0
4651,39,-30.533333333333342,10.0,0.8333333333333334
4799,40,-51.599999999999966,12.0,0.5
4888,41,-4.849999999999997,0.0,1.0
4926,42,-13.233333333333333,6.0,0.8333333333333334
5076,43,-66.78333333333332,22.0,0.3333333333333333
5226,44,-58.6833333333333,18.0,0.3333333333333333
5314,45,-11.183333333333337,6.0,0.8333333333333334
5464,46,-8.250000000000002,0.0,1.0
5614,47,-65.08333333333333,22.0,0.3333333333333333
5695,48,-13.433333333333337,6.0,0.8333333333333334
5845,49,-21.68333333333335,6.0,0.8333333333333334
5987,50,-73.43333333333335,25.0,0.3333333333333333
6137,51,-64.6333333333333,22.0,0.3333333333333333
6287,52,-35.866666666666674,9.0,0.6666666666666666
6437,53,-52.749999999999964,16.0,0.5
6500,54,-12.433333333333334,6.0,0.8333333333333334
6650,55,-73.36666666666669,28.0,0.16666666666666666
6760,56,-4.399999999999999,0.0,1.0
6910,57,-39.083333333333314,6.0,0.8333333333333334
7060,58,-27.0166666666667,9.0,0.6666666666666666
7210,59,-49.09999999999995,12.0,0.5
7360,60,-62.08333333333333,22.0,0.3333333333333333
7469,61,-12.533333333333331,6.0,0.8333333333333334
7579,62,-1.7500000000000002,0.0,1.0
7729,63,-35.06666666666669,16.0,0.6666666666666666
7849,64,-82.31666666666662,28.0,0.16666666666666666
7999,65,-32.26666666666668,16.0,0.6666666666666666
8149,66,-36.500000000000014,19.0,0.5
8299,67,-58.98333333333334,18.0,0.3333333333333333
8347,68,-12.383333333333335,6.0,0.8333333333333334
8497,69,-56.75000000000003,19.0,0.5
8647,70,-41.916666666666664,16.0,0.6666666666666666
8693,71,-11.333333333333334,6.0,0.8333333333333334
8843,72,-52.89999999999999,16.0,0.5
8993,73,-59.1,22.0,0.5
9024,74,-12.083333333333334,6.0,0.8333333333333334
9095,75,-13.633333333333336,6.0,0.8333333333333334
9223,76,-52.44999999999997,12.0,0.5
9373,77,-35.216666666666654,6.0,0.6666666666666666
9523,78,-41.56666666666667,6.0,0.6666666666666666
9673,79,-61.083333333333286,22.0,0.3333333333333333
9823,80,-52.433333333333344,18.0,0.3333333333333333
9973,81,-76.81666666666669,28.0,0.16666666666666666
10123,82,-61.83333333333329,18.0,0.3333333333333333
10273,83,-45.73333333333337,18.0,0.3333333333333333
10303,84,-11.23333333333333,6.0,0.8333333333333334
10453,85,-70.88333333333328,22.0,0.3333333333333333
10603,86,-50.00000000000001,19.0,0.5
10684,87,-12.183333333333334,6.0,0.8333333333333334
10834,88,-23.583333333333332,6.0,0.8333333333333334
