env_steps,episode,episode_return,WEL,ISR
150,1,-35.27142857142859,13.0,0.5714285714285714
236,2,-26.571428571428584,13.0,0.5714285714285714
386,3,-46.92857142857134,23.0,0.42857142857142855
536,4,-30.271428571428576,11.0,0.5714285714285714
686,5,-32.71428571428572,14.0,0.7142857142857143
836,6,-37.12142857142855,13.0,0.5714285714285714
986,7,-29.26428571428573,14.0,0.7142857142857143
1136,8,-58.82857142857143,23.0,0.42857142857142855
1286,9,-52.67857142857141,23.0,0.42857142857142855
1436,10,-27.81428571428574,9.0,0.7142857142857143
1586,11,-37.36428571428573,14.0,0.7142857142857143
1736,12,-26.107142857142875,4.0,0.8571428571428571
1886,13,-45.82142857142851,18.0,0.5714285714285714
2036,14,-49.12857142857137,17.0,0.42857142857142855
2172,15,-23.56428571428572,7.0,0.7142857142857143
2322,16,-32.31428571428573,8.0,0.7142857142857143
2472,17,-14.250000000000021,0.0,1.0
2622,18,-29.11428571428572,14.0,0.7142857142857143
2772,19,-22.51428571428571,7.0,0.7142857142857143
2922,20,-25.707142857142884,4.0,0.8571428571428571
3006,21,-16.614285714285725,7.0,0.7142857142857143
3156,22,-49.3785714285714,23.0,0.42857142857142855
3306,23,-31.121428571428602,11.0,0.5714285714285714
3456,24,-28.26428571428577,13.0,0.7142857142857143
3606,25,-29.664285714285757,13.0,0.7142857142857143
3756,26,-32.27142857142859,11.0,0.5714285714285714
3906,27,-32.87142857142854,13.0,0.5714285714285714
4056,28,-29.51428571428573,13.0,0.7142857142857143
4206,29,-46.92142857142855,18.0,0.5714285714285714
4356,30,-32.31428571428574,14.0,0.7142857142857143
4480,31,-14.857142857142861,4.0,0.8571428571428571
4630,32,-35.07142857142851,17.0,0.5714285714285714
4780,33,-33.36428571428572,7.0,0.7142857142857143
4876,34,-29.47142857142859,13.0,0.5714285714285714
5026,35,-31.32142857142859,13.0,0.5714285714285714
5176,36,-25.014285714285755,8.0,0.7142857142857143
5326,37,-47.47142857142853,18.0,0.5714285714285714
5476,38,-25.414285714285757,9.0,0.7142857142857143
5576,39,-22.064285714285724,7.0,0.7142857142857143
5726,40,-31.171428571428596,13.0,0.5714285714285714
5876,41,-17.257142857142885,4.0,0.8571428571428571
6026,42,-33.67142857142857,13.0,0.5714285714285714
6176,43,-21.05714285714291,4.0,0.8571428571428571
6326,44,-12.450000000000006,0.0,1.0
6476,45,-21.35714285714287,10.0,0.8571428571428571
6626,46,-9.4,0.0,1.0
6776,47,-33.06428571428573,13.0,0.7142857142857143
6926,48,-32.67142857142854,13.0,0.5714285714285714
7076,49,-20.214285714285758,9.0,0.7142857142857143
7226,50,-30.814285714285738,14.0,0.7142857142857143
7376,51,-16.20000000000001,0.0,1.0
7433,52,-19.614285714285714,7.0,0.7142857142857143
7583,53,-23.414285714285736,9.0,0.7142857142857143
7733,54,-40.52142857142851,19.0,0.5714285714285714
7883,55,-33.471428571428575,11.0,0.5714285714285714
