env_steps,episode,episode_return,WEL,ISR
150,1,-34.42857142857143,23.0,0.42857142857142855
300,2,-41.385714285714286,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-34.42857142857143,23.0,0.42857142857142855
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-34.42857142857143,23.0,0.42857142857142855
1350,9,-34.42857142857143,23.0,0.42857142857142855
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-34.42857142857143,23.0,0.42857142857142855
1800,12,-34.42857142857143,23.0,0.42857142857142855
1950,13,-41.285714285714285,27.0,0.2857142857142857
2100,14,-34.42857142857143,23.0,0.42857142857142855
2250,15,-34.42857142857143,23.0,0.42857142857142855
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-34.42857142857143,23.0,0.42857142857142855
2700,18,-41.285714285714285,27.0,0.2857142857142857
2850,19,-34.42857142857143,23.0,0.42857142857142855
3000,20,-34.42857142857143,23.0,0.42857142857142855
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-34.42857142857143,23.0,0.42857142857142855
3450,23,-34.528571428571425,23.0,0.42857142857142855
3600,24,-41.285714285714285,27.0,0.2857142857142857
3750,25,-41.285714285714285,27.0,0.2857142857142857
3900,26,-41.285714285714285,27.0,0.2857142857142857
4050,27,-41.285714285714285,27.0,0.2857142857142857
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-41.285714285714285,27.0,0.2857142857142857
4500,30,-34.42857142857143,23.0,0.42857142857142855
4650,31,-34.42857142857143,23.0,0.42857142857142855
4696,32,0.0,0.0,1.0
4846,33,-41.285714285714285,27.0,0.2857142857142857
4996,34,-34.42857142857143,23.0,0.42857142857142855
5146,35,-41.285714285714285,27.0,0.2857142857142857
5296,36,-34.42857142857143,23.0,0.42857142857142855
5446,37,-41.285714285714285,27.0,0.2857142857142857
5596,38,-34.42857142857143,23.0,0.42857142857142855
5746,39,-41.285714285714285,27.0,0.2857142857142857
5896,40,-34.42857142857143,23.0,0.42857142857142855
6046,41,-41.285714285714285,27.0,0.2857142857142857
6196,42,-41.285714285714285,27.0,0.2857142857142857
6346,43,-41.285714285714285,27.0,0.2857142857142857
6496,44,-34.42857142857143,23.0,0.42857142857142855
6646,45,-21.571428571428577,13.0,0.5714285714285714
6796,46,-41.28571428571429,27.0,0.2857142857142857
6946,47,-34.42857142857143,23.0,0.42857142857142855
7096,48,-41.285714285714285,27.0,0.2857142857142857
7246,49,-34.42857142857143,23.0,0.42857142857142855
7396,50,-41.285714285714285,27.0,0.2857142857142857
7546,51,-41.285714285714285,27.0,0.2857142857142857
7696,52,-34.42857142857143,23.0,0.42857142857142855
7846,53,-27.571428571428577,19.0,0.5714285714285714
7996,54,-27.571428571428573,19.0,0.5714285714285714
8146,55,-41.285714285714285,27.0,0.2857142857142857
8296,56,-41.285714285714285,27.0,0.2857142857142857
8446,57,-41.285714285714285,27.0,0.2857142857142857
8596,58,-41.285714285714285,27.0,0.2857142857142857
8597,59,0.0,0.0,1.0
8747,60,-41.285714285714285,27.0,0.2857142857142857
8897,61,-41.285714285714285,27.0,0.2857142857142857
9047,62,-34.42857142857143,23.0,0.42857142857142855
9197,63,-41.285714285714285,27.0,0.2857142857142857
9347,64,-34.42857142857143,23.0,0.42857142857142855
9497,65,-34.42857142857143,23.0,0.42857142857142855
9647,66,-41.285714285714285,27.0,0.2857142857142857
9797,67,-41.285714285714285,27.0,0.2857142857142857
9947,68,-34.42857142857143,23.0,0.42857142857142855
10097,69,-41.285714285714285,27.0,0.2857142857142857
10247,70,-41.285714285714285,27.0,0.2857142857142857
10397,71,-34.42857142857143,23.0,0.42857142857142855
10547,72,-41.285714285714285,27.0,0.2857142857142857
10697,73,-41.285714285714285,27.0,0.2857142857142857
10847,74,-41.285714285714285,27.0,0.2857142857142857
10997,75,-41.28571428571429,27.0,0.2857142857142857
11147,76,-41.28571428571429,27.0,0.2857142857142857
11297,77,-41.285714285714285,27.0,0.2857142857142857
11447,78,-34.42857142857143,23.0,0.42857142857142855
11597,79,-41.285714285714285,27.0,0.2857142857142857
11747,80,-41.285714285714285,27.0,0.2857142857142857
11897,81,-41.285714285714285,27.0,0.2857142857142857
12047,82,-41.285714285714285,27.0,0.2857142857142857
12197,83,-34.42857142857143,23.0,0.42857142857142855
12347,84,-34.42857142857143,23.0,0.42857142857142855
