env_steps,episode,episode_return,WEL,ISR
54,1,-4.85,0.0,1.0
145,2,-5.249999999999998,0.0,1.0
258,3,-67.23333333333335,22.0,0.3333333333333333
408,4,-40.85000000000001,12.0,0.5
558,5,-2.3500000000000014,0.0,1.0
574,6,0.05,0.0,1.0
665,7,-14.133333333333333,6.0,0.8333333333333334
681,8,0.04999999999999999,0.0,1.0
807,9,-62.04999999999999,19.0,0.5
957,10,-59.93333333333332,22.0,0.3333333333333333
1036,11,-13.533333333333339,6.0,0.8333333333333334
1186,12,-50.99999999999998,16.0,0.5
1303,13,-10.433333333333334,6.0,0.8333333333333334
1453,14,-30.78333333333333,6.0,0.8333333333333334
1603,15,-56.73333333333332,22.0,0.3333333333333333
1753,16,-48.06666666666668,16.0,0.6666666666666666
1903,17,-58.750000000000036,22.0,0.5
2053,18,-61.33333333333335,22.0,0.3333333333333333
2203,19,-28.833333333333325,10.0,0.8333333333333334
2353,20,-45.516666666666666,13.0,0.6666666666666666
2503,21,-14.549999999999999,0.0,1.0
2653,22,-41.21666666666667,9.0,0.6666666666666666
2803,23,-8.349999999999993,0.0,1.0
2953,24,-37.58333333333334,10.0,0.8333333333333334
3103,25,-31.883333333333336,6.0,0.8333333333333334
3153,26,-2.7,0.0,1.0
3303,27,-0.9500000000000003,0.0,1.0
3322,28,0.04999999999999999,0.0,1.0
3472,29,-8.249999999999998,0.0,1.0
3616,30,-54.099999999999966,12.0,0.5
3766,31,-54.4,19.0,0.5
3916,32,-29.966666666666665,9.0,0.6666666666666666
4066,33,-75.26666666666665,31.0,0.16666666666666666
4216,34,-54.30000000000001,16.0,0.5
4366,35,-25.18333333333336,6.0,0.8333333333333334
4516,36,-59.99999999999998,19.0,0.5
4666,37,-31.366666666666678,9.0,0.6666666666666666
4816,38,-21.933333333333355,6.0,0.8333333333333334
4966,39,-57.25,19.0,0.5
5116,40,-16.183333333333334,3.0,0.8333333333333334
5162,41,-0.24999999999999994,0.0,1.0
5312,42,-54.65000000000001,19.0,0.5
5462,43,-79.11666666666662,28.0,0.16666666666666666
5603,44,-57.44999999999995,19.0,0.5
5753,45,-43.06666666666666,16.0,0.6666666666666666
5844,46,-3.4999999999999982,0.0,1.0
5994,47,-44.70000000000001,19.0,0.5
6052,48,-14.083333333333341,6.0,0.8333333333333334
6202,49,-16.333333333333346,6.0,0.8333333333333334
6352,50,-42.21666666666667,13.0,0.6666666666666666
6502,51,-38.35000000000001,19.0,0.5
6652,52,-12.099999999999993,0.0,1.0
6671,53,0.05,0.0,1.0
6821,54,-23.133333333333344,3.0,0.8333333333333334
6877,55,-2.6,0.0,1.0
7027,56,-13.233333333333348,6.0,0.8333333333333334
7114,57,-16.033333333333342,6.0,0.8333333333333334
7264,58,-44.41666666666666,13.0,0.6666666666666666
7414,59,-34.33333333333331,3.0,0.8333333333333334
7564,60,-56.10000000000002,22.0,0.5
7714,61,-41.36666666666666,13.0,0.6666666666666666
7785,62,-13.633333333333333,6.0,0.8333333333333334
7825,63,0.05,0.0,1.0
7975,64,-30.916666666666686,12.0,0.6666666666666666
8125,65,-48.34999999999997,16.0,0.5
8275,66,-28.483333333333334,6.0,0.8333333333333334
8425,67,-3.7999999999999967,0.0,1.0
8575,68,-31.816666666666684,12.0,0.6666666666666666
8725,69,-24.933333333333344,6.0,0.8333333333333334
8875,70,-74.46666666666664,28.0,0.16666666666666666
8953,71,-0.35,0.0,1.0
9052,72,-13.33333333333334,6.0,0.8333333333333334
9202,73,-4.1999999999999975,0.0,1.0
9222,74,0.05000000000000002,0.0,1.0
9372,75,-11.700000000000001,0.0,1.0
9522,76,-38.01666666666665,16.0,0.6666666666666666
9538,77,0.05,0.0,1.0
9668,78,-8.8,0.0,1.0
9818,79,-12.999999999999993,0.0,1.0
9968,80,-62.58333333333338,25.0,0.3333333333333333
10064,81,-16.483333333333338,6.0,0.8333333333333334
10214,82,-37.766666666666694,9.0,0.6666666666666666
10364,83,-69.7166666666667,28.0,0.16666666666666666
10514,84,-36.88333333333333,10.0,0.8333333333333334
10527,85,0.049999999999998934,0.0,1.0
10677,86,-33.56666666666667,13.0,0.6666666666666666
10827,87,-50.39999999999997,22.0,0.5
10977,88,-3.1999999999999984,0.0,1.0
11055,89,-4.449999999999998,0.0,1.0
11119,90,-12.48333333333334,6.0,0.8333333333333334
11171,91,-0.05,0.0,1.0
11321,92,-5.599999999999996,0.0,1.0
11471,93,-49.16666666666669,16.0,0.6666666666666666
11621,94,-31.08333333333334,6.0,0.8333333333333334
