env_steps,episode,episode_return,WEL,ISR
150,1,-35.06428571428574,13.0,0.7142857142857143
300,2,-53.578571428571394,17.0,0.42857142857142855
450,3,-28.507142857142874,10.0,0.8571428571428571
600,4,-44.02142857142853,18.0,0.5714285714285714
750,5,-27.114285714285742,7.0,0.7142857142857143
900,6,-44.228571428571385,17.0,0.42857142857142855
1050,7,-14.957142857142866,4.0,0.8571428571428571
1200,8,-21.657142857142887,10.0,0.8571428571428571
1350,9,-39.87857142857141,17.0,0.42857142857142855
1487,10,-23.607142857142883,10.0,0.8571428571428571
1637,11,-22.55714285714289,3.0,0.8571428571428571
1787,12,-9.050000000000004,0.0,1.0
1937,13,-52.62857142857143,23.0,0.42857142857142855
2087,14,-55.235714285714195,27.0,0.2857142857142857
2237,15,-26.46428571428575,8.0,0.7142857142857143
2387,16,-21.264285714285716,7.0,0.7142857142857143
2537,17,-57.38571428571426,27.0,0.2857142857142857
2687,18,-17.40714285714287,4.0,0.8571428571428571
2834,19,-15.35714285714288,4.0,0.8571428571428571
2983,20,-45.67142857142857,18.0,0.5714285714285714
3103,21,-31.221428571428582,13.0,0.5714285714285714
3253,22,-58.68571428571424,27.0,0.2857142857142857
3403,23,-54.78571428571421,27.0,0.2857142857142857
3553,24,-18.707142857142887,4.0,0.8571428571428571
3703,25,-40.32142857142852,18.0,0.5714285714285714
3826,26,-36.47142857142854,17.0,0.5714285714285714
3976,27,-56.4857142857142,27.0,0.2857142857142857
4078,28,-16.857142857142865,4.0,0.8571428571428571
4228,29,-48.328571428571344,23.0,0.42857142857142855
4378,30,-42.82857142857138,23.0,0.42857142857142855
4528,31,-57.435714285714226,27.0,0.2857142857142857
4580,32,0.05,0.0,1.0
4730,33,-30.81428571428576,14.0,0.7142857142857143
4857,34,-26.464285714285733,8.0,0.7142857142857143
4948,35,-31.171428571428578,13.0,0.5714285714285714
5098,36,-55.53571428571423,27.0,0.2857142857142857
5248,37,-18.50714285714288,4.0,0.8571428571428571
5398,38,-57.13571428571425,27.0,0.2857142857142857
5548,39,-30.764285714285755,14.0,0.7142857142857143
5698,40,-35.11428571428573,8.0,0.7142857142857143
5848,41,-53.33571428571422,27.0,0.2857142857142857
5998,42,-56.98571428571422,27.0,0.2857142857142857
6148,43,-37.421428571428486,19.0,0.5714285714285714
6298,44,-34.57142857142851,13.0,0.5714285714285714
6448,45,-25.114285714285725,9.0,0.7142857142857143
6545,46,-24.56428571428573,7.0,0.7142857142857143
6695,47,-56.18571428571423,27.0,0.2857142857142857
6845,48,-46.4785714285713,23.0,0.42857142857142855
6995,49,-17.507142857142878,4.0,0.8571428571428571
7145,50,-45.72857142857135,21.0,0.42857142857142855
7295,51,-54.08571428571419,27.0,0.2857142857142857
7445,52,-14.407142857142873,4.0,0.8571428571428571
7595,53,-55.58571428571429,27.0,0.2857142857142857
7745,54,-52.73571428571425,27.0,0.2857142857142857
7895,55,-52.07857142857139,23.0,0.42857142857142855
8045,56,-49.02857142857139,23.0,0.42857142857142855
8062,57,1.3877787807814457e-17,0.0,1.0
8212,58,-12.757142857142885,4.0,0.8571428571428571
8319,59,-7.9499999999999975,0.0,1.0
8469,60,-55.13571428571421,27.0,0.2857142857142857
8619,61,-24.80714285714287,4.0,0.8571428571428571
8769,62,-54.185714285714205,27.0,0.2857142857142857
8919,63,-39.72142857142856,18.0,0.5714285714285714
9069,64,-54.63571428571418,27.0,0.2857142857142857
9219,65,-36.97142857142856,13.0,0.5714285714285714
9369,66,-33.27142857142857,13.0,0.5714285714285714
9374,67,0.05,0.0,1.0
9524,68,-39.22142857142856,18.0,0.5714285714285714
9674,69,-36.97142857142848,17.0,0.5714285714285714
9824,70,-40.92142857142854,17.0,0.5714285714285714
9974,71,-37.22142857142854,18.0,0.5714285714285714
10124,72,-37.77142857142848,17.0,0.5714285714285714
10274,73,-53.88571428571426,27.0,0.2857142857142857
10424,74,-20.00714285714289,4.0,0.8571428571428571
10574,75,-9.800000000000017,0.0,1.0
10724,76,-21.107142857142858,4.0,0.8571428571428571
10874,77,-35.96428571428568,14.0,0.7142857142857143
11024,78,-40.47142857142851,18.0,0.5714285714285714
11174,79,-38.36428571428574,14.0,0.7142857142857143
11324,80,-19.607142857142893,4.0,0.8571428571428571
11474,81,-36.27142857142855,13.0,0.5714285714285714
11624,82,-41.828571428571394,17.0,0.42857142857142855
11774,83,-58.03571428571423,27.0,0.2857142857142857
11924,84,-41.72857142857138,17.0,0.42857142857142855
12074,85,-24.864285714285742,7.0,0.7142857142857143
12224,86,-34.571428571428626,13.0,0.5714285714285714
12374,87,-19.200000000000014,0.0,1.0
12524,88,-19.107142857142886,4.0,0.8571428571428571
12674,89,-43.47142857142852,17.0,0.5714285714285714
12824,90,-46.528571428571375,17.0,0.42857142857142855
12974,91,-38.971428571428454,19.0,0.5714285714285714
13124,92,-45.678571428571345,23.0,0.42857142857142855
13274,93,-29.16428571428578,13.0,0.7142857142857143
13424,94,-46.77857142857134,21.0,0.42857142857142855
13574,95,-30.014285714285737,8.0,0.7142857142857143
13724,96,-47.178571428571416,17.0,0.42857142857142855
13737,97,0.05,0.0,1.0
13887,98,-41.5214285714286,18.0,0.5714285714285714
14037,99,-40.66428571428568,14.0,0.7142857142857143
14050,100,0.050000000000000044,0.0,1.0
14200,101,-53.68571428571425,27.0,0.2857142857142857
14293,102,-35.121428571428524,19.0,0.5714285714285714
14443,103,-16.557142857142875,4.0,0.8571428571428571
14445,104,0.05,0.0,1.0
14595,105,-25.207142857142887,10.0,0.8571428571428571
14745,106,-35.76428571428573,14.0,0.7142857142857143
14895,107,-54.185714285714226,27.0,0.2857142857142857
15045,108,-45.67857142857133,23.0,0.42857142857142855
15195,109,-55.585714285714246,27.0,0.2857142857142857
15345,110,-33.46428571428576,14.0,0.7142857142857143
15495,111,-36.6642857142857,8.0,0.7142857142857143
15645,112,-44.07857142857142,17.0,0.42857142857142855
15795,113,-56.73571428571426,27.0,0.2857142857142857
15945,114,-47.078571428571365,21.0,0.42857142857142855
16095,115,-18.5071428571429,4.0,0.8571428571428571
16245,116,-32.91428571428571,14.0,0.7142857142857143
16395,117,-16.357142857142875,4.0,0.8571428571428571
16545,118,-30.31428571428577,8.0,0.7142857142857143
16695,119,-45.32142857142861,17.0,0.5714285714285714
16845,120,-21.699999999999985,0.0,1.0
16995,121,-43.828571428571344,17.0,0.42857142857142855
17145,122,-38.72142857142858,17.0,0.5714285714285714
17295,123,-22.657142857142865,4.0,0.8571428571428571
17445,124,-34.171428571428606,13.0,0.5714285714285714
17595,125,-35.371428571428474,17.0,0.5714285714285714
17745,126,-24.264285714285716,8.0,0.7142857142857143
