env_steps,episode,episode_return,WEL,ISR
150,1,-47.66666666666667,31.0,0.16666666666666666
299,2,-54.0,34.0,0.0
449,3,-47.66666666666667,31.0,0.16666666666666666
595,4,-54.0,34.0,0.0
745,5,-47.66666666666667,31.0,0.16666666666666666
877,6,-44.66666666666667,28.0,0.16666666666666666
1027,7,-41.333333333333336,28.0,0.3333333333333333
1177,8,-41.333333333333336,28.0,0.3333333333333333
1327,9,-47.66666666666667,31.0,0.16666666666666666
1464,10,-32.0,22.0,0.5
1614,11,-41.333333333333336,28.0,0.3333333333333333
1764,12,-47.66666666666667,31.0,0.16666666666666666
1914,13,-47.66666666666667,31.0,0.16666666666666666
2058,14,-47.66666666666667,31.0,0.16666666666666666
2208,15,-47.66666666666667,31.0,0.16666666666666666
2358,16,-54.0,34.0,0.0
2487,17,-47.66666666666667,31.0,0.16666666666666666
2625,18,-54.0,34.0,0.0
2775,19,-38.333333333333336,25.0,0.3333333333333333
2925,20,-41.333333333333336,28.0,0.3333333333333333
3075,21,-41.333333333333336,28.0,0.3333333333333333
3225,22,-47.66666666666667,31.0,0.16666666666666666
3375,23,-54.0,34.0,0.0
3525,24,-47.66666666666667,31.0,0.16666666666666666
3675,25,-54.0,34.0,0.0
3825,26,-54.0,34.0,0.0
3975,27,-41.333333333333336,28.0,0.3333333333333333
4125,28,-41.333333333333336,28.0,0.3333333333333333
4275,29,-38.333333333333336,25.0,0.3333333333333333
4425,30,-54.0,34.0,0.0
4575,31,-25.0,15.0,0.5
4725,32,-47.66666666666667,31.0,0.16666666666666666
4875,33,-38.333333333333336,25.0,0.3333333333333333
5025,34,-54.0,34.0,0.0
5175,35,-44.66666666666667,28.0,0.16666666666666666
5325,36,-41.333333333333336,28.0,0.3333333333333333
5475,37,-54.0,34.0,0.0
5625,38,-38.333333333333336,25.0,0.3333333333333333
5684,39,0.0,0.0,1.0
5807,40,-44.66666666666667,28.0,0.16666666666666666
5957,41,-41.333333333333336,28.0,0.3333333333333333
6081,42,-38.333333333333336,25.0,0.3333333333333333
6231,43,-47.66666666666667,31.0,0.16666666666666666
6374,44,-32.0,22.0,0.5
6524,45,-47.66666666666667,31.0,0.16666666666666666
6674,46,-54.0,34.0,0.0
6824,47,-47.66666666666667,31.0,0.16666666666666666
6974,48,-54.0,34.0,0.0
7124,49,-47.66666666666667,31.0,0.16666666666666666
7255,50,-44.66666666666667,28.0,0.16666666666666666
7405,51,-47.66666666666667,31.0,0.16666666666666666
7555,52,-47.66666666666667,31.0,0.16666666666666666
7705,53,-38.333333333333336,25.0,0.3333333333333333
7855,54,-38.333333333333336,25.0,0.3333333333333333
8001,55,-54.0,34.0,0.0
8151,56,-44.66666666666667,28.0,0.16666666666666666
8301,57,-32.0,22.0,0.5
8451,58,-38.333333333333336,25.0,0.3333333333333333
8601,59,-54.0,34.0,0.0
8751,60,-47.66666666666667,31.0,0.16666666666666666
8901,61,-38.333333333333336,25.0,0.3333333333333333
9051,62,-44.66666666666667,28.0,0.16666666666666666
9201,63,-44.66666666666667,28.0,0.16666666666666666
9351,64,-38.333333333333336,25.0,0.3333333333333333
9501,65,-38.333333333333336,25.0,0.3333333333333333
9651,66,-41.333333333333336,28.0,0.3333333333333333
9801,67,-32.0,22.0,0.5
9951,68,-41.333333333333336,28.0,0.3333333333333333
10093,69,-44.66666666666667,28.0,0.16666666666666666
10198,70,-38.333333333333336,25.0,0.3333333333333333
10348,71,-41.333333333333336,28.0,0.3333333333333333
10498,72,-35.333333333333336,22.0,0.3333333333333333
10648,73,-38.333333333333336,25.0,0.3333333333333333
10787,74,-38.333333333333336,25.0,0.3333333333333333
10937,75,-54.0,34.0,0.0
11087,76,-38.333333333333336,25.0,0.3333333333333333
11237,77,-25.0,15.0,0.5
11387,78,-38.333333333333336,25.0,0.3333333333333333
11537,79,-18.666666666666668,12.0,0.6666666666666666
11687,80,-40.66666666666667,24.0,0.16666666666666666
11837,81,-38.333333333333336,25.0,0.3333333333333333
11987,82,-38.333333333333336,25.0,0.3333333333333333
12137,83,-38.333333333333336,25.0,0.3333333333333333
12287,84,-44.66666666666667,28.0,0.16666666666666666
12437,85,-38.333333333333336,25.0,0.3333333333333333
12587,86,-32.0,22.0,0.5
12737,87,-40.66666666666667,24.0,0.16666666666666666
