env_steps,episode,episode_return,WEL,ISR
150,1,-41.285714285714285,27.0,0.2857142857142857
300,2,-41.28571428571429,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-41.285714285714285,27.0,0.2857142857142857
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-34.42857142857143,23.0,0.42857142857142855
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-41.38571428571428,27.0,0.2857142857142857
1350,9,-41.28571428571429,27.0,0.2857142857142857
1500,10,-41.285714285714285,27.0,0.2857142857142857
1650,11,-34.42857142857143,23.0,0.42857142857142855
1800,12,-34.42857142857143,23.0,0.42857142857142855
1950,13,-41.285714285714285,27.0,0.2857142857142857
2100,14,-41.285714285714285,27.0,0.2857142857142857
2250,15,-41.285714285714285,27.0,0.2857142857142857
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-41.285714285714285,27.0,0.2857142857142857
2700,18,-41.285714285714285,27.0,0.2857142857142857
2850,19,-34.42857142857143,23.0,0.42857142857142855
3000,20,-41.285714285714285,27.0,0.2857142857142857
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-41.285714285714285,27.0,0.2857142857142857
3450,23,-41.285714285714285,27.0,0.2857142857142857
3600,24,-34.42857142857143,23.0,0.42857142857142855
3750,25,-27.571428571428577,19.0,0.5714285714285714
3900,26,-41.285714285714285,27.0,0.2857142857142857
4050,27,-41.285714285714285,27.0,0.2857142857142857
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-41.285714285714285,27.0,0.2857142857142857
4500,30,-34.42857142857143,23.0,0.42857142857142855
4650,31,-41.285714285714285,27.0,0.2857142857142857
4800,32,-41.285714285714285,27.0,0.2857142857142857
4950,33,-34.42857142857143,23.0,0.42857142857142855
5100,34,-32.42857142857143,21.0,0.42857142857142855
5250,35,-41.285714285714285,27.0,0.2857142857142857
5400,36,-41.285714285714285,27.0,0.2857142857142857
5550,37,-41.28571428571429,27.0,0.2857142857142857
5700,38,-26.571428571428573,18.0,0.5714285714285714
5850,39,-41.285714285714285,27.0,0.2857142857142857
6000,40,-41.285714285714285,27.0,0.2857142857142857
6150,41,-34.42857142857143,23.0,0.42857142857142855
6300,42,-34.42857142857143,23.0,0.42857142857142855
6450,43,-41.285714285714285,27.0,0.2857142857142857
6600,44,-41.285714285714285,27.0,0.2857142857142857
6750,45,-34.42857142857143,23.0,0.42857142857142855
6900,46,-41.285714285714285,27.0,0.2857142857142857
7050,47,-34.42857142857143,23.0,0.42857142857142855
7200,48,-41.285714285714285,27.0,0.2857142857142857
7350,49,-41.285714285714285,27.0,0.2857142857142857
7500,50,-41.285714285714285,27.0,0.2857142857142857
7650,51,-34.42857142857143,23.0,0.42857142857142855
7800,52,-32.42857142857143,21.0,0.42857142857142855
7950,53,-41.285714285714285,27.0,0.2857142857142857
8100,54,-41.285714285714285,27.0,0.2857142857142857
8250,55,-34.42857142857143,23.0,0.42857142857142855
8400,56,-41.285714285714285,27.0,0.2857142857142857
8550,57,-41.285714285714285,27.0,0.2857142857142857
8700,58,-41.285714285714285,27.0,0.2857142857142857
8850,59,-41.285714285714285,27.0,0.2857142857142857
9000,60,-41.285714285714285,27.0,0.2857142857142857
9150,61,-34.42857142857143,23.0,0.42857142857142855
9300,62,-6.857142857142858,4.0,0.8571428571428571
9450,63,-34.42857142857143,23.0,0.42857142857142855
9600,64,-34.42857142857143,23.0,0.42857142857142855
9602,65,0.0,0.0,1.0
9752,66,-13.714285714285714,8.0,0.7142857142857143
9902,67,-41.285714285714285,27.0,0.2857142857142857
10052,68,-34.42857142857143,23.0,0.42857142857142855
10202,69,-34.42857142857143,23.0,0.42857142857142855
10352,70,-21.571428571428573,13.0,0.5714285714285714
10502,71,-6.857142857142858,4.0,0.8571428571428571
10652,72,-41.285714285714285,27.0,0.2857142857142857
10802,73,-27.571428571428577,19.0,0.5714285714285714
10952,74,-26.571428571428573,18.0,0.5714285714285714
11102,75,-41.285714285714285,27.0,0.2857142857142857
11252,76,-41.285714285714285,27.0,0.2857142857142857
11402,77,-34.42857142857143,23.0,0.42857142857142855
11552,78,-19.571428571428573,11.0,0.5714285714285714
11702,79,-14.714285714285714,9.0,0.7142857142857143
11852,80,-13.714285714285714,8.0,0.7142857142857143
12002,81,-41.285714285714285,27.0,0.2857142857142857
12152,82,-32.42857142857143,21.0,0.42857142857142855
12302,83,-21.571428571428573,13.0,0.5714285714285714
12452,84,-6.857142857142858,4.0,0.8571428571428571
12602,85,-34.42857142857143,23.0,0.42857142857142855
12752,86,-34.528571428571425,23.0,0.42857142857142855
12902,87,-34.42857142857143,23.0,0.42857142857142855
13052,88,-41.285714285714285,27.0,0.2857142857142857
13202,89,-14.714285714285714,9.0,0.7142857142857143
13352,90,-28.42857142857143,17.0,0.42857142857142855
13502,91,-14.714285714285714,9.0,0.7142857142857143
13652,92,-28.42857142857143,17.0,0.42857142857142855
13802,93,-41.285714285714285,27.0,0.2857142857142857
13952,94,-41.285714285714285,27.0,0.2857142857142857
14102,95,-27.571428571428573,19.0,0.5714285714285714
14252,96,-41.285714285714285,27.0,0.2857142857142857
14402,97,-27.571428571428577,19.0,0.5714285714285714
14552,98,-27.571428571428577,19.0,0.5714285714285714
14702,99,-34.42857142857143,23.0,0.42857142857142855
14852,100,-14.714285714285714,9.0,0.7142857142857143
