WEL,ISR,CE,burned,return,region,policy,seed,episode
27.0,0.2857142857142857,1.0,483,-41.285714285714285,saudi,noop,42,0
27.0,0.2857142857142857,1.0,374,-41.285714285714285,saudi,noop,42,1
27.0,0.2857142857142857,1.0,441,-41.285714285714285,saudi,noop,42,2
27.0,0.2857142857142857,1.0,454,-41.285714285714285,saudi,noop,42,3
27.0,0.2857142857142857,1.0,428,-41.285714285714285,saudi,noop,42,4
27.0,0.2857142857142857,1.0,543,-41.285714285714285,saudi,noop,42,5
27.0,0.2857142857142857,1.0,493,-41.285714285714285,saudi,noop,42,6
27.0,0.2857142857142857,1.0,421,-41.285714285714285,saudi,noop,42,7
27.0,0.2857142857142857,1.0,459,-41.285714285714285,saudi,noop,42,8
27.0,0.2857142857142857,1.0,597,-41.285714285714285,saudi,noop,42,9
27.0,0.2857142857142857,1.0,526,-41.285714285714285,saudi,noop,42,10
27.0,0.2857142857142857,1.0,487,-41.285714285714285,saudi,noop,42,11
27.0,0.2857142857142857,1.0,606,-41.285714285714285,saudi,noop,42,12
27.0,0.2857142857142857,1.0,639,-41.285714285714285,saudi,noop,42,13
27.0,0.2857142857142857,1.0,524,-41.285714285714285,saudi,noop,42,14
27.0,0.2857142857142857,1.0,524,-41.285714285714285,saudi,noop,1042,0
27.0,0.2857142857142857,1.0,440,-41.285714285714285,saudi,noop,1042,1
27.0,0.2857142857142857,1.0,465,-41.285714285714285,saudi,noop,1042,2
27.0,0.2857142857142857,1.0,526,-41.285714285714285,saudi,noop,1042,3
27.0,0.2857142857142857,1.0,408,-41.285714285714285,saudi,noop,1042,4
27.0,0.2857142857142857,1.0,528,-41.28571428571429,saudi,noop,1042,5
27.0,0.2857142857142857,1.0,447,-41.285714285714285,saudi,noop,1042,6
27.0,0.2857142857142857,1.0,544,-41.285714285714285,saudi,noop,1042,7
27.0,0.2857142857142857,1.0,537,-41.28571428571429,saudi,noop,1042,8
27.0,0.2857142857142857,1.0,534,-41.285714285714285,saudi,noop,1042,9
27.0,0.2857142857142857,1.0,415,-41.285714285714285,saudi,noop,1042,10
27.0,0.2857142857142857,1.0,444,-41.285714285714285,saudi,noop,1042,11
27.0,0.2857142857142857,1.0,518,-41.285714285714285,saudi,noop,1042,12
27.0,0.2857142857142857,1.0,518,-41.285714285714285,saudi,noop,1042,13
27.0,0.2857142857142857,1.0,583,-41.285714285714285,saudi,noop,1042,14
27.0,0.2857142857142857,1.0,512,-41.285714285714285,saudi,noop,2042,0
27.0,0.2857142857142857,1.0,436,-41.285714285714285,saudi,noop,2042,1
27.0,0.2857142857142857,1.0,488,-41.285714285714285,saudi,noop,2042,2
