env_steps,episode,episode_return,WEL,ISR
150,1,-41.333333333333336,28.0,0.3333333333333333
300,2,-47.66666666666667,31.0,0.16666666666666666
450,3,-47.66666666666667,31.0,0.16666666666666666
600,4,-32.0,22.0,0.5
750,5,-41.333333333333336,28.0,0.3333333333333333
900,6,-54.0,34.0,0.0
1050,7,-47.66666666666667,31.0,0.16666666666666666
1200,8,-38.333333333333336,25.0,0.3333333333333333
1350,9,-47.66666666666667,31.0,0.16666666666666666
1497,10,-47.66666666666667,31.0,0.16666666666666666
1647,11,-47.66666666666667,31.0,0.16666666666666666
1789,12,-54.0,34.0,0.0
1939,13,-41.333333333333336,28.0,0.3333333333333333
2089,14,-47.66666666666667,31.0,0.16666666666666666
2239,15,-44.66666666666667,28.0,0.16666666666666666
2389,16,-54.099999999999994,34.0,0.0
2531,17,-41.333333333333336,28.0,0.3333333333333333
2676,18,-54.0,34.0,0.0
2826,19,-41.333333333333336,28.0,0.3333333333333333
2976,20,-47.66666666666667,31.0,0.16666666666666666
3126,21,-47.66666666666667,31.0,0.16666666666666666
3269,22,-54.0,34.0,0.0
3417,23,-41.333333333333336,28.0,0.3333333333333333
3567,24,-38.333333333333336,25.0,0.3333333333333333
3717,25,-47.66666666666667,31.0,0.16666666666666666
3867,26,-38.333333333333336,25.0,0.3333333333333333
4017,27,-47.66666666666667,31.0,0.16666666666666666
4167,28,-54.0,34.0,0.0
4317,29,-47.66666666666667,31.0,0.16666666666666666
4467,30,-47.66666666666667,31.0,0.16666666666666666
4591,31,-47.66666666666667,31.0,0.16666666666666666
4741,32,-38.333333333333336,25.0,0.3333333333333333
4891,33,-47.66666666666667,31.0,0.16666666666666666
5041,34,-44.66666666666667,28.0,0.16666666666666666
5191,35,-47.66666666666667,31.0,0.16666666666666666
5341,36,-47.66666666666667,31.0,0.16666666666666666
5491,37,-38.333333333333336,25.0,0.3333333333333333
5625,38,-47.66666666666667,31.0,0.16666666666666666
5775,39,-47.66666666666667,31.0,0.16666666666666666
5922,40,-38.333333333333336,25.0,0.3333333333333333
6054,41,-54.0,34.0,0.0
6199,42,-47.66666666666667,31.0,0.16666666666666666
6349,43,-47.66666666666667,31.0,0.16666666666666666
6499,44,-54.0,34.0,0.0
6649,45,-47.66666666666667,31.0,0.16666666666666666
6799,46,-54.0,34.0,0.0
6949,47,-47.66666666666667,31.0,0.16666666666666666
7099,48,-41.333333333333336,28.0,0.3333333333333333
7249,49,-47.66666666666667,31.0,0.16666666666666666
7399,50,-41.333333333333336,28.0,0.3333333333333333
7549,51,-41.333333333333336,28.0,0.3333333333333333
7699,52,-54.0,34.0,0.0
7849,53,-41.333333333333336,28.0,0.3333333333333333
7999,54,-41.333333333333336,28.0,0.3333333333333333
8142,55,-47.66666666666667,31.0,0.16666666666666666
8292,56,-47.66666666666667,31.0,0.16666666666666666
8442,57,-47.66666666666667,31.0,0.16666666666666666
8592,58,-38.333333333333336,25.0,0.3333333333333333
8742,59,-54.0,34.0,0.0
8892,60,-47.66666666666667,31.0,0.16666666666666666
9016,61,-47.66666666666667,31.0,0.16666666666666666
9166,62,-34.333333333333336,21.0,0.3333333333333333
9316,63,-54.0,34.0,0.0
9466,64,-54.0,34.0,0.0
9616,65,-54.0,34.0,0.0
9756,66,-47.66666666666667,31.0,0.16666666666666666
9906,67,-47.66666666666667,31.0,0.16666666666666666
10056,68,-47.66666666666667,31.0,0.16666666666666666
10206,69,-54.0,34.0,0.0
10356,70,-54.0,34.0,0.0
10506,71,-41.333333333333336,28.0,0.3333333333333333
10634,72,-54.0,34.0,0.0
10784,73,-41.333333333333336,28.0,0.3333333333333333
10934,74,-47.66666666666667,31.0,0.16666666666666666
11084,75,-47.66666666666667,31.0,0.16666666666666666
11234,76,-41.333333333333336,28.0,0.3333333333333333
11384,77,-47.66666666666667,31.0,0.16666666666666666
11534,78,-47.66666666666667,31.0,0.16666666666666666
11684,79,-47.66666666666667,31.0,0.16666666666666666
11834,80,-47.66666666666667,31.0,0.16666666666666666
11980,81,-54.0,34.0,0.0
12130,82,-34.333333333333336,21.0,0.3333333333333333
12280,83,-54.0,34.0,0.0
12430,84,-32.0,22.0,0.5
12580,85,-47.66666666666667,31.0,0.16666666666666666
12730,86,-54.0,34.0,0.0
12880,87,-47.66666666666667,31.0,0.16666666666666666
13026,88,-47.66666666666667,31.0,0.16666666666666666
13176,89,-38.333333333333336,25.0,0.3333333333333333
13326,90,-25.0,15.0,0.5
13476,91,-41.333333333333336,28.0,0.3333333333333333
13625,92,-54.0,34.0,0.0
13775,93,-54.0,34.0,0.0
13924,94,-47.66666666666667,31.0,0.16666666666666666
14074,95,-47.66666666666667,31.0,0.16666666666666666
14224,96,-47.66666666666667,31.0,0.16666666666666666
14374,97,-34.333333333333336,21.0,0.3333333333333333
14524,98,-47.66666666666667,31.0,0.16666666666666666
14674,99,-34.333333333333336,21.0,0.3333333333333333
14817,100,-47.66666666666667,31.0,0.16666666666666666
14967,101,-44.66666666666667,28.0,0.16666666666666666
15117,102,-47.66666666666667,31.0,0.16666666666666666
15267,103,-41.333333333333336,28.0,0.3333333333333333
15417,104,-34.333333333333336,21.0,0.3333333333333333
15567,105,-47.66666666666667,31.0,0.16666666666666666
15717,106,-34.333333333333336,21.0,0.3333333333333333
15867,107,-54.0,34.0,0.0
16017,108,-47.66666666666667,31.0,0.16666666666666666
16147,109,-47.66666666666667,31.0,0.16666666666666666
16297,110,-47.66666666666667,31.0,0.16666666666666666
16447,111,-34.333333333333336,21.0,0.3333333333333333
16597,112,-47.66666666666667,31.0,0.16666666666666666
16729,113,-47.66666666666667,31.0,0.16666666666666666
16879,114,-41.333333333333336,28.0,0.3333333333333333
17029,115,-41.333333333333336,28.0,0.3333333333333333
17179,116,-31.333333333333336,18.0,0.3333333333333333
17329,117,-38.333333333333336,25.0,0.3333333333333333
17479,118,-47.66666666666667,31.0,0.16666666666666666
17629,119,-47.66666666666667,31.0,0.16666666666666666
17779,120,-54.0,34.0,0.0
17929,121,-54.0,34.0,0.0
18078,122,-54.0,34.0,0.0
18228,123,-47.66666666666667,31.0,0.16666666666666666
18378,124,-34.333333333333336,21.0,0.3333333333333333
18528,125,-41.333333333333336,28.0,0.3333333333333333
18678,126,-47.66666666666667,31.0,0.16666666666666666
18828,127,-18.666666666666668,12.0,0.6666666666666666
18978,128,-47.66666666666667,31.0,0.16666666666666666
19128,129,-47.66666666666667,31.0,0.16666666666666666
19278,130,-47.66666666666667,31.0,0.16666666666666666
19428,131,-47.66666666666667,31.0,0.16666666666666666
19566,132,-47.66666666666667,31.0,0.16666666666666666
19716,133,-34.333333333333336,21.0,0.3333333333333333
