env_steps,episode,episode_return,WEL,ISR
150,1,-15.307142857142868,3.0,0.8571428571428571
300,2,-45.02857142857139,17.0,0.42857142857142855
450,3,-20.657142857142894,4.0,0.8571428571428571
600,4,-51.578571428571415,23.0,0.42857142857142855
750,5,-44.128571428571355,17.0,0.42857142857142855
900,6,-23.01428571428574,9.0,0.7142857142857143
1050,7,-44.178571428571374,23.0,0.42857142857142855
1200,8,-24.807142857142896,10.0,0.8571428571428571
1350,9,-29.057142857142896,4.0,0.8571428571428571
1500,10,-33.72142857142851,13.0,0.5714285714285714
1650,11,-28.1071428571429,10.0,0.8571428571428571
1800,12,-41.37142857142861,18.0,0.5714285714285714
1950,13,-27.464285714285715,7.0,0.7142857142857143
2100,14,-50.47857142857139,17.0,0.42857142857142855
2250,15,-20.757142857142874,4.0,0.8571428571428571
2400,16,-11.20000000000002,0.0,1.0
2482,17,-1.1000000000000005,0.0,1.0
2632,18,-9.550000000000011,0.0,1.0
2782,19,-16.107142857142883,4.0,0.8571428571428571
2932,20,-25.757142857142888,10.0,0.8571428571428571
3082,21,-23.764285714285748,7.0,0.7142857142857143
3232,22,-27.45714285714288,4.0,0.8571428571428571
3382,23,-16.30714285714287,3.0,0.8571428571428571
3532,24,-34.02142857142855,13.0,0.5714285714285714
3682,25,-34.82142857142851,13.0,0.5714285714285714
3801,26,-22.664285714285725,7.0,0.7142857142857143
3951,27,-27.76428571428573,9.0,0.7142857142857143
4101,28,-30.814285714285738,14.0,0.7142857142857143
4251,29,-37.47142857142856,19.0,0.5714285714285714
4401,30,-50.72857142857138,23.0,0.42857142857142855
4551,31,-18.807142857142868,4.0,0.8571428571428571
4701,32,-44.32142857142856,17.0,0.5714285714285714
4851,33,-14.207142857142873,4.0,0.8571428571428571
5001,34,-23.357142857142886,4.0,0.8571428571428571
5151,35,-16.407142857142873,4.0,0.8571428571428571
5253,36,-26.35714285714284,10.0,0.8571428571428571
5403,37,-39.07142857142852,13.0,0.5714285714285714
5553,38,-11.950000000000014,0.0,1.0
5703,39,-23.81428571428574,7.0,0.7142857142857143
5853,40,-41.471428571428525,19.0,0.5714285714285714
5975,41,-37.27142857142856,20.0,0.5714285714285714
6125,42,-46.478571428571385,23.0,0.42857142857142855
6275,43,-21.214285714285765,9.0,0.7142857142857143
6425,44,-33.664285714285676,9.0,0.7142857142857143
6507,45,-27.96428571428571,14.0,0.7142857142857143
6657,46,-40.56428571428573,14.0,0.7142857142857143
6807,47,-26.764285714285776,13.0,0.7142857142857143
6957,48,-27.264285714285744,9.0,0.7142857142857143
7107,49,-31.814285714285774,14.0,0.7142857142857143
7257,50,-44.378571428571334,17.0,0.42857142857142855
7407,51,-15.80714285714288,4.0,0.8571428571428571
7557,52,-23.51428571428573,7.0,0.7142857142857143
7707,53,-40.47857142857139,17.0,0.42857142857142855
7857,54,-27.86428571428574,9.0,0.7142857142857143
8007,55,-24.314285714285734,7.0,0.7142857142857143
8157,56,-27.65714285714287,4.0,0.8571428571428571
8307,57,-25.814285714285738,8.0,0.7142857142857143
8457,58,-25.20714285714288,10.0,0.8571428571428571
8607,59,-36.97142857142853,18.0,0.5714285714285714
8757,60,-36.371428571428545,13.0,0.5714285714285714
8907,61,-43.071428571428534,17.0,0.5714285714285714
9057,62,-41.57142857142859,13.0,0.5714285714285714
9207,63,-24.707142857142887,10.0,0.8571428571428571
9357,64,-29.964285714285772,9.0,0.7142857142857143
9507,65,-25.964285714285726,8.0,0.7142857142857143
9657,66,-22.957142857142873,4.0,0.8571428571428571
9807,67,-27.214285714285726,8.0,0.7142857142857143
9957,68,-11.950000000000015,0.0,1.0
10107,69,-30.91428571428575,8.0,0.7142857142857143
10257,70,-45.278571428571304,23.0,0.42857142857142855
10407,71,-27.564285714285774,9.0,0.7142857142857143
10557,72,-10.450000000000012,0.0,1.0
10707,73,-32.82142857142858,13.0,0.5714285714285714
10857,74,-20.664285714285764,9.0,0.7142857142857143
11007,75,-23.864285714285735,8.0,0.7142857142857143
11157,76,-24.91428571428575,7.0,0.7142857142857143
11307,77,-14.657142857142883,3.0,0.8571428571428571
11457,78,-18.85714285714288,4.0,0.8571428571428571
11607,79,-7.299999999999997,0.0,1.0
11757,80,-47.02857142857137,17.0,0.42857142857142855
11907,81,-41.97142857142853,13.0,0.5714285714285714
12057,82,-40.52857142857136,17.0,0.42857142857142855
12207,83,-35.87142857142855,13.0,0.5714285714285714
12357,84,-22.36428571428575,9.0,0.7142857142857143
12507,85,-38.52142857142852,13.0,0.5714285714285714
12657,86,-26.814285714285752,13.0,0.7142857142857143
12807,87,-24.364285714285725,8.0,0.7142857142857143
12957,88,-21.364285714285746,9.0,0.7142857142857143
13107,89,-23.114285714285757,9.0,0.7142857142857143
13257,90,-32.91428571428568,14.0,0.7142857142857143
13407,91,-30.464285714285744,13.0,0.7142857142857143
13557,92,-14.45714285714286,4.0,0.8571428571428571
13707,93,-40.878571428571384,17.0,0.42857142857142855
13857,94,-24.01428571428575,7.0,0.7142857142857143
14007,95,-39.678571428571374,17.0,0.42857142857142855
14157,96,-39.17142857142846,20.0,0.5714285714285714
14307,97,-24.014285714285762,9.0,0.7142857142857143
14457,98,-35.8714285714285,11.0,0.5714285714285714
14607,99,-15.807142857142873,4.0,0.8571428571428571
14757,100,-23.207142857142887,10.0,0.8571428571428571
14907,101,-14.207142857142868,4.0,0.8571428571428571
15019,102,-20.764285714285748,7.0,0.7142857142857143
15169,103,-14.957142857142877,4.0,0.8571428571428571
15319,104,-27.714285714285754,9.0,0.7142857142857143
15469,105,-27.164285714285764,9.0,0.7142857142857143
15600,106,-17.757142857142878,4.0,0.8571428571428571
15750,107,-54.17857142857139,23.0,0.42857142857142855
15900,108,-28.014285714285766,9.0,0.7142857142857143
15990,109,-16.957142857142863,4.0,0.8571428571428571
16140,110,-41.22857142857142,17.0,0.42857142857142855
16290,111,-28.314285714285738,7.0,0.7142857142857143
16440,112,-20.75714285714288,3.0,0.8571428571428571
16590,113,-16.00714285714287,4.0,0.8571428571428571
16669,114,-14.207142857142864,4.0,0.8571428571428571
16819,115,-18.45714285714288,4.0,0.8571428571428571
16969,116,-20.007142857142878,4.0,0.8571428571428571
17050,117,-15.657142857142858,4.0,0.8571428571428571
17200,118,-25.81428571428574,8.0,0.7142857142857143
17350,119,-35.22142857142852,17.0,0.5714285714285714
17500,120,-31.971428571428575,11.0,0.5714285714285714
17650,121,-36.5214285714285,13.0,0.5714285714285714
17800,122,-28.914285714285754,14.0,0.7142857142857143
17950,123,-21.364285714285774,9.0,0.7142857142857143
18100,124,-21.20714285714287,4.0,0.8571428571428571
18250,125,-18.70714285714289,4.0,0.8571428571428571
18400,126,-14.007142857142863,4.0,0.8571428571428571
18505,127,-5.749999999999993,0.0,1.0
18655,128,-24.26428571428574,7.0,0.7142857142857143
