env_steps,episode,episode_return,WEL,ISR
150,1,-47.66666666666667,31.0,0.16666666666666666
300,2,-40.66666666666667,24.0,0.16666666666666666
450,3,-47.66666666666667,31.0,0.16666666666666666
600,4,-38.333333333333336,25.0,0.3333333333333333
750,5,-41.333333333333336,28.0,0.3333333333333333
890,6,-47.66666666666667,31.0,0.16666666666666666
1040,7,-54.0,34.0,0.0
1190,8,-41.333333333333336,28.0,0.3333333333333333
1340,9,-47.66666666666667,31.0,0.16666666666666666
1486,10,-41.333333333333336,28.0,0.3333333333333333
1636,11,-54.0,34.0,0.0
1786,12,-54.0,34.0,0.0
1936,13,-28.0,18.0,0.5
2086,14,-54.0,34.0,0.0
2236,15,-18.666666666666668,12.0,0.6666666666666666
2386,16,-54.0,34.0,0.0
2529,17,-41.333333333333336,28.0,0.3333333333333333
2657,18,-54.0,34.0,0.0
2807,19,-47.66666666666667,31.0,0.16666666666666666
2957,20,-47.66666666666667,31.0,0.16666666666666666
3090,21,-54.0,34.0,0.0
3240,22,-41.333333333333336,28.0,0.3333333333333333
3382,23,-41.333333333333336,28.0,0.3333333333333333
3532,24,-44.66666666666667,28.0,0.16666666666666666
3669,25,-47.66666666666667,31.0,0.16666666666666666
3819,26,-38.333333333333336,25.0,0.3333333333333333
3969,27,-54.0,34.0,0.0
4119,28,-47.66666666666667,31.0,0.16666666666666666
4268,29,-47.66666666666667,31.0,0.16666666666666666
4410,30,-47.66666666666667,31.0,0.16666666666666666
4560,31,-47.66666666666667,31.0,0.16666666666666666
4710,32,-34.333333333333336,21.0,0.3333333333333333
4860,33,-47.66666666666667,31.0,0.16666666666666666
5010,34,-44.66666666666667,28.0,0.16666666666666666
5160,35,-40.66666666666667,24.0,0.16666666666666666
5310,36,-34.333333333333336,21.0,0.3333333333333333
5460,37,-32.0,22.0,0.5
5610,38,-34.333333333333336,21.0,0.3333333333333333
5760,39,-54.0,34.0,0.0
5903,40,-38.333333333333336,25.0,0.3333333333333333
6053,41,-41.333333333333336,28.0,0.3333333333333333
6203,42,-40.66666666666667,24.0,0.16666666666666666
6353,43,-34.333333333333336,21.0,0.3333333333333333
6503,44,-47.66666666666667,31.0,0.16666666666666666
6653,45,-41.333333333333336,28.0,0.3333333333333333
6803,46,-54.0,34.0,0.0
6953,47,-47.66666666666667,31.0,0.16666666666666666
7100,48,-47.66666666666667,31.0,0.16666666666666666
7250,49,-41.333333333333336,28.0,0.3333333333333333
7400,50,-32.0,22.0,0.5
7550,51,-47.66666666666667,31.0,0.16666666666666666
7700,52,-34.333333333333336,21.0,0.3333333333333333
7850,53,-47.66666666666667,31.0,0.16666666666666666
8000,54,-38.333333333333336,25.0,0.3333333333333333
8150,55,-34.333333333333336,21.0,0.3333333333333333
8300,56,-31.333333333333336,18.0,0.3333333333333333
8447,57,-34.333333333333336,21.0,0.3333333333333333
8597,58,-34.333333333333336,21.0,0.3333333333333333
8747,59,-44.66666666666667,28.0,0.16666666666666666
8897,60,-38.333333333333336,25.0,0.3333333333333333
9032,61,-41.333333333333336,28.0,0.3333333333333333
9182,62,-47.66666666666667,31.0,0.16666666666666666
9332,63,-41.333333333333336,28.0,0.3333333333333333
9482,64,-34.333333333333336,21.0,0.3333333333333333
9632,65,-40.66666666666667,24.0,0.16666666666666666
9782,66,-34.333333333333336,21.0,0.3333333333333333
9912,67,-32.0,22.0,0.5
10062,68,-47.66666666666667,31.0,0.16666666666666666
10212,69,-54.0,34.0,0.0
10362,70,-38.333333333333336,25.0,0.3333333333333333
10500,71,-41.333333333333336,28.0,0.3333333333333333
10650,72,-47.66666666666667,31.0,0.16666666666666666
10800,73,-40.66666666666667,24.0,0.16666666666666666
10950,74,-41.333333333333336,28.0,0.3333333333333333
11100,75,-41.333333333333336,28.0,0.3333333333333333
11248,76,-47.66666666666667,31.0,0.16666666666666666
11398,77,-25.0,15.0,0.5
11548,78,-40.66666666666667,24.0,0.16666666666666666
11698,79,-41.333333333333336,28.0,0.3333333333333333
11848,80,-41.333333333333336,28.0,0.3333333333333333
11998,81,-47.66666666666667,31.0,0.16666666666666666
12148,82,-54.0,34.0,0.0
12298,83,-54.0,34.0,0.0
12448,84,-44.66666666666667,28.0,0.16666666666666666
12598,85,-41.333333333333336,28.0,0.3333333333333333
12748,86,-47.66666666666667,31.0,0.16666666666666666
12898,87,-41.333333333333336,28.0,0.3333333333333333
13048,88,-47.66666666666667,31.0,0.16666666666666666
13198,89,-34.333333333333336,21.0,0.3333333333333333
13293,90,-34.333333333333336,21.0,0.3333333333333333
13383,91,-34.333333333333336,21.0,0.3333333333333333
13533,92,-34.333333333333336,21.0,0.3333333333333333
13683,93,-34.333333333333336,21.0,0.3333333333333333
13826,94,-47.66666666666667,31.0,0.16666666666666666
13976,95,-34.333333333333336,21.0,0.3333333333333333
14103,96,-32.0,22.0,0.5
14253,97,-41.333333333333336,28.0,0.3333333333333333
14403,98,-40.66666666666667,24.0,0.16666666666666666
14497,99,-18.666666666666668,12.0,0.6666666666666666
14647,100,-47.66666666666667,31.0,0.16666666666666666
14797,101,-47.66666666666667,31.0,0.16666666666666666
14947,102,-41.333333333333336,28.0,0.3333333333333333
15097,103,-41.333333333333336,28.0,0.3333333333333333
15247,104,-47.66666666666667,31.0,0.16666666666666666
15383,105,-47.766666666666666,31.0,0.16666666666666666
15531,106,-41.333333333333336,28.0,0.3333333333333333
15681,107,-28.0,18.0,0.5
15831,108,-41.333333333333336,28.0,0.3333333333333333
15981,109,-41.333333333333336,28.0,0.3333333333333333
16131,110,-47.66666666666667,31.0,0.16666666666666666
16281,111,-41.333333333333336,28.0,0.3333333333333333
16431,112,-41.333333333333336,28.0,0.3333333333333333
16581,113,-18.666666666666668,12.0,0.6666666666666666
16731,114,-41.333333333333336,28.0,0.3333333333333333
16868,115,-41.333333333333336,28.0,0.3333333333333333
17018,116,-41.333333333333336,28.0,0.3333333333333333
17168,117,-18.666666666666668,12.0,0.6666666666666666
17318,118,-41.333333333333336,28.0,0.3333333333333333
17468,119,-47.66666666666667,31.0,0.16666666666666666
17618,120,-15.666666666666668,9.0,0.6666666666666666
17768,121,-54.0,34.0,0.0
17915,122,-47.66666666666667,31.0,0.16666666666666666
18065,123,-41.333333333333336,28.0,0.3333333333333333
18215,124,-34.333333333333336,21.0,0.3333333333333333
18365,125,-25.0,15.0,0.5
18515,126,-28.0,18.0,0.5
18665,127,-28.0,18.0,0.5
18815,128,-41.333333333333336,28.0,0.3333333333333333
18965,129,-28.0,18.0,0.5
19115,130,-41.333333333333336,28.0,0.3333333333333333
19265,131,-28.0,18.0,0.5
19408,132,-28.0,18.0,0.5
19558,133,-47.66666666666667,31.0,0.16666666666666666
19708,134,-28.0,18.0,0.5
19858,135,-47.66666666666667,31.0,0.16666666666666666
20008,136,-28.0,18.0,0.5
20158,137,-34.333333333333336,21.0,0.3333333333333333
20305,138,-41.333333333333336,28.0,0.3333333333333333
20455,139,-28.0,18.0,0.5
20596,140,-47.66666666666667,31.0,0.16666666666666666
20746,141,-28.0,18.0,0.5
20896,142,-34.333333333333336,21.0,0.3333333333333333
21046,143,-34.333333333333336,21.0,0.3333333333333333
21196,144,-34.333333333333336,21.0,0.3333333333333333
21346,145,-34.333333333333336,21.0,0.3333333333333333
21496,146,-25.0,15.0,0.5
21646,147,-28.0,18.0,0.5
21796,148,-18.666666666666668,12.0,0.6666666666666666
21946,149,-41.333333333333336,28.0,0.3333333333333333
22096,150,-18.666666666666668,12.0,0.6666666666666666
22246,151,-18.666666666666668,12.0,0.6666666666666666
22396,152,-34.333333333333336,21.0,0.3333333333333333
22504,153,-28.0,18.0,0.5
22654,154,-28.0,18.0,0.5
22804,155,-34.333333333333336,21.0,0.3333333333333333
22954,156,-28.0,18.0,0.5
23104,157,-28.0,18.0,0.5
23254,158,-18.666666666666668,12.0,0.6666666666666666
23404,159,-40.66666666666667,24.0,0.16666666666666666
23554,160,-18.666666666666668,12.0,0.6666666666666666
23704,161,-28.0,18.0,0.5
23854,162,-25.0,15.0,0.5
24004,163,-47.66666666666667,31.0,0.16666666666666666
24154,164,-40.66666666666667,24.0,0.16666666666666666
24297,165,-41.333333333333336,28.0,0.3333333333333333
24447,166,-38.333333333333336,25.0,0.3333333333333333
24597,167,-15.666666666666668,9.0,0.6666666666666666
24747,168,-28.0,18.0,0.5
24897,169,-34.333333333333336,21.0,0.3333333333333333
25047,170,-18.666666666666668,12.0,0.6666666666666666
25197,171,-15.666666666666668,9.0,0.6666666666666666
25347,172,-18.666666666666668,12.0,0.6666666666666666
25497,173,-18.666666666666668,12.0,0.6666666666666666
25647,174,-28.0,18.0,0.5
25797,175,-28.0,18.0,0.5
25947,176,-25.0,15.0,0.5
26097,177,-25.0,15.0,0.5
26247,178,-15.666666666666668,9.0,0.6666666666666666
26397,179,-28.0,18.0,0.5
26547,180,-18.666666666666668,12.0,0.6666666666666666
26697,181,-34.333333333333336,21.0,0.3333333333333333
26847,182,-25.0,15.0,0.5
26997,183,-18.666666666666668,12.0,0.6666666666666666
27147,184,-44.66666666666667,28.0,0.16666666666666666
27297,185,-9.333333333333332,6.0,0.8333333333333334
27447,186,-25.0,15.0,0.5
27597,187,-32.0,22.0,0.5
27747,188,-18.666666666666668,12.0,0.6666666666666666
27897,189,-34.333333333333336,21.0,0.3333333333333333
28047,190,-25.0,15.0,0.5
28197,191,-18.666666666666668,12.0,0.6666666666666666
28347,192,-9.333333333333332,6.0,0.8333333333333334
28497,193,-41.333333333333336,28.0,0.3333333333333333
28555,194,-9.333333333333332,6.0,0.8333333333333334
28705,195,-32.0,22.0,0.5
28845,196,-38.333333333333336,25.0,0.3333333333333333
28995,197,-18.666666666666668,12.0,0.6666666666666666
29145,198,-41.333333333333336,28.0,0.3333333333333333
29295,199,-28.0,18.0,0.5
29445,200,-25.0,15.0,0.5
29595,201,-44.66666666666667,28.0,0.16666666666666666
29745,202,-28.0,18.0,0.5
29895,203,-40.66666666666667,24.0,0.16666666666666666
30045,204,-18.666666666666668,12.0,0.6666666666666666
30195,205,-47.66666666666667,31.0,0.16666666666666666
30345,206,-15.666666666666668,9.0,0.6666666666666666
30465,207,-9.333333333333332,6.0,0.8333333333333334
30529,208,-18.666666666666668,12.0,0.6666666666666666
30679,209,-25.0,15.0,0.5
30745,210,-9.333333333333332,6.0,0.8333333333333334
30895,211,-34.333333333333336,21.0,0.3333333333333333
30964,212,-18.666666666666668,12.0,0.6666666666666666
31114,213,-28.0,18.0,0.5
31264,214,-15.666666666666668,9.0,0.6666666666666666
31414,215,-18.666666666666668,12.0,0.6666666666666666
31564,216,-28.0,18.0,0.5
31714,217,-34.43333333333333,21.0,0.3333333333333333
31864,218,-28.0,18.0,0.5
32014,219,-28.0,18.0,0.5
32164,220,-25.0,15.0,0.5
32314,221,-41.333333333333336,28.0,0.3333333333333333
32464,222,-18.666666666666668,12.0,0.6666666666666666
32614,223,-9.333333333333332,6.0,0.8333333333333334
32764,224,-15.666666666666668,9.0,0.6666666666666666
32914,225,-18.666666666666668,12.0,0.6666666666666666
33064,226,-18.666666666666668,12.0,0.6666666666666666
33099,227,0.0,0.0,1.0
33249,228,-18.666666666666668,12.0,0.6666666666666666
33399,229,-18.666666666666668,12.0,0.6666666666666666
33549,230,-25.0,15.0,0.5
33699,231,-25.0,15.0,0.5
33849,232,-25.0,15.0,0.5
33999,233,-25.0,15.0,0.5
34149,234,-9.333333333333332,6.0,0.8333333333333334
34299,235,-25.0,15.0,0.5
34381,236,-18.666666666666668,12.0,0.6666666666666666
34531,237,-18.666666666666668,12.0,0.6666666666666666
34681,238,-25.0,15.0,0.5
34831,239,-25.0,15.0,0.5
34981,240,-31.333333333333336,18.0,0.3333333333333333
35131,241,-18.666666666666668,12.0,0.6666666666666666
35281,242,-15.666666666666668,9.0,0.6666666666666666
35431,243,-15.666666666666668,9.0,0.6666666666666666
35581,244,-29.0,19.0,0.5
35731,245,-15.666666666666668,9.0,0.6666666666666666
35881,246,-9.333333333333332,6.0,0.8333333333333334
36031,247,-15.666666666666668,9.0,0.6666666666666666
36181,248,-25.0,15.0,0.5
36331,249,-15.666666666666668,9.0,0.6666666666666666
36481,250,-9.533333333333331,6.0,0.8333333333333334
36572,251,-9.333333333333332,6.0,0.8333333333333334
36722,252,-25.0,15.0,0.5
36872,253,-25.0,15.0,0.5
37022,254,-18.666666666666668,12.0,0.6666666666666666
37172,255,-9.333333333333332,6.0,0.8333333333333334
37322,256,-38.33333333333334,25.0,0.3333333333333333
37472,257,-6.333333333333332,3.0,0.8333333333333334
37590,258,0.0,0.0,1.0
37740,259,-9.333333333333332,6.0,0.8333333333333334
37816,260,-9.333333333333332,6.0,0.8333333333333334
37966,261,-32.0,22.0,0.5
38116,262,-18.666666666666668,12.0,0.6666666666666666
38266,263,-15.666666666666668,9.0,0.6666666666666666
38416,264,-29.0,19.0,0.5
38566,265,-38.333333333333336,25.0,0.3333333333333333
38716,266,-15.666666666666668,9.0,0.6666666666666666
38866,267,-15.666666666666668,9.0,0.6666666666666666
39016,268,0.0,0.0,1.0
39166,269,-25.2,15.0,0.5
39287,270,0.0,0.0,1.0
39437,271,-25.0,15.0,0.5
39587,272,-29.0,19.0,0.5
39737,273,-9.333333333333332,6.0,0.8333333333333334
39800,274,-9.333333333333332,6.0,0.8333333333333334
39950,275,-9.533333333333331,6.0,0.8333333333333334
40100,276,-25.0,15.0,0.5
40250,277,-25.099999999999998,15.0,0.5
40400,278,-25.0,15.0,0.5
40550,279,-15.666666666666668,9.0,0.6666666666666666
40700,280,-25.0,15.0,0.5
40850,281,-25.0,15.0,0.5
41000,282,-15.666666666666668,9.0,0.6666666666666666
41150,283,-25.0,15.0,0.5
41212,284,-9.333333333333332,6.0,0.8333333333333334
