env_steps,episode,episode_return,WEL,ISR
136,1,-54.0,34.0,0.0
286,2,-38.333333333333336,25.0,0.3333333333333333
436,3,-47.66666666666667,31.0,0.16666666666666666
570,4,-44.66666666666667,28.0,0.16666666666666666
720,5,-47.66666666666667,31.0,0.16666666666666666
860,6,-54.0,34.0,0.0
1010,7,-47.66666666666667,31.0,0.16666666666666666
1160,8,-47.66666666666667,31.0,0.16666666666666666
1299,9,-47.66666666666667,31.0,0.16666666666666666
1449,10,-47.66666666666667,31.0,0.16666666666666666
1583,11,-47.66666666666667,31.0,0.16666666666666666
1733,12,-47.66666666666667,31.0,0.16666666666666666
1883,13,-47.66666666666667,31.0,0.16666666666666666
2033,14,-54.0,34.0,0.0
2183,15,-47.66666666666667,31.0,0.16666666666666666
2305,16,-47.66666666666667,31.0,0.16666666666666666
2455,17,-28.0,18.0,0.5
2602,18,-54.0,34.0,0.0
2752,19,-47.66666666666667,31.0,0.16666666666666666
2899,20,-41.333333333333336,28.0,0.3333333333333333
3049,21,-47.66666666666667,31.0,0.16666666666666666
3194,22,-47.66666666666667,31.0,0.16666666666666666
3344,23,-47.66666666666667,31.0,0.16666666666666666
3494,24,-47.66666666666667,31.0,0.16666666666666666
3644,25,-40.66666666666667,24.0,0.16666666666666666
3794,26,-41.333333333333336,28.0,0.3333333333333333
3944,27,-47.66666666666667,31.0,0.16666666666666666
4094,28,-47.66666666666667,31.0,0.16666666666666666
4244,29,-47.66666666666667,31.0,0.16666666666666666
4377,30,-41.333333333333336,28.0,0.3333333333333333
4527,31,-54.0,34.0,0.0
4677,32,-47.66666666666667,31.0,0.16666666666666666
4827,33,-41.333333333333336,28.0,0.3333333333333333
4977,34,-41.333333333333336,28.0,0.3333333333333333
5127,35,-54.0,34.0,0.0
5277,36,-47.66666666666667,31.0,0.16666666666666666
5427,37,-34.333333333333336,21.0,0.3333333333333333
5577,38,-47.66666666666667,31.0,0.16666666666666666
5721,39,-47.66666666666667,31.0,0.16666666666666666
5871,40,-41.333333333333336,28.0,0.3333333333333333
6012,41,-47.66666666666667,31.0,0.16666666666666666
6162,42,-47.66666666666667,31.0,0.16666666666666666
6312,43,-41.333333333333336,28.0,0.3333333333333333
6462,44,-28.0,18.0,0.5
6612,45,-41.43333333333333,28.0,0.3333333333333333
6762,46,-47.66666666666667,31.0,0.16666666666666666
6912,47,-47.66666666666667,31.0,0.16666666666666666
7062,48,-54.0,34.0,0.0
7212,49,-54.0,34.0,0.0
7357,50,-41.333333333333336,28.0,0.3333333333333333
7507,51,-47.66666666666667,31.0,0.16666666666666666
7634,52,-47.66666666666667,31.0,0.16666666666666666
7784,53,-40.66666666666667,24.0,0.16666666666666666
7934,54,-47.66666666666667,31.0,0.16666666666666666
8084,55,-47.66666666666667,31.0,0.16666666666666666
8234,56,-38.333333333333336,25.0,0.3333333333333333
8384,57,-47.66666666666667,31.0,0.16666666666666666
8534,58,-47.66666666666667,31.0,0.16666666666666666
8684,59,-47.66666666666667,31.0,0.16666666666666666
8834,60,-34.333333333333336,21.0,0.3333333333333333
8984,61,-47.66666666666667,31.0,0.16666666666666666
9134,62,-47.66666666666667,31.0,0.16666666666666666
9274,63,-54.0,34.0,0.0
9424,64,-54.0,34.0,0.0
9574,65,-28.0,18.0,0.5
9705,66,-38.333333333333336,25.0,0.3333333333333333
9855,67,-54.0,34.0,0.0
9994,68,-47.66666666666667,31.0,0.16666666666666666
10144,69,-41.333333333333336,28.0,0.3333333333333333
10283,70,-47.66666666666667,31.0,0.16666666666666666
10433,71,-54.0,34.0,0.0
10583,72,-47.66666666666667,31.0,0.16666666666666666
10733,73,-47.66666666666667,31.0,0.16666666666666666
10864,74,-38.333333333333336,25.0,0.3333333333333333
11014,75,-38.333333333333336,25.0,0.3333333333333333
11164,76,-47.66666666666667,31.0,0.16666666666666666
