env_steps,episode,episode_return,WEL,ISR
94,1,-7.349999999999998,0.0,1.0
244,2,-34.77142857142858,18.0,0.5714285714285714
394,3,-23.914285714285743,9.0,0.7142857142857143
544,4,-32.2714285714286,13.0,0.5714285714285714
694,5,-33.07142857142861,13.0,0.5714285714285714
844,6,-21.964285714285765,9.0,0.7142857142857143
994,7,-49.62857142857137,21.0,0.42857142857142855
1124,8,-26.164285714285736,13.0,0.7142857142857143
1274,9,-31.857142857142886,10.0,0.8571428571428571
1357,10,-19.607142857142875,10.0,0.8571428571428571
1507,11,-21.1571428571429,10.0,0.8571428571428571
1657,12,-38.57857142857142,17.0,0.42857142857142855
1807,13,-39.67857142857142,17.0,0.42857142857142855
1957,14,-41.114285714285735,14.0,0.7142857142857143
2082,15,-21.264285714285716,9.0,0.7142857142857143
2087,16,0.05,0.0,1.0
2237,17,-43.021428571428544,20.0,0.5714285714285714
2387,18,-24.314285714285756,9.0,0.7142857142857143
2537,19,-16.257142857142863,4.0,0.8571428571428571
2673,20,-28.264285714285744,13.0,0.7142857142857143
2823,21,-27.614285714285735,13.0,0.7142857142857143
2973,22,-27.81428571428572,9.0,0.7142857142857143
3123,23,-24.764285714285734,10.0,0.7142857142857143
3273,24,-17.307142857142875,4.0,0.8571428571428571
3423,25,-13.907142857142874,4.0,0.8571428571428571
3573,26,-19.107142857142904,4.0,0.8571428571428571
3723,27,-29.72142857142862,13.0,0.5714285714285714
3873,28,-33.871428571428524,13.0,0.5714285714285714
4023,29,-15.107142857142883,4.0,0.8571428571428571
4173,30,-34.31428571428564,16.0,0.7142857142857143
4323,31,-39.52142857142851,13.0,0.5714285714285714
4473,32,-14.307142857142878,4.0,0.8571428571428571
4623,33,-31.271428571428615,13.0,0.5714285714285714
4773,34,-23.214285714285783,9.0,0.7142857142857143
4923,35,-22.60714285714288,4.0,0.8571428571428571
5073,36,-30.61428571428574,14.0,0.7142857142857143
5223,37,-15.507142857142878,4.0,0.8571428571428571
5373,38,-42.62142857142852,17.0,0.5714285714285714
5523,39,-18.107142857142893,4.0,0.8571428571428571
5673,40,-29.46428571428577,14.0,0.7142857142857143
5823,41,-29.621428571428613,13.0,0.5714285714285714
5973,42,-33.87142857142854,13.0,0.5714285714285714
6123,43,-33.91428571428573,13.0,0.7142857142857143
6273,44,-12.257142857142872,4.0,0.8571428571428571
6423,45,-33.264285714285734,8.0,0.7142857142857143
6573,46,-27.014285714285762,7.0,0.7142857142857143
6584,47,0.04999999999999999,0.0,1.0
6734,48,-42.02142857142857,13.0,0.5714285714285714
6884,49,-1.6500000000000012,0.0,1.0
7034,50,-31.81428571428574,14.0,0.7142857142857143
7184,51,-47.02857142857137,23.0,0.42857142857142855
7334,52,-37.62857142857144,17.0,0.42857142857142855
7484,53,-15.007142857142876,4.0,0.8571428571428571
7634,54,-50.72857142857136,23.0,0.42857142857142855
7636,55,0.05,0.0,1.0
7786,56,-21.85714285714287,10.0,0.8571428571428571
7936,57,-40.57142857142858,18.0,0.5714285714285714
8086,58,-31.571428571428587,13.0,0.5714285714285714
8236,59,-25.564285714285738,9.0,0.7142857142857143
8386,60,-22.214285714285754,9.0,0.7142857142857143
8396,61,-0.05000000000000002,0.0,1.0
8546,62,-19.25714285714287,4.0,0.8571428571428571
8696,63,-15.657142857142878,4.0,0.8571428571428571
8846,64,-22.15714285714287,4.0,0.8571428571428571
8865,65,0.04999999999999999,0.0,1.0
9015,66,-31.071428571428623,13.0,0.5714285714285714
9165,67,-31.31428571428573,13.0,0.7142857142857143
9315,68,-10.5,0.0,1.0
9455,69,-28.964285714285715,14.0,0.7142857142857143
9605,70,-35.77142857142848,19.0,0.5714285714285714
9755,71,-12.207142857142879,4.0,0.8571428571428571
9905,72,-12.150000000000002,0.0,1.0
10055,73,-38.67142857142854,19.0,0.5714285714285714
10205,74,-45.67857142857136,23.0,0.42857142857142855
10355,75,-31.664285714285757,14.0,0.7142857142857143
10426,76,-26.86428571428571,14.0,0.7142857142857143
10576,77,-21.01428571428575,9.0,0.7142857142857143
10726,78,-14.85,0.0,1.0
10876,79,-48.021428571428544,19.0,0.5714285714285714
11026,80,-20.207142857142877,4.0,0.8571428571428571
11176,81,-39.57142857142852,13.0,0.5714285714285714
11326,82,-38.471428571428504,17.0,0.5714285714285714
11476,83,-17.557142857142885,4.0,0.8571428571428571
11626,84,-48.57857142857135,23.0,0.42857142857142855
11776,85,-22.51428571428576,9.0,0.7142857142857143
11926,86,-13.450000000000003,0.0,1.0
12076,87,-18.907142857142887,3.0,0.8571428571428571
12226,88,-16.357142857142875,4.0,0.8571428571428571
12376,89,-38.171428571428514,13.0,0.5714285714285714
12526,90,-30.01428571428576,8.0,0.7142857142857143
12591,91,-17.06428571428572,9.0,0.7142857142857143
12741,92,-35.1214285714285,13.0,0.5714285714285714
12891,93,-30.871428571428595,13.0,0.5714285714285714
13041,94,-30.464285714285733,14.0,0.7142857142857143
13052,95,0.05,0.0,1.0
13202,96,-22.557142857142885,10.0,0.8571428571428571
13352,97,-36.92142857142857,13.0,0.5714285714285714
13502,98,-22.964285714285726,7.0,0.7142857142857143
13652,99,-53.22857142857138,23.0,0.42857142857142855
13802,100,-34.17142857142849,19.0,0.5714285714285714
13952,101,-31.871428571428588,13.0,0.5714285714285714
14102,102,-17.107142857142875,4.0,0.8571428571428571
14252,103,-31.114285714285753,9.0,0.7142857142857143
14402,104,-39.07142857142846,19.0,0.5714285714285714
14496,105,-35.77142857142855,19.0,0.5714285714285714
14501,106,0.05,0.0,1.0
14605,107,-23.75714285714286,10.0,0.8571428571428571
14755,108,-35.26428571428569,14.0,0.7142857142857143
14905,109,-36.32142857142846,13.0,0.5714285714285714
15055,110,-39.02142857142848,17.0,0.5714285714285714
15205,111,-40.62142857142849,19.0,0.5714285714285714
15355,112,-12.350000000000017,0.0,1.0
15505,113,-29.364285714285746,14.0,0.7142857142857143
15655,114,-29.51428571428574,16.0,0.7142857142857143
15805,115,-46.07857142857137,23.0,0.42857142857142855
15955,116,-30.621428571428588,13.0,0.5714285714285714
16105,117,-35.3214285714285,19.0,0.5714285714285714
16255,118,-31.97142857142858,13.0,0.5714285714285714
16405,119,-23.207142857142884,4.0,0.8571428571428571
16555,120,-31.87142857142861,11.0,0.5714285714285714
16668,121,-25.16428571428574,9.0,0.7142857142857143
16818,122,-25.414285714285736,7.0,0.7142857142857143
16968,123,-35.42142857142851,19.0,0.5714285714285714
17118,124,-38.721428571428554,13.0,0.5714285714285714
17268,125,-31.5214285714286,13.0,0.5714285714285714
17388,126,-23.21428571428575,9.0,0.7142857142857143
17538,127,-44.878571428571334,23.0,0.42857142857142855
17688,128,-36.47142857142849,17.0,0.5714285714285714
17838,129,-7.899999999999997,0.0,1.0
17881,130,-16.66428571428572,9.0,0.7142857142857143
18031,131,-15.757142857142876,4.0,0.8571428571428571
18181,132,-23.964285714285747,9.0,0.7142857142857143
18308,133,-26.514285714285744,9.0,0.7142857142857143
18458,134,-43.87142857142851,13.0,0.5714285714285714
18608,135,-12.350000000000021,0.0,1.0
18758,136,-43.628571428571384,23.0,0.42857142857142855
18836,137,-44.9285714285714,23.0,0.42857142857142855
18936,138,-45.728571428571406,23.0,0.42857142857142855
19086,139,-47.528571428571375,23.0,0.42857142857142855
19228,140,-6.7999999999999945,0.0,1.0
19378,141,-34.67142857142863,13.0,0.5714285714285714
19528,142,-37.77142857142851,19.0,0.5714285714285714
19678,143,-33.164285714285754,9.0,0.7142857142857143
19828,144,-12.107142857142874,4.0,0.8571428571428571
19978,145,-17.557142857142875,4.0,0.8571428571428571
20128,146,-43.02857142857139,23.0,0.42857142857142855
20278,147,-30.46428571428573,14.0,0.7142857142857143
20353,148,-42.328571428571415,23.0,0.42857142857142855
20360,149,0.05,0.0,1.0
20510,150,-43.028571428571375,23.0,0.42857142857142855
20660,151,-31.171428571428606,13.0,0.5714285714285714
20810,152,-32.11428571428573,14.0,0.7142857142857143
20960,153,-26.414285714285725,8.0,0.7142857142857143
21110,154,-39.621428571428524,17.0,0.5714285714285714
21111,155,0.05,0.0,1.0
21261,156,-17.55714285714289,4.0,0.8571428571428571
21411,157,-21.564285714285756,9.0,0.7142857142857143
