WEL,ISR,CE,burned,return,region,policy,seed,episode,train_seed
4.0,0.8571428571428571,1.0,331,-6.857142857142858,saudi,mappo,42,0,42.0
9.0,0.7142857142857143,0.7373068432671082,102,-14.714285714285714,saudi,mappo,42,1,42.0
4.0,0.8571428571428571,1.0,293,-6.857142857142858,saudi,mappo,42,2,42.0
10.0,0.8571428571428571,0.7284768211920529,277,-12.857142857142858,saudi,mappo,42,3,42.0
0.0,1.0,0.7350993377483444,133,-0.1,saudi,mappo,42,4,42.0
8.0,0.7142857142857143,0.7328918322295805,442,-13.714285714285714,saudi,mappo,42,5,42.0
4.0,0.8571428571428571,1.0,267,-6.857142857142858,saudi,mappo,42,6,42.0
0.0,1.0,0.739514348785872,221,0.0,saudi,mappo,42,7,42.0
0.0,1.0,0.7350993377483444,146,-0.1,saudi,mappo,42,8,42.0
8.0,0.7142857142857143,0.7328918322295805,514,-13.714285714285714,saudi,mappo,42,9,42.0
4.0,0.8571428571428571,1.0,419,-6.857142857142858,saudi,mappo,42,10,42.0
4.0,0.8571428571428571,1.0,335,-6.857142857142858,saudi,mappo,42,11,42.0
13.0,0.5714285714285714,1.0,516,-21.571428571428573,saudi,mappo,42,12,42.0
13.0,0.5714285714285714,0.7571743929359823,541,-21.67142857142857,saudi,mappo,42,13,42.0
8.0,0.7142857142857143,0.7328918322295805,419,-13.714285714285714,saudi,mappo,42,14,42.0
8.0,0.7142857142857143,1.0,416,-13.714285714285714,saudi,mappo,1042,0,42.0
0.0,1.0,0.7218543046357616,94,0.0,saudi,mappo,1042,1,42.0
0.0,1.0,0.7350993377483444,152,-0.1,saudi,mappo,1042,2,42.0
4.0,0.8571428571428571,0.7350993377483444,300,-6.957142857142857,saudi,mappo,1042,3,42.0
9.0,0.7142857142857143,0.7373068432671082,120,-14.714285714285714,saudi,mappo,1042,4,42.0
8.0,0.7142857142857143,0.7373068432671082,430,-13.714285714285714,saudi,mappo,1042,5,42.0
0.0,1.0,1.0,259,0.0,saudi,mappo,1042,6,42.0
8.0,0.7142857142857143,0.7328918322295805,434,-13.714285714285714,saudi,mappo,1042,7,42.0
13.0,0.5714285714285714,1.0,438,-21.571428571428573,saudi,mappo,1042,8,42.0
8.0,0.7142857142857143,0.7461368653421634,442,-13.714285714285714,saudi,mappo,1042,9,42.0
0.0,1.0,1.0,240,0.0,saudi,mappo,1042,10,42.0
0.0,1.0,0.7218543046357616,96,0.0,saudi,mappo,1042,11,42.0
14.0,0.5714285714285714,1.0,402,-22.571428571428573,saudi,mappo,1042,12,42.0
8.0,0.7142857142857143,0.7328918322295805,405,-13.714285714285714,saudi,mappo,1042,13,42.0
8.0,0.7142857142857143,0.7328918322295805,488,-13.714285714285714,saudi,mappo,1042,14,42.0
13.0,0.5714285714285714,0.7328918322295805,369,-21.571428571428573,saudi,mappo,2042,0,42.0
0.0,1.0,0.7350993377483444,140,-0.1,saudi,mappo,2042,1,42.0
4.0,0.8571428571428571,1.0,305,-6.857142857142858,saudi,mappo,2042,2,42.0
4.0,0.8571428571428571,1.0,352,-6.857142857142858,saudi,mappo,2042,3,42.0
8.0,0.7142857142857143,0.7328918322295805,532,-13.714285714285714,saudi,mappo,2042,4,42.0
4.0,0.8571428571428571,1.0,330,-6.857142857142858,saudi,mappo,2042,5,42.0
4.0,0.8571428571428571,1.0,406,-6.857142857142858,saudi,mappo,2042,6,42.0
8.0,0.7142857142857143,0.7328918322295805,469,-13.714285714285714,saudi,mappo,2042,7,42.0
9.0,0.7142857142857143,0.7373068432671082,120,-14.714285714285714,saudi,mappo,2042,8,42.0
4.0,0.8571428571428571,1.0,389,-6.857142857142858,saudi,mappo,2042,9,42.0
