env_steps,episode,episode_return,WEL,ISR
150,1,-47.66666666666667,31.0,0.16666666666666666
298,2,-47.66666666666667,31.0,0.16666666666666666
439,3,-47.66666666666667,31.0,0.16666666666666666
585,4,-47.66666666666667,31.0,0.16666666666666666
735,5,-54.0,34.0,0.0
885,6,-54.0,34.0,0.0
1032,7,-54.0,34.0,0.0
1163,8,-38.333333333333336,25.0,0.3333333333333333
1313,9,-47.66666666666667,31.0,0.16666666666666666
1443,10,-54.0,34.0,0.0
1593,11,-38.333333333333336,25.0,0.3333333333333333
1743,12,-54.0,34.0,0.0
1893,13,-47.66666666666667,31.0,0.16666666666666666
2025,14,-47.66666666666667,31.0,0.16666666666666666
2175,15,-47.66666666666667,31.0,0.16666666666666666
2325,16,-47.66666666666667,31.0,0.16666666666666666
2440,17,-47.66666666666667,31.0,0.16666666666666666
2573,18,-40.76666666666667,24.0,0.16666666666666666
2717,19,-40.66666666666667,24.0,0.16666666666666666
2867,20,-34.333333333333336,21.0,0.3333333333333333
3017,21,-47.66666666666667,31.0,0.16666666666666666
3167,22,-47.66666666666667,31.0,0.16666666666666666
3317,23,-40.66666666666667,24.0,0.16666666666666666
3467,24,-54.0,34.0,0.0
3584,25,-47.66666666666667,31.0,0.16666666666666666
3734,26,-47.66666666666667,31.0,0.16666666666666666
3884,27,-47.66666666666667,31.0,0.16666666666666666
4034,28,-54.0,34.0,0.0
4181,29,-54.0,34.0,0.0
4331,30,-47.66666666666667,31.0,0.16666666666666666
4481,31,-40.66666666666667,24.0,0.16666666666666666
4631,32,-31.333333333333336,18.0,0.3333333333333333
4781,33,-34.333333333333336,21.0,0.3333333333333333
4931,34,-47.66666666666667,31.0,0.16666666666666666
5081,35,-40.66666666666667,24.0,0.16666666666666666
5231,36,-54.0,34.0,0.0
5381,37,-54.0,34.0,0.0
5531,38,-25.0,15.0,0.5
5576,39,0.0,0.0,1.0
5722,40,-47.66666666666667,31.0,0.16666666666666666
5872,41,-41.333333333333336,28.0,0.3333333333333333
6022,42,-34.333333333333336,21.0,0.3333333333333333
6172,43,-47.66666666666667,31.0,0.16666666666666666
6322,44,-34.333333333333336,21.0,0.3333333333333333
6472,45,-47.66666666666667,31.0,0.16666666666666666
6622,46,-47.66666666666667,31.0,0.16666666666666666
6758,47,-34.333333333333336,21.0,0.3333333333333333
6908,48,-47.66666666666667,31.0,0.16666666666666666
7058,49,-34.333333333333336,21.0,0.3333333333333333
7208,50,-34.333333333333336,21.0,0.3333333333333333
7358,51,-47.66666666666667,31.0,0.16666666666666666
7508,52,-47.66666666666667,31.0,0.16666666666666666
7657,53,-47.66666666666667,31.0,0.16666666666666666
7807,54,-47.66666666666667,31.0,0.16666666666666666
7957,55,-47.66666666666667,31.0,0.16666666666666666
8107,56,-47.66666666666667,31.0,0.16666666666666666
8257,57,-54.0,34.0,0.0
8388,58,-47.66666666666667,31.0,0.16666666666666666
8538,59,-47.66666666666667,31.0,0.16666666666666666
8688,60,-47.66666666666667,31.0,0.16666666666666666
8838,61,-54.0,34.0,0.0
8988,62,-47.66666666666667,31.0,0.16666666666666666
9138,63,-34.333333333333336,21.0,0.3333333333333333
9275,64,-47.66666666666667,31.0,0.16666666666666666
9425,65,-25.0,15.0,0.5
9575,66,-47.66666666666667,31.0,0.16666666666666666
9725,67,-34.333333333333336,21.0,0.3333333333333333
9875,68,-34.333333333333336,21.0,0.3333333333333333
10007,69,-54.0,34.0,0.0
10157,70,-38.333333333333336,25.0,0.3333333333333333
10307,71,-34.333333333333336,21.0,0.3333333333333333
10457,72,-47.66666666666667,31.0,0.16666666666666666
10607,73,-47.66666666666667,31.0,0.16666666666666666
10757,74,-54.0,34.0,0.0
10907,75,-34.333333333333336,21.0,0.3333333333333333
11051,76,-54.0,34.0,0.0
11201,77,-34.333333333333336,21.0,0.3333333333333333
11351,78,-40.66666666666667,24.0,0.16666666666666666
11501,79,-54.0,34.0,0.0
11651,80,-47.66666666666667,31.0,0.16666666666666666
11801,81,-34.333333333333336,21.0,0.3333333333333333
11951,82,-40.66666666666667,24.0,0.16666666666666666
12101,83,-34.333333333333336,21.0,0.3333333333333333
12251,84,-25.0,15.0,0.5
12401,85,-34.333333333333336,21.0,0.3333333333333333
12551,86,-47.66666666666667,31.0,0.16666666666666666
12701,87,-28.0,18.0,0.5
12851,88,-40.66666666666667,24.0,0.16666666666666666
12996,89,-47.66666666666667,31.0,0.16666666666666666
13146,90,-40.66666666666667,24.0,0.16666666666666666
13296,91,-31.333333333333336,18.0,0.3333333333333333
13446,92,-47.66666666666667,31.0,0.16666666666666666
13596,93,-54.0,34.0,0.0
13746,94,-47.66666666666667,31.0,0.16666666666666666
13896,95,-34.333333333333336,21.0,0.3333333333333333
14046,96,-34.333333333333336,21.0,0.3333333333333333
14196,97,-34.333333333333336,21.0,0.3333333333333333
14346,98,-40.76666666666667,24.0,0.16666666666666666
14496,99,-40.66666666666667,24.0,0.16666666666666666
14646,100,-34.333333333333336,21.0,0.3333333333333333
14796,101,-34.333333333333336,21.0,0.3333333333333333
14946,102,-47.66666666666667,31.0,0.16666666666666666
15096,103,-34.333333333333336,21.0,0.3333333333333333
15246,104,-34.333333333333336,21.0,0.3333333333333333
15396,105,-40.66666666666667,24.0,0.16666666666666666
15546,106,-47.66666666666667,31.0,0.16666666666666666
15696,107,-34.333333333333336,21.0,0.3333333333333333
15846,108,-34.333333333333336,21.0,0.3333333333333333
15996,109,-47.66666666666667,31.0,0.16666666666666666
16146,110,-47.66666666666667,31.0,0.16666666666666666
16294,111,-47.66666666666667,31.0,0.16666666666666666
16444,112,-34.333333333333336,21.0,0.3333333333333333
16594,113,-34.333333333333336,21.0,0.3333333333333333
16744,114,-54.0,34.0,0.0
16894,115,-25.0,15.0,0.5
17044,116,-34.333333333333336,21.0,0.3333333333333333
17191,117,-34.333333333333336,21.0,0.3333333333333333
17341,118,-34.333333333333336,21.0,0.3333333333333333
17491,119,-34.333333333333336,21.0,0.3333333333333333
17641,120,-38.333333333333336,25.0,0.3333333333333333
17791,121,-28.0,18.0,0.5
17941,122,-47.66666666666667,31.0,0.16666666666666666
18091,123,-40.66666666666667,24.0,0.16666666666666666
18241,124,-34.333333333333336,21.0,0.3333333333333333
18391,125,-25.0,15.0,0.5
18541,126,-40.66666666666667,24.0,0.16666666666666666
18691,127,-34.333333333333336,21.0,0.3333333333333333
18841,128,-47.66666666666667,31.0,0.16666666666666666
18991,129,-34.333333333333336,21.0,0.3333333333333333
19141,130,-34.333333333333336,21.0,0.3333333333333333
