env_steps,episode,episode_return,WEL,ISR
150,1,-34.42857142857143,23.0,0.42857142857142855
300,2,-34.42857142857143,23.0,0.42857142857142855
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-34.42857142857143,23.0,0.42857142857142855
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-34.42857142857143,23.0,0.42857142857142855
1350,9,-41.285714285714285,27.0,0.2857142857142857
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-41.285714285714285,27.0,0.2857142857142857
1800,12,-34.42857142857143,23.0,0.42857142857142855
1950,13,-41.285714285714285,27.0,0.2857142857142857
2100,14,-41.285714285714285,27.0,0.2857142857142857
2250,15,-34.42857142857143,23.0,0.42857142857142855
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-41.285714285714285,27.0,0.2857142857142857
2700,18,-41.285714285714285,27.0,0.2857142857142857
2850,19,-41.285714285714285,27.0,0.2857142857142857
3000,20,-41.285714285714285,27.0,0.2857142857142857
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-41.285714285714285,27.0,0.2857142857142857
3450,23,-41.285714285714285,27.0,0.2857142857142857
3600,24,-41.285714285714285,27.0,0.2857142857142857
3750,25,-41.285714285714285,27.0,0.2857142857142857
3900,26,-34.42857142857143,23.0,0.42857142857142855
4050,27,-41.28571428571429,27.0,0.2857142857142857
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-34.42857142857143,23.0,0.42857142857142855
4500,30,-34.42857142857143,23.0,0.42857142857142855
4650,31,-34.42857142857143,23.0,0.42857142857142855
4800,32,-34.42857142857143,23.0,0.42857142857142855
4950,33,-34.42857142857143,23.0,0.42857142857142855
5100,34,-34.42857142857143,23.0,0.42857142857142855
5250,35,-41.285714285714285,27.0,0.2857142857142857
5400,36,-41.285714285714285,27.0,0.2857142857142857
5550,37,-41.285714285714285,27.0,0.2857142857142857
5700,38,-41.285714285714285,27.0,0.2857142857142857
5850,39,-41.285714285714285,27.0,0.2857142857142857
6000,40,-34.42857142857143,23.0,0.42857142857142855
6150,41,-41.285714285714285,27.0,0.2857142857142857
6300,42,-41.285714285714285,27.0,0.2857142857142857
6450,43,-41.285714285714285,27.0,0.2857142857142857
6600,44,-41.285714285714285,27.0,0.2857142857142857
6750,45,-41.285714285714285,27.0,0.2857142857142857
6900,46,-41.285714285714285,27.0,0.2857142857142857
7050,47,-41.285714285714285,27.0,0.2857142857142857
7200,48,-34.42857142857143,23.0,0.42857142857142855
7350,49,-41.285714285714285,27.0,0.2857142857142857
7500,50,-41.285714285714285,27.0,0.2857142857142857
7650,51,-41.285714285714285,27.0,0.2857142857142857
7800,52,-41.285714285714285,27.0,0.2857142857142857
7950,53,-34.42857142857143,23.0,0.42857142857142855
8100,54,-41.285714285714285,27.0,0.2857142857142857
8250,55,-41.285714285714285,27.0,0.2857142857142857
8400,56,-41.285714285714285,27.0,0.2857142857142857
8550,57,-34.42857142857143,23.0,0.42857142857142855
8700,58,-41.38571428571428,27.0,0.2857142857142857
8850,59,-41.285714285714285,27.0,0.2857142857142857
9000,60,-41.285714285714285,27.0,0.2857142857142857
9150,61,-34.42857142857143,23.0,0.42857142857142855
9300,62,-41.285714285714285,27.0,0.2857142857142857
9450,63,-34.42857142857143,23.0,0.42857142857142855
9600,64,-41.285714285714285,27.0,0.2857142857142857
9750,65,-34.42857142857143,23.0,0.42857142857142855
9900,66,-34.42857142857143,23.0,0.42857142857142855
10050,67,-34.42857142857143,23.0,0.42857142857142855
10200,68,-34.42857142857143,23.0,0.42857142857142855
10350,69,-41.285714285714285,27.0,0.2857142857142857
10500,70,-41.285714285714285,27.0,0.2857142857142857
10650,71,-41.285714285714285,27.0,0.2857142857142857
10800,72,-41.285714285714285,27.0,0.2857142857142857
10950,73,-41.285714285714285,27.0,0.2857142857142857
11100,74,-41.285714285714285,27.0,0.2857142857142857
11250,75,-41.285714285714285,27.0,0.2857142857142857
11400,76,-41.285714285714285,27.0,0.2857142857142857
11550,77,-41.285714285714285,27.0,0.2857142857142857
11700,78,-41.285714285714285,27.0,0.2857142857142857
11850,79,-41.285714285714285,27.0,0.2857142857142857
12000,80,-41.285714285714285,27.0,0.2857142857142857
12150,81,-41.285714285714285,27.0,0.2857142857142857
12155,82,0.0,0.0,1.0
12305,83,-41.285714285714285,27.0,0.2857142857142857
12455,84,0.0,0.0,1.0
12605,85,-34.42857142857143,23.0,0.42857142857142855
12755,86,-41.285714285714285,27.0,0.2857142857142857
12905,87,-27.571428571428573,19.0,0.5714285714285714
13055,88,-41.285714285714285,27.0,0.2857142857142857
13205,89,-41.285714285714285,27.0,0.2857142857142857
13355,90,-34.42857142857143,23.0,0.42857142857142855
13505,91,-34.42857142857143,23.0,0.42857142857142855
13655,92,-41.285714285714285,27.0,0.2857142857142857
13805,93,-34.42857142857143,23.0,0.42857142857142855
13806,94,0.0,0.0,1.0
13956,95,-34.42857142857143,23.0,0.42857142857142855
14106,96,-41.285714285714285,27.0,0.2857142857142857
14256,97,-41.285714285714285,27.0,0.2857142857142857
14406,98,-41.285714285714285,27.0,0.2857142857142857
14556,99,-41.285714285714285,27.0,0.2857142857142857
14706,100,-41.285714285714285,27.0,0.2857142857142857
14856,101,-41.285714285714285,27.0,0.2857142857142857
15006,102,-41.285714285714285,27.0,0.2857142857142857
15156,103,-34.42857142857143,23.0,0.42857142857142855
15306,104,-34.42857142857143,23.0,0.42857142857142855
15456,105,-41.285714285714285,27.0,0.2857142857142857
15606,106,-41.285714285714285,27.0,0.2857142857142857
15756,107,-41.285714285714285,27.0,0.2857142857142857
15906,108,-41.285714285714285,27.0,0.2857142857142857
16056,109,-41.285714285714285,27.0,0.2857142857142857
16206,110,-34.42857142857143,23.0,0.42857142857142855
16356,111,-34.42857142857143,23.0,0.42857142857142855
16506,112,-34.42857142857143,23.0,0.42857142857142855
16656,113,-34.42857142857143,23.0,0.42857142857142855
16806,114,-28.42857142857143,17.0,0.42857142857142855
16807,115,0.0,0.0,1.0
16957,116,-41.285714285714285,27.0,0.2857142857142857
17107,117,-34.42857142857143,23.0,0.42857142857142855
17257,118,-34.42857142857143,23.0,0.42857142857142855
17407,119,-41.285714285714285,27.0,0.2857142857142857
17557,120,-35.42857142857143,24.0,0.42857142857142855
17707,121,-41.285714285714285,27.0,0.2857142857142857
17857,122,-41.285714285714285,27.0,0.2857142857142857
18007,123,-34.42857142857143,23.0,0.42857142857142855
18157,124,-34.42857142857143,23.0,0.42857142857142855
18307,125,-28.42857142857143,17.0,0.42857142857142855
18457,126,-41.285714285714285,27.0,0.2857142857142857
18607,127,-41.28571428571429,27.0,0.2857142857142857
18757,128,-41.285714285714285,27.0,0.2857142857142857
18907,129,-41.285714285714285,27.0,0.2857142857142857
19057,130,-41.28571428571429,27.0,0.2857142857142857
19207,131,-34.42857142857143,23.0,0.42857142857142855
19357,132,-34.42857142857143,23.0,0.42857142857142855
19507,133,-34.42857142857143,23.0,0.42857142857142855
19657,134,-34.42857142857143,23.0,0.42857142857142855
19807,135,-34.42857142857143,23.0,0.42857142857142855
19957,136,-34.42857142857143,23.0,0.42857142857142855
20107,137,-34.42857142857143,23.0,0.42857142857142855
20257,138,-34.42857142857143,23.0,0.42857142857142855
20407,139,-34.42857142857143,23.0,0.42857142857142855
20557,140,-41.285714285714285,27.0,0.2857142857142857
20707,141,-27.571428571428577,19.0,0.5714285714285714
20857,142,-28.42857142857143,17.0,0.42857142857142855
21007,143,-34.42857142857143,23.0,0.42857142857142855
21157,144,-34.42857142857143,23.0,0.42857142857142855
21307,145,-41.285714285714285,27.0,0.2857142857142857
21457,146,-34.42857142857143,23.0,0.42857142857142855
21607,147,-41.285714285714285,27.0,0.2857142857142857
21757,148,-34.42857142857143,23.0,0.42857142857142855
21907,149,-34.42857142857143,23.0,0.42857142857142855
22057,150,-41.285714285714285,27.0,0.2857142857142857
22207,151,-41.285714285714285,27.0,0.2857142857142857
22357,152,-34.42857142857143,23.0,0.42857142857142855
22507,153,-34.42857142857143,23.0,0.42857142857142855
22657,154,-19.714285714285715,14.0,0.7142857142857143
22807,155,-27.571428571428577,19.0,0.5714285714285714
22957,156,-34.42857142857143,23.0,0.42857142857142855
23107,157,-21.571428571428573,13.0,0.5714285714285714
23257,158,-34.42857142857143,23.0,0.42857142857142855
23407,159,-27.571428571428573,19.0,0.5714285714285714
23557,160,-26.571428571428573,18.0,0.5714285714285714
23707,161,-34.42857142857143,23.0,0.42857142857142855
23857,162,-34.42857142857143,23.0,0.42857142857142855
24007,163,-34.42857142857143,23.0,0.42857142857142855
24157,164,-41.285714285714285,27.0,0.2857142857142857
24307,165,-13.714285714285714,8.0,0.7142857142857143
24457,166,-34.42857142857143,23.0,0.42857142857142855
24607,167,-41.285714285714285,27.0,0.2857142857142857
24757,168,-28.42857142857143,17.0,0.42857142857142855
24907,169,-34.42857142857143,23.0,0.42857142857142855
25057,170,-34.42857142857143,23.0,0.42857142857142855
25207,171,-19.714285714285715,14.0,0.7142857142857143
25357,172,-34.42857142857143,23.0,0.42857142857142855
25507,173,-27.571428571428577,19.0,0.5714285714285714
25508,174,0.0,0.0,1.0
25658,175,-41.285714285714285,27.0,0.2857142857142857
25808,176,-6.857142857142858,4.0,0.8571428571428571
25958,177,-41.285714285714285,27.0,0.2857142857142857
26108,178,-34.42857142857143,23.0,0.42857142857142855
26258,179,-41.285714285714285,27.0,0.2857142857142857
26408,180,-34.42857142857143,23.0,0.42857142857142855
26558,181,-41.285714285714285,27.0,0.2857142857142857
26708,182,-34.42857142857143,23.0,0.42857142857142855
26713,183,0.0,0.0,1.0
26863,184,-41.285714285714285,27.0,0.2857142857142857
27013,185,-27.571428571428577,19.0,0.5714285714285714
27163,186,-41.385714285714286,27.0,0.2857142857142857
27313,187,-26.571428571428573,18.0,0.5714285714285714
27463,188,-35.42857142857143,24.0,0.42857142857142855
27613,189,-28.42857142857143,17.0,0.42857142857142855
27763,190,-41.285714285714285,27.0,0.2857142857142857
27913,191,-34.52857142857143,23.0,0.42857142857142855
28063,192,-34.42857142857143,23.0,0.42857142857142855
28213,193,-34.42857142857143,23.0,0.42857142857142855
28363,194,-14.714285714285714,9.0,0.7142857142857143
28513,195,-26.571428571428577,18.0,0.5714285714285714
28514,196,0.0,0.0,1.0
28664,197,-28.42857142857143,17.0,0.42857142857142855
28814,198,-26.571428571428577,18.0,0.5714285714285714
28964,199,-13.714285714285714,8.0,0.7142857142857143
