env_steps,episode,episode_return,WEL,ISR
150,1,-10.750000000000005,0.0,1.0
300,2,-33.12142857142852,13.0,0.5714285714285714
450,3,-34.72142857142852,13.0,0.5714285714285714
600,4,-34.821428571428505,13.0,0.5714285714285714
750,5,-27.50714285714289,10.0,0.8571428571428571
900,6,-32.77142857142854,13.0,0.5714285714285714
1050,7,-37.36428571428567,14.0,0.7142857142857143
1200,8,-14.400000000000011,0.0,1.0
1350,9,-35.57142857142848,13.0,0.5714285714285714
1500,10,-40.971428571428575,13.0,0.5714285714285714
1650,11,-26.907142857142876,10.0,0.8571428571428571
1800,12,-32.371428571428545,13.0,0.5714285714285714
1950,13,-15.10714285714285,4.0,0.8571428571428571
2045,14,-28.47142857142858,13.0,0.5714285714285714
2195,15,-42.37142857142851,17.0,0.5714285714285714
2345,16,-22.50714285714288,4.0,0.8571428571428571
2495,17,-27.064285714285752,9.0,0.7142857142857143
2645,18,-40.02142857142856,17.0,0.5714285714285714
2795,19,-39.81428571428571,10.0,0.7142857142857143
2945,20,-14.907142857142876,4.0,0.8571428571428571
3095,21,-38.51428571428571,14.0,0.7142857142857143
3245,22,-33.47142857142855,13.0,0.5714285714285714
3395,23,-20.014285714285748,9.0,0.7142857142857143
3545,24,-40.771428571428515,13.0,0.5714285714285714
3695,25,-51.52142857142852,18.0,0.5714285714285714
3845,26,-38.82142857142853,19.0,0.5714285714285714
3995,27,-45.228571428571435,17.0,0.42857142857142855
4145,28,-16.607142857142883,3.0,0.8571428571428571
4295,29,-26.214285714285733,9.0,0.7142857142857143
4445,30,-29.90714285714287,10.0,0.8571428571428571
4560,31,-6.55,0.0,1.0
4710,32,-21.35714285714287,4.0,0.8571428571428571
4860,33,-15.50714285714287,3.0,0.8571428571428571
4866,34,0.05,0.0,1.0
5016,35,-22.30714285714288,4.0,0.8571428571428571
5166,36,-32.814285714285674,14.0,0.7142857142857143
5316,37,-33.12142857142858,13.0,0.5714285714285714
5466,38,-15.657142857142873,4.0,0.8571428571428571
5614,39,-6.699999999999998,0.0,1.0
5764,40,-24.414285714285725,8.0,0.7142857142857143
5914,41,-20.80714285714288,10.0,0.8571428571428571
6064,42,-33.914285714285704,13.0,0.7142857142857143
6214,43,-37.37142857142856,11.0,0.5714285714285714
6364,44,-21.70714285714288,10.0,0.8571428571428571
6514,45,-14.600000000000007,0.0,1.0
6664,46,-22.114285714285753,9.0,0.7142857142857143
6814,47,-64.23571428571431,27.0,0.2857142857142857
6964,48,-23.407142857142883,10.0,0.8571428571428571
7114,49,-28.014285714285723,7.0,0.7142857142857143
7264,50,-22.864285714285753,9.0,0.7142857142857143
7414,51,-43.17857142857137,17.0,0.42857142857142855
