env_steps,episode,episode_return,WEL,ISR
137,1,-38.333333333333336,25.0,0.3333333333333333
281,2,-54.0,34.0,0.0
389,3,-41.333333333333336,28.0,0.3333333333333333
539,4,-47.66666666666667,31.0,0.16666666666666666
689,5,-47.66666666666667,31.0,0.16666666666666666
839,6,-41.333333333333336,28.0,0.3333333333333333
989,7,-47.66666666666667,31.0,0.16666666666666666
1139,8,-54.0,34.0,0.0
1281,9,-38.333333333333336,25.0,0.3333333333333333
1431,10,-47.66666666666667,31.0,0.16666666666666666
1581,11,-38.333333333333336,25.0,0.3333333333333333
1731,12,-47.66666666666667,31.0,0.16666666666666666
1881,13,-32.0,22.0,0.5
2031,14,-28.0,18.0,0.5
2181,15,-44.66666666666667,28.0,0.16666666666666666
2331,16,-47.66666666666667,31.0,0.16666666666666666
2474,17,-44.66666666666667,28.0,0.16666666666666666
2616,18,-41.333333333333336,28.0,0.3333333333333333
2766,19,-44.66666666666667,28.0,0.16666666666666666
2916,20,-44.66666666666667,28.0,0.16666666666666666
3066,21,-54.0,34.0,0.0
3216,22,-54.0,34.0,0.0
3366,23,-38.333333333333336,25.0,0.3333333333333333
3516,24,-38.333333333333336,25.0,0.3333333333333333
3666,25,-47.66666666666667,31.0,0.16666666666666666
3816,26,-38.333333333333336,25.0,0.3333333333333333
3966,27,-47.66666666666667,31.0,0.16666666666666666
4108,28,-47.66666666666667,31.0,0.16666666666666666
4258,29,-47.66666666666667,31.0,0.16666666666666666
4387,30,-47.66666666666667,31.0,0.16666666666666666
4537,31,-44.66666666666667,28.0,0.16666666666666666
4687,32,-54.0,34.0,0.0
4837,33,-54.0,34.0,0.0
4987,34,-44.66666666666667,28.0,0.16666666666666666
5137,35,-38.333333333333336,25.0,0.3333333333333333
5287,36,-47.66666666666667,31.0,0.16666666666666666
5437,37,-54.0,34.0,0.0
5587,38,-38.333333333333336,25.0,0.3333333333333333
5737,39,-47.66666666666667,31.0,0.16666666666666666
5887,40,-54.0,34.0,0.0
6037,41,-38.333333333333336,25.0,0.3333333333333333
6187,42,-47.66666666666667,31.0,0.16666666666666666
6299,43,-47.66666666666667,31.0,0.16666666666666666
6442,44,-47.66666666666667,31.0,0.16666666666666666
6592,45,-54.0,34.0,0.0
6742,46,-38.333333333333336,25.0,0.3333333333333333
6890,47,-47.66666666666667,31.0,0.16666666666666666
7040,48,-47.66666666666667,31.0,0.16666666666666666
7190,49,-38.333333333333336,25.0,0.3333333333333333
7336,50,-54.0,34.0,0.0
7484,51,-47.66666666666667,31.0,0.16666666666666666
7630,52,-38.333333333333336,25.0,0.3333333333333333
7780,53,-18.666666666666668,12.0,0.6666666666666666
7930,54,-47.66666666666667,31.0,0.16666666666666666
8080,55,-47.66666666666667,31.0,0.16666666666666666
8230,56,-47.66666666666667,31.0,0.16666666666666666
8380,57,-44.66666666666667,28.0,0.16666666666666666
8530,58,-44.66666666666667,28.0,0.16666666666666666
8679,59,-41.333333333333336,28.0,0.3333333333333333
8815,60,-47.66666666666667,31.0,0.16666666666666666
8965,61,-47.66666666666667,31.0,0.16666666666666666
9115,62,-41.333333333333336,28.0,0.3333333333333333
9265,63,-18.666666666666668,12.0,0.6666666666666666
9415,64,-54.0,34.0,0.0
9565,65,-34.333333333333336,21.0,0.3333333333333333
9715,66,-54.0,34.0,0.0
9865,67,-54.0,34.0,0.0
10015,68,-47.66666666666667,31.0,0.16666666666666666
10165,69,-41.333333333333336,28.0,0.3333333333333333
10300,70,-47.66666666666667,31.0,0.16666666666666666
10443,71,-40.66666666666667,24.0,0.16666666666666666
10593,72,-47.66666666666667,31.0,0.16666666666666666
10743,73,-41.333333333333336,28.0,0.3333333333333333
10893,74,-41.333333333333336,28.0,0.3333333333333333
11027,75,-47.66666666666667,31.0,0.16666666666666666
11177,76,-47.66666666666667,31.0,0.16666666666666666
11327,77,-41.333333333333336,28.0,0.3333333333333333
11477,78,-38.333333333333336,25.0,0.3333333333333333
11617,79,-47.66666666666667,31.0,0.16666666666666666
11761,80,-47.66666666666667,31.0,0.16666666666666666
11911,81,-47.66666666666667,31.0,0.16666666666666666
12047,82,-47.66666666666667,31.0,0.16666666666666666
12197,83,-47.66666666666667,31.0,0.16666666666666666
12347,84,-47.66666666666667,31.0,0.16666666666666666
12497,85,-38.333333333333336,25.0,0.3333333333333333
12647,86,-28.0,18.0,0.5
12770,87,-54.0,34.0,0.0
12920,88,-47.66666666666667,31.0,0.16666666666666666
13070,89,-54.0,34.0,0.0
13220,90,-41.333333333333336,28.0,0.3333333333333333
13370,91,-47.66666666666667,31.0,0.16666666666666666
13520,92,-54.0,34.0,0.0
13670,93,-34.333333333333336,21.0,0.3333333333333333
13820,94,-47.66666666666667,31.0,0.16666666666666666
13970,95,-38.333333333333336,25.0,0.3333333333333333
14120,96,-54.0,34.0,0.0
14270,97,-54.0,34.0,0.0
14410,98,-54.0,34.0,0.0
14560,99,-40.66666666666667,24.0,0.16666666666666666
14710,100,-40.66666666666667,24.0,0.16666666666666666
14860,101,-47.66666666666667,31.0,0.16666666666666666
15010,102,-34.333333333333336,21.0,0.3333333333333333
15160,103,-54.0,34.0,0.0
15300,104,-47.66666666666667,31.0,0.16666666666666666
15450,105,-47.66666666666667,31.0,0.16666666666666666
15600,106,-47.66666666666667,31.0,0.16666666666666666
15745,107,-47.66666666666667,31.0,0.16666666666666666
15895,108,-47.66666666666667,31.0,0.16666666666666666
16013,109,-38.333333333333336,25.0,0.3333333333333333
16163,110,-47.66666666666667,31.0,0.16666666666666666
16313,111,-34.333333333333336,21.0,0.3333333333333333
16463,112,-34.333333333333336,21.0,0.3333333333333333
16613,113,-18.666666666666668,12.0,0.6666666666666666
16763,114,-47.66666666666667,31.0,0.16666666666666666
16913,115,-47.66666666666667,31.0,0.16666666666666666
17061,116,-38.333333333333336,25.0,0.3333333333333333
17211,117,-47.66666666666667,31.0,0.16666666666666666
17342,118,-47.66666666666667,31.0,0.16666666666666666
17492,119,-44.66666666666667,28.0,0.16666666666666666
17642,120,-38.333333333333336,25.0,0.3333333333333333
17792,121,-34.333333333333336,21.0,0.3333333333333333
17942,122,-47.66666666666667,31.0,0.16666666666666666
18089,123,-38.333333333333336,25.0,0.3333333333333333
18239,124,-47.66666666666667,31.0,0.16666666666666666
18389,125,-34.333333333333336,21.0,0.3333333333333333
