WEL,ISR,CE,burned,return,region,policy,seed,episode
18.0,0.5714285714285714,1.0,367,-26.571428571428577,saudi,mappo,42,0
23.0,0.42857142857142855,1.0,292,-34.42857142857143,saudi,mappo,42,1
21.0,0.42857142857142855,1.0,341,-32.42857142857143,saudi,mappo,42,2
18.0,0.5714285714285714,1.0,383,-26.571428571428577,saudi,mappo,42,3
8.0,0.7142857142857143,1.0,326,-13.714285714285714,saudi,mappo,42,4
0.0,1.0,0.9801324503311258,403,0.0,saudi,mappo,42,5
0.0,1.0,0.7306843267108167,232,0.0,saudi,mappo,42,6
4.0,0.8571428571428571,1.0,313,-6.857142857142858,saudi,mappo,42,7
4.0,0.8571428571428571,1.0,326,-6.857142857142858,saudi,mappo,42,8
4.0,0.8571428571428571,1.0,388,-6.857142857142858,saudi,mappo,42,9
18.0,0.5714285714285714,1.0,435,-26.571428571428577,saudi,mappo,42,10
18.0,0.5714285714285714,1.0,369,-26.571428571428577,saudi,mappo,42,11
14.0,0.7142857142857143,1.0,493,-19.714285714285715,saudi,mappo,42,12
4.0,0.8571428571428571,0.7858719646799117,556,-6.857142857142858,saudi,mappo,42,13
0.0,1.0,0.9006622516556292,341,0.0,saudi,mappo,42,14
18.0,0.5714285714285714,1.0,443,-26.571428571428577,saudi,mappo,1042,0
21.0,0.42857142857142855,0.9801324503311258,368,-32.42857142857143,saudi,mappo,1042,1
4.0,0.8571428571428571,1.0,339,-6.857142857142858,saudi,mappo,1042,2
4.0,0.8571428571428571,1.0,424,-6.857142857142858,saudi,mappo,1042,3
13.0,0.5714285714285714,1.0,322,-21.571428571428573,saudi,mappo,1042,4
0.0,1.0,1.0,117,0.0,saudi,mappo,1042,5
18.0,0.5714285714285714,1.0,354,-26.571428571428577,saudi,mappo,1042,6
0.0,1.0,0.9977924944812362,401,0.0,saudi,mappo,1042,7
14.0,0.7142857142857143,0.9823399558498896,431,-19.714285714285715,saudi,mappo,1042,8
0.0,1.0,1.0,130,0.0,saudi,mappo,1042,9
