env_steps,episode,episode_return,WEL,ISR
134,1,-54.0,34.0,0.0
284,2,-44.66666666666667,28.0,0.16666666666666666
434,3,-32.0,22.0,0.5
582,4,-47.66666666666667,31.0,0.16666666666666666
731,5,-38.333333333333336,25.0,0.3333333333333333
881,6,-38.333333333333336,25.0,0.3333333333333333
1025,7,-41.333333333333336,28.0,0.3333333333333333
1175,8,-47.66666666666667,31.0,0.16666666666666666
1325,9,-47.66666666666667,31.0,0.16666666666666666
1475,10,-32.0,22.0,0.5
1621,11,-47.66666666666667,31.0,0.16666666666666666
1763,12,-47.66666666666667,31.0,0.16666666666666666
1913,13,-38.333333333333336,25.0,0.3333333333333333
2063,14,-41.333333333333336,28.0,0.3333333333333333
2213,15,-47.66666666666667,31.0,0.16666666666666666
2363,16,-54.0,34.0,0.0
2513,17,-47.66666666666667,31.0,0.16666666666666666
2663,18,-32.0,22.0,0.5
2813,19,-54.0,34.0,0.0
2963,20,-47.66666666666667,31.0,0.16666666666666666
3112,21,-54.0,34.0,0.0
3262,22,-41.333333333333336,28.0,0.3333333333333333
3412,23,-44.66666666666667,28.0,0.16666666666666666
3550,24,-54.0,34.0,0.0
3700,25,-28.0,18.0,0.5
3850,26,-47.66666666666667,31.0,0.16666666666666666
3996,27,-54.0,34.0,0.0
4142,28,-47.66666666666667,31.0,0.16666666666666666
4292,29,-54.0,34.0,0.0
4427,30,-47.66666666666667,31.0,0.16666666666666666
4577,31,-54.0,34.0,0.0
4727,32,-47.66666666666667,31.0,0.16666666666666666
4877,33,-47.66666666666667,31.0,0.16666666666666666
5027,34,-47.66666666666667,31.0,0.16666666666666666
5177,35,-28.0,18.0,0.5
5327,36,-54.0,34.0,0.0
5477,37,-54.0,34.0,0.0
5627,38,-40.66666666666667,24.0,0.16666666666666666
5777,39,-54.0,34.0,0.0
5927,40,-54.0,34.0,0.0
6077,41,-34.333333333333336,21.0,0.3333333333333333
6227,42,-47.66666666666667,31.0,0.16666666666666666
6377,43,-47.66666666666667,31.0,0.16666666666666666
6525,44,-47.66666666666667,31.0,0.16666666666666666
6675,45,-54.0,34.0,0.0
6824,46,-31.333333333333336,18.0,0.3333333333333333
6974,47,-34.333333333333336,21.0,0.3333333333333333
7119,48,-47.66666666666667,31.0,0.16666666666666666
7269,49,-34.333333333333336,21.0,0.3333333333333333
7413,50,-54.0,34.0,0.0
7563,51,-41.333333333333336,28.0,0.3333333333333333
7713,52,-47.66666666666667,31.0,0.16666666666666666
7863,53,-38.333333333333336,25.0,0.3333333333333333
8013,54,-54.0,34.0,0.0
8163,55,-47.66666666666667,31.0,0.16666666666666666
8313,56,-44.66666666666667,28.0,0.16666666666666666
8463,57,-54.0,34.0,0.0
8613,58,-47.66666666666667,31.0,0.16666666666666666
8763,59,-34.333333333333336,21.0,0.3333333333333333
8913,60,-41.333333333333336,28.0,0.3333333333333333
9063,61,-47.66666666666667,31.0,0.16666666666666666
9213,62,-34.333333333333336,21.0,0.3333333333333333
9363,63,-54.0,34.0,0.0
9513,64,-54.0,34.0,0.0
9663,65,-54.0,34.0,0.0
9813,66,-47.66666666666667,31.0,0.16666666666666666
9963,67,-54.0,34.0,0.0
10113,68,-47.66666666666667,31.0,0.16666666666666666
10263,69,-54.0,34.0,0.0
10413,70,-47.66666666666667,31.0,0.16666666666666666
10563,71,-34.333333333333336,21.0,0.3333333333333333
10713,72,-41.333333333333336,28.0,0.3333333333333333
10863,73,-47.66666666666667,31.0,0.16666666666666666
11013,74,-41.333333333333336,28.0,0.3333333333333333
11163,75,-34.333333333333336,21.0,0.3333333333333333
11313,76,-34.333333333333336,21.0,0.3333333333333333
11448,77,-54.0,34.0,0.0
11598,78,-34.333333333333336,21.0,0.3333333333333333
11748,79,-25.0,15.0,0.5
11892,80,-38.333333333333336,25.0,0.3333333333333333
12042,81,-44.66666666666667,28.0,0.16666666666666666
12192,82,-38.333333333333336,25.0,0.3333333333333333
12342,83,-28.0,18.0,0.5
12492,84,-38.333333333333336,25.0,0.3333333333333333
12642,85,-41.333333333333336,28.0,0.3333333333333333
12792,86,-40.66666666666667,24.0,0.16666666666666666
12942,87,-40.66666666666667,24.0,0.16666666666666666
13056,88,-40.66666666666667,24.0,0.16666666666666666
13206,89,-34.333333333333336,21.0,0.3333333333333333
13356,90,-34.333333333333336,21.0,0.3333333333333333
13506,91,-34.333333333333336,21.0,0.3333333333333333
