env_steps,episode,episode_return,WEL,ISR
150,1,-34.42857142857143,23.0,0.42857142857142855
300,2,-41.385714285714286,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-34.42857142857143,23.0,0.42857142857142855
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-34.42857142857143,23.0,0.42857142857142855
1350,9,-34.42857142857143,23.0,0.42857142857142855
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-34.42857142857143,23.0,0.42857142857142855
1800,12,-34.42857142857143,23.0,0.42857142857142855
1950,13,-41.285714285714285,27.0,0.2857142857142857
2100,14,-34.42857142857143,23.0,0.42857142857142855
2250,15,-34.42857142857143,23.0,0.42857142857142855
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-34.42857142857143,23.0,0.42857142857142855
2700,18,-41.285714285714285,27.0,0.2857142857142857
2850,19,-34.42857142857143,23.0,0.42857142857142855
3000,20,-34.42857142857143,23.0,0.42857142857142855
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-34.42857142857143,23.0,0.42857142857142855
3450,23,-34.528571428571425,23.0,0.42857142857142855
3600,24,-41.28571428571429,27.0,0.2857142857142857
3750,25,-34.42857142857143,23.0,0.42857142857142855
3900,26,-41.285714285714285,27.0,0.2857142857142857
4050,27,-34.42857142857143,23.0,0.42857142857142855
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-34.42857142857143,23.0,0.42857142857142855
4500,30,-34.42857142857143,23.0,0.42857142857142855
4650,31,-34.42857142857143,23.0,0.42857142857142855
4800,32,-34.42857142857143,23.0,0.42857142857142855
4950,33,-41.285714285714285,27.0,0.2857142857142857
5100,34,-41.285714285714285,27.0,0.2857142857142857
5250,35,-41.285714285714285,27.0,0.2857142857142857
5400,36,-41.285714285714285,27.0,0.2857142857142857
5550,37,-41.285714285714285,27.0,0.2857142857142857
5700,38,-41.285714285714285,27.0,0.2857142857142857
5850,39,-34.42857142857143,23.0,0.42857142857142855
6000,40,-41.285714285714285,27.0,0.2857142857142857
6150,41,-34.42857142857143,23.0,0.42857142857142855
6300,42,-41.285714285714285,27.0,0.2857142857142857
6450,43,-27.571428571428573,19.0,0.5714285714285714
6600,44,-32.42857142857143,21.0,0.42857142857142855
6750,45,-34.42857142857143,23.0,0.42857142857142855
6900,46,-41.28571428571429,27.0,0.2857142857142857
7050,47,-41.285714285714285,27.0,0.2857142857142857
7200,48,-41.285714285714285,27.0,0.2857142857142857
7350,49,0.0,0.0,1.0
7500,50,-41.285714285714285,27.0,0.2857142857142857
7650,51,-41.285714285714285,27.0,0.2857142857142857
7800,52,-41.285714285714285,27.0,0.2857142857142857
7950,53,-34.42857142857143,23.0,0.42857142857142855
8100,54,-41.285714285714285,27.0,0.2857142857142857
8250,55,-34.42857142857143,23.0,0.42857142857142855
8400,56,-34.42857142857143,23.0,0.42857142857142855
8550,57,-41.285714285714285,27.0,0.2857142857142857
8700,58,-41.285714285714285,27.0,0.2857142857142857
8850,59,-34.42857142857143,23.0,0.42857142857142855
9000,60,-41.285714285714285,27.0,0.2857142857142857
9150,61,-41.285714285714285,27.0,0.2857142857142857
9300,62,-41.285714285714285,27.0,0.2857142857142857
9450,63,-34.42857142857143,23.0,0.42857142857142855
9600,64,-34.42857142857143,23.0,0.42857142857142855
9750,65,-34.42857142857143,23.0,0.42857142857142855
9900,66,-34.42857142857143,23.0,0.42857142857142855
10050,67,-41.285714285714285,27.0,0.2857142857142857
10200,68,-41.285714285714285,27.0,0.2857142857142857
10350,69,-41.285714285714285,27.0,0.2857142857142857
10500,70,-41.285714285714285,27.0,0.2857142857142857
10650,71,-41.285714285714285,27.0,0.2857142857142857
10800,72,-41.285714285714285,27.0,0.2857142857142857
10950,73,-41.285714285714285,27.0,0.2857142857142857
11100,74,-34.42857142857143,23.0,0.42857142857142855
11250,75,-41.285714285714285,27.0,0.2857142857142857
11400,76,0.0,0.0,1.0
11550,77,-34.42857142857143,23.0,0.42857142857142855
11700,78,-34.42857142857143,23.0,0.42857142857142855
11850,79,-34.42857142857143,23.0,0.42857142857142855
12000,80,-41.285714285714285,27.0,0.2857142857142857
12150,81,-34.42857142857143,23.0,0.42857142857142855
12300,82,-34.42857142857143,23.0,0.42857142857142855
12450,83,-41.285714285714285,27.0,0.2857142857142857
12600,84,-34.42857142857143,23.0,0.42857142857142855
