env_steps,episode,episode_return,WEL,ISR
150,1,-59.733333333333306,18.0,0.3333333333333333
281,2,-79.96666666666667,28.0,0.16666666666666666
425,3,-59.40000000000002,19.0,0.5
575,4,-13.499999999999995,0.0,1.0
725,5,-47.36666666666667,13.0,0.6666666666666666
875,6,-22.983333333333352,6.0,0.8333333333333334
1025,7,-24.483333333333324,3.0,0.8333333333333334
1175,8,-48.199999999999996,12.0,0.5
1325,9,-43.35,12.0,0.5
1475,10,-9.199999999999994,0.0,1.0
1625,11,-35.11666666666666,12.0,0.6666666666666666
1671,12,-13.23333333333333,6.0,0.8333333333333334
1821,13,-69.43333333333332,25.0,0.3333333333333333
1971,14,-59.949999999999974,19.0,0.5
2121,15,-58.550000000000026,19.0,0.5
2271,16,-40.950000000000024,15.0,0.5
2339,17,-1.7500000000000007,0.0,1.0
2368,18,0.05,0.0,1.0
2518,19,-47.36666666666667,13.0,0.6666666666666666
2668,20,-22.333333333333357,6.0,0.8333333333333334
2744,21,-5.399999999999997,0.0,1.0
2834,22,-1.3000000000000003,0.0,1.0
2980,23,-11.250000000000004,0.0,1.0
3130,24,-34.30000000000001,12.0,0.5
3280,25,-13.549999999999994,0.0,1.0
3430,26,-62.199999999999974,19.0,0.5
3580,27,-12.65000000000001,0.0,1.0
3658,28,-5.4,0.0,1.0
3808,29,-51.5,12.0,0.5
3898,30,-22.31666666666668,9.0,0.6666666666666666
4048,31,-40.216666666666676,9.0,0.6666666666666666
4198,32,-50.000000000000014,12.0,0.5
4263,33,-14.533333333333333,6.0,0.8333333333333334
4413,34,-64.83333333333331,22.0,0.3333333333333333
4563,35,-44.749999999999986,12.0,0.5
4713,36,-8.733333333333334,3.0,0.8333333333333334
4863,37,-37.33333333333334,10.0,0.8333333333333334
5013,38,-56.49999999999997,19.0,0.5
5163,39,-8.049999999999995,0.0,1.0
5313,40,-61.43333333333333,18.0,0.3333333333333333
5463,41,-34.766666666666666,9.0,0.6666666666666666
5522,42,-0.2,0.0,1.0
5672,43,-51.2,12.0,0.5
5822,44,-33.58333333333331,6.0,0.8333333333333334
5972,45,-25.61666666666668,9.0,0.6666666666666666
6122,46,-33.61666666666665,12.0,0.6666666666666666
6272,47,-43.216666666666654,9.0,0.6666666666666666
6422,48,-53.549999999999976,12.0,0.5
6572,49,-8.599999999999998,0.0,1.0
6722,50,-71.5333333333333,22.0,0.3333333333333333
6872,51,-78.86666666666659,28.0,0.16666666666666666
7022,52,-30.08333333333334,10.0,0.8333333333333334
7172,53,-52.250000000000014,12.0,0.5
7322,54,-46.1,15.0,0.5
7393,55,-1.5500000000000012,0.0,1.0
7543,56,-53.533333333333324,18.0,0.3333333333333333
7693,57,-32.916666666666664,12.0,0.6666666666666666
7793,58,-3.7999999999999994,0.0,1.0
7943,59,-41.49999999999999,12.0,0.5
8093,60,-21.833333333333343,6.0,0.8333333333333334
8147,61,-12.783333333333333,6.0,0.8333333333333334
8199,62,-0.04999999999999999,0.0,1.0
8279,63,-2.9499999999999993,0.0,1.0
8425,64,-47.9,12.0,0.5
8555,65,-3.8499999999999996,0.0,1.0
8665,66,-7.399999999999998,0.0,1.0
8815,67,-79.01666666666665,28.0,0.16666666666666666
8965,68,-47.15,15.0,0.5
9115,69,-66.44999999999996,22.0,0.5
9265,70,-56.59999999999998,15.0,0.5
9415,71,-37.666666666666664,9.0,0.6666666666666666
9565,72,-78.06666666666663,28.0,0.16666666666666666
9715,73,-49.05000000000001,12.0,0.5
9865,74,-24.983333333333317,3.0,0.8333333333333334
10015,75,-49.866666666666646,16.0,0.6666666666666666
10060,76,-3.1500000000000012,0.0,1.0
10210,77,-28.616666666666667,6.0,0.6666666666666666
10360,78,-32.083333333333336,3.0,0.8333333333333334
10510,79,-41.383333333333326,10.0,0.8333333333333334
10660,80,-54.54999999999998,12.0,0.5
10810,81,-31.733333333333338,3.0,0.8333333333333334
10960,82,-51.15,12.0,0.5
11110,83,-41.35,15.0,0.5
11167,84,-14.883333333333338,6.0,0.8333333333333334
11317,85,-24.38333333333334,3.0,0.8333333333333334
11370,86,-1.6000000000000003,0.0,1.0
11420,87,-13.133333333333331,6.0,0.8333333333333334
11553,88,-48.41666666666665,9.0,0.6666666666666666
11703,89,-64.06666666666668,24.0,0.16666666666666666
11853,90,-39.95000000000001,12.0,0.5
12003,91,-52.716666666666654,16.0,0.6666666666666666
