env_steps,episode,episode_return,WEL,ISR
108,1,-37.37142857142853,17.0,0.5714285714285714
258,2,-50.12142857142856,13.0,0.5714285714285714
408,3,-44.421428571428535,17.0,0.5714285714285714
558,4,-46.37142857142855,17.0,0.5714285714285714
708,5,-47.07857142857138,17.0,0.42857142857142855
824,6,-9.300000000000002,0.0,1.0
957,7,-9.300000000000011,0.0,1.0
1107,8,-31.01428571428571,14.0,0.7142857142857143
1257,9,-20.35714285714288,3.0,0.8571428571428571
1407,10,-28.114285714285746,13.0,0.7142857142857143
1510,11,-14.95714285714286,4.0,0.8571428571428571
1660,12,-37.771428571428466,13.0,0.5714285714285714
1810,13,-28.96428571428573,8.0,0.7142857142857143
1960,14,-39.4714285714285,17.0,0.5714285714285714
2110,15,-21.257142857142888,4.0,0.8571428571428571
2260,16,-30.36428571428574,8.0,0.7142857142857143
2410,17,-9.399999999999995,0.0,1.0
2560,18,-39.62857142857142,17.0,0.42857142857142855
2710,19,-15.857142857142861,4.0,0.8571428571428571
2860,20,-32.31428571428571,8.0,0.7142857142857143
3010,21,-23.007142857142906,4.0,0.8571428571428571
3160,22,-35.17142857142854,13.0,0.5714285714285714
3310,23,-21.407142857142905,10.0,0.8571428571428571
3403,24,-16.307142857142857,4.0,0.8571428571428571
3526,25,-29.264285714285716,13.0,0.7142857142857143
3676,26,-32.364285714285735,14.0,0.7142857142857143
3826,27,-32.4642857142857,14.0,0.7142857142857143
3976,28,-16.507142857142863,4.0,0.8571428571428571
4126,29,-30.114285714285735,14.0,0.7142857142857143
4276,30,-34.07142857142855,13.0,0.5714285714285714
4426,31,-29.164285714285747,13.0,0.7142857142857143
4576,32,-59.185714285714226,27.0,0.2857142857142857
4679,33,-27.11428571428573,8.0,0.7142857142857143
4766,34,-24.11428571428572,8.0,0.7142857142857143
4916,35,-41.82857142857141,17.0,0.42857142857142855
5066,36,-40.771428571428515,17.0,0.5714285714285714
5208,37,-24.51428571428573,8.0,0.7142857142857143
5358,38,-37.6714285714286,13.0,0.5714285714285714
5464,39,-29.06428571428573,14.0,0.7142857142857143
5614,40,-29.364285714285735,8.0,0.7142857142857143
5764,41,-30.814285714285717,14.0,0.7142857142857143
5914,42,-43.92142857142856,17.0,0.5714285714285714
6064,43,-40.67142857142859,17.0,0.5714285714285714
6214,44,-30.56428571428574,8.0,0.7142857142857143
6364,45,-36.621428571428545,13.0,0.5714285714285714
6514,46,-47.12857142857139,17.0,0.42857142857142855
6632,47,-25.007142857142856,10.0,0.8571428571428571
6727,48,-24.7642857142857,9.0,0.7142857142857143
6877,49,-16.05714285714287,4.0,0.8571428571428571
7027,50,-29.21428571428572,14.0,0.7142857142857143
7177,51,-29.314285714285717,14.0,0.7142857142857143
7327,52,-33.72142857142853,13.0,0.5714285714285714
7477,53,-6.449999999999995,0.0,1.0
7627,54,-24.714285714285737,7.0,0.7142857142857143
7777,55,-25.207142857142863,10.0,0.8571428571428571
7914,56,-35.471428571428554,13.0,0.5714285714285714
8064,57,-22.257142857142885,4.0,0.8571428571428571
8186,58,-14.907142857142865,4.0,0.8571428571428571
8336,59,-17.907142857142883,4.0,0.8571428571428571
8486,60,-21.407142857142887,10.0,0.8571428571428571
8636,61,-44.92857142857137,17.0,0.42857142857142855
8786,62,-24.714285714285733,7.0,0.7142857142857143
