env_steps,episode,episode_return,WEL,ISR
150,1,-33.61428571428574,13.0,0.7142857142857143
300,2,-53.9785714285714,21.0,0.42857142857142855
450,3,-30.714285714285737,14.0,0.7142857142857143
600,4,-42.12142857142854,17.0,0.5714285714285714
750,5,-26.46428571428574,8.0,0.7142857142857143
895,6,-17.70714285714287,4.0,0.8571428571428571
1045,7,-29.41428571428571,14.0,0.7142857142857143
1195,8,-32.16428571428573,14.0,0.7142857142857143
1345,9,-35.02142857142855,17.0,0.5714285714285714
1495,10,-29.214285714285754,13.0,0.7142857142857143
1645,11,-36.57142857142848,17.0,0.5714285714285714
1795,12,-20.907142857142908,4.0,0.8571428571428571
1945,13,-40.671428571428464,20.0,0.5714285714285714
2095,14,-34.77142857142852,19.0,0.5714285714285714
2245,15,-31.014285714285748,14.0,0.7142857142857143
2395,16,-20.30714285714289,4.0,0.8571428571428571
2545,17,-46.028571428571325,23.0,0.42857142857142855
2645,18,-31.67142857142858,13.0,0.5714285714285714
2795,19,-23.81428571428575,7.0,0.7142857142857143
2945,20,-27.707142857142856,4.0,0.8571428571428571
3095,21,-42.42142857142852,20.0,0.5714285714285714
3245,22,-39.621428571428545,19.0,0.5714285714285714
3372,23,-33.47142857142857,19.0,0.5714285714285714
3374,24,0.05,0.0,1.0
3524,25,-32.82142857142853,19.0,0.5714285714285714
3674,26,-45.72857142857135,23.0,0.42857142857142855
3824,27,-38.221428571428525,19.0,0.5714285714285714
3974,28,-33.97142857142856,13.0,0.5714285714285714
4124,29,-34.321428571428505,19.0,0.5714285714285714
4274,30,-44.478571428571385,23.0,0.42857142857142855
4424,31,-33.21428571428574,13.0,0.7142857142857143
4574,32,-19.60714285714288,4.0,0.8571428571428571
4724,33,-24.707142857142873,4.0,0.8571428571428571
4874,34,-41.12857142857137,17.0,0.42857142857142855
5024,35,-16.507142857142888,4.0,0.8571428571428571
5174,36,-37.921428571428514,19.0,0.5714285714285714
5324,37,-24.61428571428575,8.0,0.7142857142857143
5385,38,-17.11428571428572,9.0,0.7142857142857143
5535,39,-32.51428571428576,14.0,0.7142857142857143
5685,40,-41.364285714285714,14.0,0.7142857142857143
5835,41,-41.9785714285714,23.0,0.42857142857142855
5985,42,-37.02142857142853,13.0,0.5714285714285714
6135,43,-20.864285714285753,9.0,0.7142857142857143
6285,44,-32.564285714285745,8.0,0.7142857142857143
6435,45,-26.764285714285737,8.0,0.7142857142857143
6585,46,-44.86428571428572,14.0,0.7142857142857143
6735,47,-21.51428571428575,9.0,0.7142857142857143
6885,48,-42.27857142857134,23.0,0.42857142857142855
7035,49,-20.364285714285728,7.0,0.7142857142857143
7185,50,-35.321428571428505,19.0,0.5714285714285714
7335,51,-20.907142857142915,10.0,0.8571428571428571
7485,52,-30.614285714285728,14.0,0.7142857142857143
7590,53,-1.5000000000000009,0.0,1.0
7633,54,-16.91428571428572,9.0,0.7142857142857143
7783,55,-46.22857142857138,23.0,0.42857142857142855
7933,56,-36.67142857142851,19.0,0.5714285714285714
8083,57,-32.02142857142857,13.0,0.5714285714285714
8198,58,-43.32857142857143,23.0,0.42857142857142855
8348,59,-15.30714285714287,4.0,0.8571428571428571
8498,60,-47.52857142857133,23.0,0.42857142857142855
8648,61,-38.67142857142859,13.0,0.5714285714285714
8798,62,-43.67857142857139,23.0,0.42857142857142855
8948,63,-26.314285714285763,13.0,0.7142857142857143
9098,64,-22.56428571428575,9.0,0.7142857142857143
9248,65,-33.7214285714285,19.0,0.5714285714285714
9321,66,-28.714285714285722,14.0,0.7142857142857143
9471,67,-25.714285714285747,8.0,0.7142857142857143
9621,68,-39.92142857142859,17.0,0.5714285714285714
9731,69,-36.27142857142849,19.0,0.5714285714285714
9881,70,-27.91428571428572,13.0,0.7142857142857143
10031,71,-6.299999999999997,0.0,1.0
10164,72,-25.164285714285743,13.0,0.7142857142857143
10288,73,-34.47142857142848,19.0,0.5714285714285714
10418,74,-6.599999999999989,0.0,1.0
10530,75,-21.26428571428572,7.0,0.7142857142857143
10680,76,-29.51428571428573,8.0,0.7142857142857143
10830,77,-36.52142857142849,19.0,0.5714285714285714
10980,78,-25.564285714285756,13.0,0.7142857142857143
11130,79,-36.37142857142851,17.0,0.5714285714285714
11280,80,-36.77142857142849,19.0,0.5714285714285714
11408,81,-20.91428571428574,9.0,0.7142857142857143
11506,82,-34.42142857142852,19.0,0.5714285714285714
11656,83,-46.02857142857135,23.0,0.42857142857142855
11806,84,-24.464285714285726,9.0,0.7142857142857143
11956,85,-19.307142857142868,4.0,0.8571428571428571
12106,86,-37.92142857142848,19.0,0.5714285714285714
12256,87,-24.70714285714289,4.0,0.8571428571428571
12344,88,-34.72142857142852,19.0,0.5714285714285714
12351,89,0.05,0.0,1.0
12501,90,-18.307142857142868,4.0,0.8571428571428571
12651,91,-24.764285714285784,9.0,0.7142857142857143
12801,92,-33.57142857142851,19.0,0.5714285714285714
12951,93,-23.614285714285746,13.0,0.7142857142857143
13032,94,-45.028571428571404,23.0,0.42857142857142855
13182,95,-33.72142857142853,13.0,0.5714285714285714
13332,96,-21.007142857142885,4.0,0.8571428571428571
13428,97,-14.957142857142863,4.0,0.8571428571428571
13578,98,-12.600000000000009,0.0,1.0
13680,99,-34.32142857142853,19.0,0.5714285714285714
13830,100,-16.357142857142865,4.0,0.8571428571428571
13921,101,-40.678571428571395,23.0,0.42857142857142855
14071,102,-29.421428571428606,13.0,0.5714285714285714
14221,103,-18.75714285714288,4.0,0.8571428571428571
14334,104,-30.671428571428574,13.0,0.5714285714285714
14484,105,-17.607142857142883,10.0,0.8571428571428571
14568,106,-33.121428571428545,19.0,0.5714285714285714
14668,107,-19.46428571428576,9.0,0.7142857142857143
14818,108,-32.721428571428554,19.0,0.5714285714285714
14901,109,-35.421428571428564,19.0,0.5714285714285714
14977,110,-32.62142857142856,19.0,0.5714285714285714
15127,111,-40.62142857142852,19.0,0.5714285714285714
15254,112,-20.36428571428575,9.0,0.7142857142857143
15396,113,-33.67142857142856,19.0,0.5714285714285714
15546,114,-20.914285714285743,9.0,0.7142857142857143
15696,115,-23.814285714285717,8.0,0.7142857142857143
15846,116,-20.91428571428574,9.0,0.7142857142857143
15987,117,-13.857142857142879,4.0,0.8571428571428571
16137,118,-54.38571428571424,27.0,0.2857142857142857
16287,119,-45.07857142857138,23.0,0.42857142857142855
16437,120,-36.76428571428572,14.0,0.7142857142857143
16587,121,-26.66428571428576,9.0,0.7142857142857143
16737,122,-32.921428571428535,19.0,0.5714285714285714
16887,123,-15.35714285714286,4.0,0.8571428571428571
17037,124,-19.164285714285747,9.0,0.7142857142857143
17135,125,-23.46428571428572,9.0,0.7142857142857143
17285,126,-15.707142857142863,4.0,0.8571428571428571
17435,127,-31.82142857142859,13.0,0.5714285714285714
17585,128,-32.52142857142856,19.0,0.5714285714285714
17735,129,-27.61428571428571,8.0,0.7142857142857143
17865,130,-43.42857142857139,23.0,0.42857142857142855
18015,131,-28.221428571428593,13.0,0.5714285714285714
18153,132,-43.37857142857137,23.0,0.42857142857142855
18293,133,-7.999999999999998,0.0,1.0
18443,134,-30.071428571428598,13.0,0.5714285714285714
18574,135,-31.121428571428595,13.0,0.5714285714285714
18724,136,-22.61428571428576,9.0,0.7142857142857143
18806,137,-32.771428571428565,19.0,0.5714285714285714
18956,138,-37.464285714285715,14.0,0.7142857142857143
19094,139,-43.12857142857138,23.0,0.42857142857142855
19244,140,-45.521428571428615,17.0,0.5714285714285714
19394,141,-36.67142857142848,19.0,0.5714285714285714
19544,142,-33.32142857142851,19.0,0.5714285714285714
19694,143,-36.52142857142856,17.0,0.5714285714285714
19844,144,-42.671428571428564,19.0,0.5714285714285714
19994,145,-34.914285714285754,14.0,0.7142857142857143
19997,146,0.05,0.0,1.0
20110,147,-44.92857142857139,23.0,0.42857142857142855
20260,148,-37.27142857142849,19.0,0.5714285714285714
20410,149,-22.41428571428578,9.0,0.7142857142857143
20560,150,-21.16428571428575,9.0,0.7142857142857143
20710,151,-31.121428571428616,13.0,0.5714285714285714
20860,152,-33.721428571428575,13.0,0.5714285714285714
21010,153,-53.17857142857142,23.0,0.42857142857142855
21160,154,-31.764285714285737,13.0,0.7142857142857143
21235,155,-14.407142857142862,4.0,0.8571428571428571
21367,156,-20.66428571428571,9.0,0.7142857142857143
21517,157,-27.214285714285733,9.0,0.7142857142857143
21667,158,-13.250000000000007,0.0,1.0
21817,159,-23.664285714285732,8.0,0.7142857142857143
21967,160,-35.82142857142854,18.0,0.5714285714285714
22117,161,-48.27142857142853,17.0,0.5714285714285714
22118,162,0.05,0.0,1.0
22268,163,-36.071428571428555,17.0,0.5714285714285714
22418,164,-44.37857142857138,23.0,0.42857142857142855
22536,165,-29.114285714285717,14.0,0.7142857142857143
22686,166,-37.171428571428585,19.0,0.5714285714285714
22836,167,-35.27142857142847,19.0,0.5714285714285714
22986,168,-38.121428571428474,19.0,0.5714285714285714
23136,169,-43.728571428571314,23.0,0.42857142857142855
23223,170,-34.571428571428534,19.0,0.5714285714285714
23373,171,-35.87142857142854,18.0,0.5714285714285714
23490,172,-34.47142857142849,19.0,0.5714285714285714
23640,173,-37.071428571428555,19.0,0.5714285714285714
23790,174,-22.057142857142875,10.0,0.8571428571428571
23875,175,-30.971428571428582,19.0,0.5714285714285714
23974,176,-25.664285714285725,14.0,0.7142857142857143
24124,177,-36.6214285714285,19.0,0.5714285714285714
24274,178,-44.2785714285714,23.0,0.42857142857142855
24424,179,-36.621428571428545,13.0,0.5714285714285714
24570,180,-41.77857142857139,23.0,0.42857142857142855
24720,181,-30.614285714285753,13.0,0.7142857142857143
24870,182,-47.52857142857138,23.0,0.42857142857142855
25020,183,-50.428571428571395,23.0,0.42857142857142855
25170,184,-29.921428571428578,13.0,0.5714285714285714
25320,185,-39.371428571428496,19.0,0.5714285714285714
25470,186,-47.77857142857136,23.0,0.42857142857142855
25620,187,-32.214285714285715,14.0,0.7142857142857143
25761,188,-37.221428571428504,19.0,0.5714285714285714
25762,189,0.05,0.0,1.0
25912,190,-38.4214285714285,19.0,0.5714285714285714
25920,191,0.05,0.0,1.0
26070,192,-43.17857142857135,23.0,0.42857142857142855
26220,193,-47.978571428571314,23.0,0.42857142857142855
26370,194,-21.550000000000008,0.0,1.0
26520,195,-13.757142857142862,4.0,0.8571428571428571
26670,196,-31.921428571428585,13.0,0.5714285714285714
26820,197,-45.97857142857139,23.0,0.42857142857142855
26970,198,-22.51428571428575,9.0,0.7142857142857143
27120,199,-44.52857142857136,23.0,0.42857142857142855
27270,200,-38.921428571428486,19.0,0.5714285714285714
27420,201,-50.12857142857133,23.0,0.42857142857142855
27490,202,-32.77142857142855,19.0,0.5714285714285714
27640,203,-35.07142857142855,19.0,0.5714285714285714
27790,204,-41.578571428571365,17.0,0.42857142857142855
27940,205,-34.92142857142854,19.0,0.5714285714285714
28090,206,-22.31428571428573,9.0,0.7142857142857143
28240,207,-38.77142857142857,17.0,0.5714285714285714
28390,208,-35.82142857142852,19.0,0.5714285714285714
28520,209,-34.32142857142849,19.0,0.5714285714285714
28670,210,-38.8214285714285,19.0,0.5714285714285714
28820,211,-33.31428571428572,13.0,0.7142857142857143
28941,212,-35.02142857142851,19.0,0.5714285714285714
29091,213,-47.47857142857136,23.0,0.42857142857142855
29241,214,-38.67142857142846,19.0,0.5714285714285714
29391,215,-39.6214285714286,13.0,0.5714285714285714
29398,216,0.05000000000000002,0.0,1.0
29548,217,-20.407142857142883,4.0,0.8571428571428571
29698,218,-46.02857142857137,23.0,0.42857142857142855
29848,219,-36.62142857142849,19.0,0.5714285714285714
29998,220,-37.17142857142851,19.0,0.5714285714285714
30148,221,-38.67142857142852,19.0,0.5714285714285714
30298,222,-14.00714285714286,4.0,0.8571428571428571
30448,223,-45.928571428571374,23.0,0.42857142857142855
30598,224,-29.464285714285737,13.0,0.7142857142857143
30748,225,-29.02142857142859,13.0,0.5714285714285714
30898,226,-32.571428571428555,17.0,0.5714285714285714
31048,227,-46.92857142857138,23.0,0.42857142857142855
31072,228,-0.04999999999999995,0.0,1.0
31200,229,-34.12142857142853,19.0,0.5714285714285714
31350,230,-50.728571428571364,23.0,0.42857142857142855
31500,231,-17.80714285714288,4.0,0.8571428571428571
31650,232,-40.421428571428514,19.0,0.5714285714285714
31800,233,-41.77857142857131,23.0,0.42857142857142855
31950,234,-46.87857142857135,23.0,0.42857142857142855
32100,235,-37.071428571428505,19.0,0.5714285714285714
32250,236,-19.114285714285735,9.0,0.7142857142857143
32400,237,-5.549999999999993,0.0,1.0
32550,238,-12.007142857142876,3.0,0.8571428571428571
32687,239,-3.3999999999999977,0.0,1.0
32837,240,-21.107142857142914,10.0,0.8571428571428571
32987,241,-38.07142857142851,19.0,0.5714285714285714
33117,242,-33.421428571428564,19.0,0.5714285714285714
33264,243,-21.21428571428574,8.0,0.7142857142857143
33414,244,-20.764285714285748,9.0,0.7142857142857143
33564,245,-22.11428571428572,9.0,0.7142857142857143
33624,246,-31.321428571428577,19.0,0.5714285714285714
33774,247,-24.76428571428576,9.0,0.7142857142857143
33924,248,-24.107142857142886,10.0,0.8571428571428571
34074,249,-53.478571428571435,23.0,0.42857142857142855
34164,250,-34.021428571428515,19.0,0.5714285714285714
34314,251,-5.199999999999994,0.0,1.0
34377,252,-18.264285714285727,9.0,0.7142857142857143
34527,253,-22.41428571428576,9.0,0.7142857142857143
34677,254,-34.32142857142852,19.0,0.5714285714285714
34827,255,-15.707142857142868,4.0,0.8571428571428571
34977,256,-42.42857142857131,23.0,0.42857142857142855
35127,257,-50.828571428571415,23.0,0.42857142857142855
35233,258,-20.864285714285725,9.0,0.7142857142857143
35383,259,-28.96428571428574,8.0,0.7142857142857143
35533,260,-34.821428571428484,19.0,0.5714285714285714
35683,261,-17.857142857142875,10.0,0.8571428571428571
35756,262,-18.964285714285737,9.0,0.7142857142857143
35906,263,-18.214285714285726,9.0,0.7142857142857143
36039,264,-26.614285714285746,8.0,0.7142857142857143
36189,265,-23.514285714285744,8.0,0.7142857142857143
36226,266,-0.05000000000000002,0.0,1.0
36376,267,-46.62142857142859,20.0,0.5714285714285714
36473,268,-20.214285714285744,9.0,0.7142857142857143
36600,269,-17.157142857142883,4.0,0.8571428571428571
36750,270,-26.314285714285713,8.0,0.7142857142857143
36900,271,-41.128571428571455,23.0,0.42857142857142855
37050,272,-22.36428571428572,9.0,0.7142857142857143
37200,273,-35.97142857142851,19.0,0.5714285714285714
37350,274,-22.76428571428577,9.0,0.7142857142857143
37500,275,-25.514285714285755,13.0,0.7142857142857143
37586,276,-35.221428571428554,19.0,0.5714285714285714
37736,277,-35.271428571428544,19.0,0.5714285714285714
37886,278,-41.22857142857145,17.0,0.42857142857142855
38036,279,-32.42142857142858,13.0,0.5714285714285714
38186,280,-44.17142857142858,13.0,0.5714285714285714
38336,281,-27.721428571428582,13.0,0.5714285714285714
38478,282,-42.828571428571415,23.0,0.42857142857142855
38628,283,-16.607142857142872,3.0,0.8571428571428571
38714,284,-19.86428571428573,9.0,0.7142857142857143
38864,285,-6.449999999999991,0.0,1.0
39014,286,-33.471428571428525,19.0,0.5714285714285714
39164,287,-30.76428571428572,8.0,0.7142857142857143
39314,288,-33.87142857142853,13.0,0.5714285714285714
39464,289,-36.67142857142862,13.0,0.5714285714285714
39469,290,0.05,0.0,1.0
39517,291,-30.421428571428578,19.0,0.5714285714285714
39610,292,-5.1999999999999975,0.0,1.0
39612,293,0.05,0.0,1.0
39762,294,-45.22857142857135,23.0,0.42857142857142855
39912,295,-21.31428571428576,9.0,0.7142857142857143
39985,296,-34.92142857142857,19.0,0.5714285714285714
40135,297,-23.60714285714288,4.0,0.8571428571428571
40205,298,-33.121428571428545,19.0,0.5714285714285714
40352,299,-20.014285714285744,9.0,0.7142857142857143
40502,300,-28.114285714285742,14.0,0.7142857142857143
40652,301,-41.678571428571395,23.0,0.42857142857142855
40802,302,-18.957142857142877,10.0,0.8571428571428571
40927,303,-18.61428571428575,9.0,0.7142857142857143
41077,304,-34.37142857142853,19.0,0.5714285714285714
41181,305,-0.9500000000000006,0.0,1.0
41331,306,-33.87142857142861,13.0,0.5714285714285714
41481,307,-32.67142857142858,13.0,0.5714285714285714
41631,308,-10.44999999999999,0.0,1.0
41739,309,-12.457142857142857,4.0,0.8571428571428571
41889,310,-39.971428571428575,13.0,0.5714285714285714
41960,311,-25.61428571428572,14.0,0.7142857142857143
42031,312,0.05,0.0,1.0
42181,313,-35.72142857142849,19.0,0.5714285714285714
42271,314,-31.921428571428578,17.0,0.5714285714285714
42421,315,-34.46428571428568,7.0,0.7142857142857143
42571,316,-29.26428571428573,7.0,0.7142857142857143
42721,317,-19.814285714285756,9.0,0.7142857142857143
42871,318,-30.56428571428576,14.0,0.7142857142857143
42885,319,0.04999999999999999,0.0,1.0
42981,320,-19.864285714285725,8.0,0.7142857142857143
43131,321,-36.77142857142851,19.0,0.5714285714285714
43270,322,-19.414285714285725,9.0,0.7142857142857143
43420,323,-46.22142857142855,19.0,0.5714285714285714
43570,324,-15.907142857142865,4.0,0.8571428571428571
43657,325,-0.2,0.0,1.0
43807,326,-55.428571428571416,23.0,0.42857142857142855
43919,327,-30.66428571428573,14.0,0.7142857142857143
44069,328,-14.65714285714288,4.0,0.8571428571428571
44219,329,-23.807142857142892,4.0,0.8571428571428571
44369,330,-4.7999999999999945,0.0,1.0
44519,331,-19.86428571428574,9.0,0.7142857142857143
44669,332,-27.414285714285736,8.0,0.7142857142857143
44751,333,-14.057142857142859,4.0,0.8571428571428571
44901,334,-14.707142857142866,4.0,0.8571428571428571
44979,335,-19.714285714285733,9.0,0.7142857142857143
45129,336,-18.507142857142895,10.0,0.8571428571428571
45279,337,-20.664285714285747,9.0,0.7142857142857143
45420,338,-32.47142857142856,19.0,0.5714285714285714
45570,339,-24.814285714285752,9.0,0.7142857142857143
45720,340,-37.27142857142855,13.0,0.5714285714285714
45810,341,-22.914285714285732,9.0,0.7142857142857143
45891,342,-12.957142857142866,4.0,0.8571428571428571
46041,343,-40.62142857142847,19.0,0.5714285714285714
46191,344,-37.76428571428564,14.0,0.7142857142857143
46284,345,-33.271428571428565,19.0,0.5714285714285714
46434,346,-43.278571428571404,23.0,0.42857142857142855
46584,347,-19.06428571428574,9.0,0.7142857142857143
46734,348,-42.21428571428567,14.0,0.7142857142857143
46839,349,-19.514285714285744,9.0,0.7142857142857143
46989,350,-17.40714285714288,4.0,0.8571428571428571
47139,351,-29.064285714285756,9.0,0.7142857142857143
47289,352,-21.214285714285747,9.0,0.7142857142857143
47340,353,-0.7000000000000001,0.0,1.0
47490,354,-16.25714285714287,4.0,0.8571428571428571
47640,355,-24.664285714285754,9.0,0.7142857142857143
47790,356,-44.52857142857138,23.0,0.42857142857142855
47872,357,-20.514285714285744,9.0,0.7142857142857143
48022,358,-44.37857142857138,23.0,0.42857142857142855
48172,359,-44.728571428571385,23.0,0.42857142857142855
48322,360,-47.97857142857136,23.0,0.42857142857142855
48472,361,-38.27142857142848,19.0,0.5714285714285714
48622,362,-42.5285714285714,23.0,0.42857142857142855
48772,363,-34.57142857142849,19.0,0.5714285714285714
48922,364,-44.07857142857136,23.0,0.42857142857142855
49072,365,-1.0500000000000003,0.0,1.0
49196,366,-45.478571428571385,23.0,0.42857142857142855
49322,367,-17.91428571428572,9.0,0.7142857142857143
