env_steps,episode,episode_return,WEL,ISR
150,1,-47.66666666666667,31.0,0.16666666666666666
293,2,-47.66666666666667,31.0,0.16666666666666666
443,3,-47.66666666666667,31.0,0.16666666666666666
591,4,-47.66666666666667,31.0,0.16666666666666666
741,5,-38.333333333333336,25.0,0.3333333333333333
891,6,-38.333333333333336,25.0,0.3333333333333333
1041,7,-44.66666666666667,28.0,0.16666666666666666
1182,8,-54.099999999999994,34.0,0.0
1320,9,-44.66666666666667,28.0,0.16666666666666666
1470,10,-47.66666666666667,31.0,0.16666666666666666
1620,11,-54.0,34.0,0.0
1770,12,-38.333333333333336,25.0,0.3333333333333333
1920,13,-47.66666666666667,31.0,0.16666666666666666
2059,14,-47.66666666666667,31.0,0.16666666666666666
2209,15,-47.66666666666667,31.0,0.16666666666666666
2359,16,-41.333333333333336,28.0,0.3333333333333333
2509,17,-47.66666666666667,31.0,0.16666666666666666
2620,18,-18.766666666666666,12.0,0.6666666666666666
2770,19,-47.66666666666667,31.0,0.16666666666666666
2920,20,-38.333333333333336,25.0,0.3333333333333333
3052,21,-47.66666666666667,31.0,0.16666666666666666
3202,22,-47.66666666666667,31.0,0.16666666666666666
3352,23,-54.0,34.0,0.0
3502,24,-47.66666666666667,31.0,0.16666666666666666
3652,25,-34.333333333333336,21.0,0.3333333333333333
3800,26,-54.0,34.0,0.0
3947,27,-47.66666666666667,31.0,0.16666666666666666
4097,28,-54.0,34.0,0.0
4247,29,-54.0,34.0,0.0
4385,30,-54.0,34.0,0.0
4535,31,-44.66666666666667,28.0,0.16666666666666666
4685,32,-47.66666666666667,31.0,0.16666666666666666
4835,33,-54.0,34.0,0.0
4984,34,-54.0,34.0,0.0
5125,35,-41.333333333333336,28.0,0.3333333333333333
5275,36,-34.333333333333336,21.0,0.3333333333333333
5425,37,-38.333333333333336,25.0,0.3333333333333333
5575,38,-47.66666666666667,31.0,0.16666666666666666
5725,39,-38.333333333333336,25.0,0.3333333333333333
5875,40,-34.333333333333336,21.0,0.3333333333333333
6008,41,-47.66666666666667,31.0,0.16666666666666666
6158,42,-44.66666666666667,28.0,0.16666666666666666
6308,43,-47.66666666666667,31.0,0.16666666666666666
6456,44,-47.66666666666667,31.0,0.16666666666666666
6606,45,-25.0,15.0,0.5
6756,46,-47.66666666666667,31.0,0.16666666666666666
6906,47,-47.66666666666667,31.0,0.16666666666666666
7043,48,-41.333333333333336,28.0,0.3333333333333333
7193,49,-38.43333333333334,25.0,0.3333333333333333
7343,50,-34.333333333333336,21.0,0.3333333333333333
7493,51,-47.66666666666667,31.0,0.16666666666666666
7643,52,-47.66666666666667,31.0,0.16666666666666666
7793,53,-47.66666666666667,31.0,0.16666666666666666
7943,54,-47.66666666666667,31.0,0.16666666666666666
8093,55,-47.66666666666667,31.0,0.16666666666666666
8229,56,-47.66666666666667,31.0,0.16666666666666666
8379,57,-28.0,18.0,0.5
8529,58,-18.666666666666668,12.0,0.6666666666666666
8679,59,-31.333333333333336,18.0,0.3333333333333333
8829,60,-34.333333333333336,21.0,0.3333333333333333
8979,61,-47.66666666666667,31.0,0.16666666666666666
9129,62,-34.333333333333336,21.0,0.3333333333333333
9279,63,-40.66666666666667,24.0,0.16666666666666666
9429,64,-47.66666666666667,31.0,0.16666666666666666
9579,65,-54.10000000000001,34.0,0.0
9729,66,-34.333333333333336,21.0,0.3333333333333333
9879,67,-40.66666666666667,24.0,0.16666666666666666
10029,68,-38.333333333333336,25.0,0.3333333333333333
10179,69,-47.66666666666667,31.0,0.16666666666666666
10329,70,-54.0,34.0,0.0
10479,71,-28.0,18.0,0.5
10629,72,-34.333333333333336,21.0,0.3333333333333333
10779,73,-54.0,34.0,0.0
10929,74,-40.66666666666667,24.0,0.16666666666666666
11079,75,-34.333333333333336,21.0,0.3333333333333333
11229,76,-18.666666666666668,12.0,0.6666666666666666
11379,77,-47.66666666666667,31.0,0.16666666666666666
11529,78,-34.333333333333336,21.0,0.3333333333333333
11679,79,-34.333333333333336,21.0,0.3333333333333333
11829,80,-34.333333333333336,21.0,0.3333333333333333
11979,81,-34.333333333333336,21.0,0.3333333333333333
12127,82,-47.66666666666667,31.0,0.16666666666666666
12277,83,-40.66666666666667,24.0,0.16666666666666666
12427,84,-38.333333333333336,25.0,0.3333333333333333
12577,85,-41.333333333333336,28.0,0.3333333333333333
12727,86,-38.333333333333336,25.0,0.3333333333333333
12877,87,-32.0,22.0,0.5
13016,88,-47.66666666666667,31.0,0.16666666666666666
13166,89,-18.766666666666666,12.0,0.6666666666666666
13316,90,-18.666666666666668,12.0,0.6666666666666666
13466,91,-41.333333333333336,28.0,0.3333333333333333
13616,92,-47.66666666666667,31.0,0.16666666666666666
13766,93,-34.333333333333336,21.0,0.3333333333333333
13916,94,-34.43333333333334,21.0,0.3333333333333333
14066,95,-47.66666666666667,31.0,0.16666666666666666
14216,96,-28.0,18.0,0.5
14366,97,-41.333333333333336,28.0,0.3333333333333333
14516,98,-25.0,15.0,0.5
14666,99,-47.66666666666667,31.0,0.16666666666666666
14816,100,-41.333333333333336,28.0,0.3333333333333333
14966,101,-34.333333333333336,21.0,0.3333333333333333
15116,102,-47.66666666666667,31.0,0.16666666666666666
15266,103,-40.66666666666667,24.0,0.16666666666666666
15416,104,-31.333333333333336,18.0,0.3333333333333333
15566,105,-34.333333333333336,21.0,0.3333333333333333
15716,106,-47.66666666666667,31.0,0.16666666666666666
15866,107,-47.66666666666667,31.0,0.16666666666666666
16016,108,-41.333333333333336,28.0,0.3333333333333333
16166,109,-28.0,18.0,0.5
16316,110,-47.66666666666667,31.0,0.16666666666666666
16466,111,-32.0,22.0,0.5
16616,112,-34.333333333333336,21.0,0.3333333333333333
16766,113,-29.0,19.0,0.5
16916,114,-47.66666666666667,31.0,0.16666666666666666
17066,115,-34.333333333333336,21.0,0.3333333333333333
17216,116,-41.333333333333336,28.0,0.3333333333333333
17366,117,-18.666666666666668,12.0,0.6666666666666666
17516,118,-34.333333333333336,21.0,0.3333333333333333
17666,119,-32.0,22.0,0.5
17816,120,-41.333333333333336,28.0,0.3333333333333333
17966,121,-47.66666666666667,31.0,0.16666666666666666
18099,122,-47.66666666666667,31.0,0.16666666666666666
18249,123,-38.333333333333336,25.0,0.3333333333333333
18399,124,-47.66666666666667,31.0,0.16666666666666666
18549,125,-32.0,22.0,0.5
18699,126,-18.666666666666668,12.0,0.6666666666666666
18849,127,-34.333333333333336,21.0,0.3333333333333333
18999,128,-41.333333333333336,28.0,0.3333333333333333
19149,129,-29.0,19.0,0.5
19299,130,-41.333333333333336,28.0,0.3333333333333333
19449,131,-18.666666666666668,12.0,0.6666666666666666
19578,132,-44.66666666666667,28.0,0.16666666666666666
19728,133,-32.0,22.0,0.5
19878,134,-25.0,15.0,0.5
20028,135,-18.666666666666668,12.0,0.6666666666666666
20134,136,-9.333333333333332,6.0,0.8333333333333334
20278,137,-47.66666666666667,31.0,0.16666666666666666
20428,138,-38.333333333333336,25.0,0.3333333333333333
20571,139,-32.0,22.0,0.5
20719,140,-38.333333333333336,25.0,0.3333333333333333
20869,141,-35.333333333333336,22.0,0.3333333333333333
21002,142,-47.66666666666667,31.0,0.16666666666666666
21152,143,-38.43333333333333,25.0,0.3333333333333333
21302,144,-18.666666666666668,12.0,0.6666666666666666
21452,145,-47.66666666666667,31.0,0.16666666666666666
21602,146,-25.0,15.0,0.5
21752,147,-38.333333333333336,25.0,0.3333333333333333
21902,148,-22.666666666666668,16.0,0.6666666666666666
22038,149,-41.333333333333336,28.0,0.3333333333333333
22188,150,-34.333333333333336,21.0,0.3333333333333333
22338,151,-32.0,22.0,0.5
22488,152,-22.0,12.0,0.5
22638,153,-31.333333333333336,18.0,0.3333333333333333
22788,154,-25.0,15.0,0.5
22938,155,-40.66666666666667,24.0,0.16666666666666666
23088,156,-40.66666666666667,24.0,0.16666666666666666
23238,157,-32.0,22.0,0.5
23388,158,-38.333333333333336,25.0,0.3333333333333333
23538,159,-31.333333333333336,18.0,0.3333333333333333
23688,160,-25.0,15.0,0.5
23838,161,-18.666666666666668,12.0,0.6666666666666666
23988,162,-25.0,15.0,0.5
24138,163,-25.0,15.0,0.5
24288,164,-54.0,34.0,0.0
24438,165,-31.333333333333336,18.0,0.3333333333333333
24588,166,-44.66666666666667,28.0,0.16666666666666666
24738,167,-38.333333333333336,25.0,0.3333333333333333
24888,168,-9.333333333333332,6.0,0.8333333333333334
25038,169,-32.0,22.0,0.5
25188,170,-47.66666666666667,31.0,0.16666666666666666
25334,171,-32.0,22.0,0.5
25484,172,-32.0,22.0,0.5
25634,173,-34.333333333333336,21.0,0.3333333333333333
25784,174,-34.333333333333336,21.0,0.3333333333333333
25934,175,-38.333333333333336,25.0,0.3333333333333333
26084,176,-34.333333333333336,21.0,0.3333333333333333
26234,177,-29.0,19.0,0.5
26384,178,-25.0,15.0,0.5
26534,179,-31.333333333333336,18.0,0.3333333333333333
26684,180,-34.333333333333336,21.0,0.3333333333333333
26834,181,-34.333333333333336,21.0,0.3333333333333333
26984,182,-25.0,15.0,0.5
27134,183,-25.0,15.0,0.5
27284,184,-40.66666666666667,24.0,0.16666666666666666
27434,185,-32.0,22.0,0.5
