env_steps,episode,episode_return,WEL,ISR
150,1,-41.285714285714285,27.0,0.2857142857142857
300,2,-41.285714285714285,27.0,0.2857142857142857
450,3,-41.285714285714285,27.0,0.2857142857142857
600,4,-41.285714285714285,27.0,0.2857142857142857
750,5,-41.285714285714285,27.0,0.2857142857142857
900,6,-41.285714285714285,27.0,0.2857142857142857
1050,7,-41.285714285714285,27.0,0.2857142857142857
1200,8,-41.285714285714285,27.0,0.2857142857142857
1350,9,-41.285714285714285,27.0,0.2857142857142857
1500,10,-34.42857142857143,23.0,0.42857142857142855
1650,11,-41.285714285714285,27.0,0.2857142857142857
1800,12,-41.285714285714285,27.0,0.2857142857142857
1950,13,-41.28571428571429,27.0,0.2857142857142857
2100,14,-41.285714285714285,27.0,0.2857142857142857
2250,15,-41.38571428571428,27.0,0.2857142857142857
2400,16,-41.285714285714285,27.0,0.2857142857142857
2550,17,-41.285714285714285,27.0,0.2857142857142857
2700,18,-41.28571428571429,27.0,0.2857142857142857
2850,19,-41.285714285714285,27.0,0.2857142857142857
3000,20,-41.285714285714285,27.0,0.2857142857142857
3150,21,-41.285714285714285,27.0,0.2857142857142857
3300,22,-34.42857142857143,23.0,0.42857142857142855
3450,23,-41.285714285714285,27.0,0.2857142857142857
3600,24,-41.28571428571429,27.0,0.2857142857142857
3750,25,-41.285714285714285,27.0,0.2857142857142857
3900,26,-41.285714285714285,27.0,0.2857142857142857
4050,27,-41.285714285714285,27.0,0.2857142857142857
4200,28,-41.285714285714285,27.0,0.2857142857142857
4350,29,-41.285714285714285,27.0,0.2857142857142857
4500,30,-41.285714285714285,27.0,0.2857142857142857
4650,31,-34.42857142857143,23.0,0.42857142857142855
4800,32,-41.285714285714285,27.0,0.2857142857142857
4950,33,-41.285714285714285,27.0,0.2857142857142857
5100,34,-41.285714285714285,27.0,0.2857142857142857
5250,35,-34.42857142857143,23.0,0.42857142857142855
5400,36,-34.42857142857143,23.0,0.42857142857142855
5550,37,-41.285714285714285,27.0,0.2857142857142857
5700,38,-41.285714285714285,27.0,0.2857142857142857
5850,39,-34.42857142857143,23.0,0.42857142857142855
6000,40,-34.42857142857143,23.0,0.42857142857142855
6150,41,-41.38571428571428,27.0,0.2857142857142857
6300,42,-41.285714285714285,27.0,0.2857142857142857
6450,43,-34.42857142857143,23.0,0.42857142857142855
6600,44,-34.42857142857143,23.0,0.42857142857142855
6750,45,-34.42857142857143,23.0,0.42857142857142855
6900,46,-41.28571428571429,27.0,0.2857142857142857
7050,47,-34.42857142857143,23.0,0.42857142857142855
7200,48,-34.42857142857143,23.0,0.42857142857142855
7350,49,-41.285714285714285,27.0,0.2857142857142857
7500,50,-34.42857142857143,23.0,0.42857142857142855
7650,51,-34.42857142857143,23.0,0.42857142857142855
7800,52,-34.42857142857143,23.0,0.42857142857142855
7950,53,-34.42857142857143,23.0,0.42857142857142855
8100,54,-34.42857142857143,23.0,0.42857142857142855
8250,55,-34.42857142857143,23.0,0.42857142857142855
8400,56,-41.285714285714285,27.0,0.2857142857142857
8550,57,-34.42857142857143,23.0,0.42857142857142855
8700,58,-34.42857142857143,23.0,0.42857142857142855
8850,59,-41.285714285714285,27.0,0.2857142857142857
9000,60,-34.42857142857143,23.0,0.42857142857142855
9150,61,-34.42857142857143,23.0,0.42857142857142855
9300,62,-34.42857142857143,23.0,0.42857142857142855
9450,63,-41.285714285714285,27.0,0.2857142857142857
9600,64,-34.42857142857143,23.0,0.42857142857142855
9750,65,-41.285714285714285,27.0,0.2857142857142857
9900,66,-41.285714285714285,27.0,0.2857142857142857
10050,67,-34.42857142857143,23.0,0.42857142857142855
10200,68,-34.42857142857143,23.0,0.42857142857142855
10350,69,-34.42857142857143,23.0,0.42857142857142855
10500,70,-34.42857142857143,23.0,0.42857142857142855
10650,71,-34.42857142857143,23.0,0.42857142857142855
10800,72,-34.42857142857143,23.0,0.42857142857142855
10950,73,-34.42857142857143,23.0,0.42857142857142855
11100,74,-34.42857142857143,23.0,0.42857142857142855
11250,75,-34.42857142857143,23.0,0.42857142857142855
11400,76,-34.42857142857143,23.0,0.42857142857142855
11550,77,-34.52857142857143,23.0,0.42857142857142855
11700,78,-34.42857142857143,23.0,0.42857142857142855
11850,79,-34.42857142857143,23.0,0.42857142857142855
12000,80,-34.42857142857143,23.0,0.42857142857142855
12150,81,-34.42857142857143,23.0,0.42857142857142855
12300,82,-34.42857142857143,23.0,0.42857142857142855
12450,83,-34.42857142857143,23.0,0.42857142857142855
12600,84,-34.42857142857143,23.0,0.42857142857142855
12750,85,-34.42857142857143,23.0,0.42857142857142855
12900,86,-34.42857142857143,23.0,0.42857142857142855
13050,87,-27.571428571428573,19.0,0.5714285714285714
13200,88,-41.385714285714286,27.0,0.2857142857142857
13350,89,-41.285714285714285,27.0,0.2857142857142857
13500,90,-28.42857142857143,17.0,0.42857142857142855
13650,91,-41.285714285714285,27.0,0.2857142857142857
13800,92,-34.42857142857143,23.0,0.42857142857142855
13950,93,-34.42857142857143,23.0,0.42857142857142855
14100,94,-34.42857142857143,23.0,0.42857142857142855
14250,95,-34.42857142857143,23.0,0.42857142857142855
14400,96,-34.42857142857143,23.0,0.42857142857142855
14550,97,-34.42857142857143,23.0,0.42857142857142855
14700,98,-34.42857142857143,23.0,0.42857142857142855
14850,99,-34.42857142857143,23.0,0.42857142857142855
15000,100,-34.42857142857143,23.0,0.42857142857142855
15150,101,-34.42857142857143,23.0,0.42857142857142855
15300,102,-34.42857142857143,23.0,0.42857142857142855
15450,103,-27.571428571428573,19.0,0.5714285714285714
15600,104,-28.571428571428577,20.0,0.5714285714285714
15750,105,-34.42857142857143,23.0,0.42857142857142855
15900,106,-34.42857142857143,23.0,0.42857142857142855
16050,107,-34.42857142857143,23.0,0.42857142857142855
16200,108,-41.285714285714285,27.0,0.2857142857142857
16350,109,-27.571428571428577,19.0,0.5714285714285714
16500,110,-34.42857142857143,23.0,0.42857142857142855
16650,111,-34.42857142857143,23.0,0.42857142857142855
16800,112,-27.571428571428573,19.0,0.5714285714285714
16950,113,-27.571428571428573,19.0,0.5714285714285714
17100,114,-27.571428571428577,19.0,0.5714285714285714
17250,115,-34.42857142857143,23.0,0.42857142857142855
17400,116,-34.52857142857143,23.0,0.42857142857142855
17402,117,0.0,0.0,1.0
17552,118,-28.42857142857143,17.0,0.42857142857142855
17702,119,-41.285714285714285,27.0,0.2857142857142857
17852,120,-34.42857142857143,23.0,0.42857142857142855
18002,121,-34.42857142857143,23.0,0.42857142857142855
18152,122,-34.42857142857143,23.0,0.42857142857142855
18302,123,-34.42857142857143,23.0,0.42857142857142855
18452,124,-27.571428571428573,19.0,0.5714285714285714
18602,125,-34.42857142857143,23.0,0.42857142857142855
18752,126,-34.42857142857143,23.0,0.42857142857142855
18902,127,-34.42857142857143,23.0,0.42857142857142855
19052,128,-41.285714285714285,27.0,0.2857142857142857
19202,129,-19.714285714285715,14.0,0.7142857142857143
19352,130,-27.571428571428573,19.0,0.5714285714285714
19502,131,-27.571428571428577,19.0,0.5714285714285714
19652,132,-34.42857142857143,23.0,0.42857142857142855
19802,133,-34.42857142857143,23.0,0.42857142857142855
19952,134,-34.42857142857143,23.0,0.42857142857142855
20102,135,-27.571428571428577,19.0,0.5714285714285714
20252,136,-28.42857142857143,17.0,0.42857142857142855
20402,137,-41.285714285714285,27.0,0.2857142857142857
20552,138,-34.42857142857143,23.0,0.42857142857142855
20702,139,-34.42857142857143,23.0,0.42857142857142855
20852,140,-34.42857142857143,23.0,0.42857142857142855
21002,141,-34.528571428571425,23.0,0.42857142857142855
21152,142,-34.42857142857143,23.0,0.42857142857142855
21302,143,-34.42857142857143,23.0,0.42857142857142855
21452,144,-34.42857142857143,23.0,0.42857142857142855
21602,145,-41.285714285714285,27.0,0.2857142857142857
21606,146,0.0,0.0,1.0
21756,147,-34.528571428571425,23.0,0.42857142857142855
21906,148,-34.42857142857143,23.0,0.42857142857142855
22056,149,-27.571428571428573,19.0,0.5714285714285714
22206,150,-27.571428571428573,19.0,0.5714285714285714
