env_steps,episode,episode_return,WEL,ISR
150,1,-54.0,34.0,0.0
287,2,-32.0,22.0,0.5
437,3,-47.66666666666667,31.0,0.16666666666666666
563,4,-54.0,34.0,0.0
705,5,-47.66666666666667,31.0,0.16666666666666666
855,6,-47.66666666666667,31.0,0.16666666666666666
1005,7,-47.66666666666667,31.0,0.16666666666666666
1144,8,-25.0,15.0,0.5
1294,9,-38.333333333333336,25.0,0.3333333333333333
1444,10,-41.333333333333336,28.0,0.3333333333333333
1589,11,-47.66666666666667,31.0,0.16666666666666666
1739,12,-40.66666666666667,24.0,0.16666666666666666
1889,13,-32.0,22.0,0.5
2036,14,-47.66666666666667,31.0,0.16666666666666666
2186,15,-44.66666666666667,28.0,0.16666666666666666
2336,16,-54.0,34.0,0.0
2486,17,-41.333333333333336,28.0,0.3333333333333333
2636,18,-38.333333333333336,25.0,0.3333333333333333
2786,19,-47.66666666666667,31.0,0.16666666666666666
2936,20,-47.66666666666667,31.0,0.16666666666666666
3086,21,-47.66666666666667,31.0,0.16666666666666666
3236,22,-47.66666666666667,31.0,0.16666666666666666
3386,23,-47.66666666666667,31.0,0.16666666666666666
3518,24,-54.0,34.0,0.0
3668,25,-54.0,34.0,0.0
3800,26,-41.333333333333336,28.0,0.3333333333333333
3950,27,-54.0,34.0,0.0
4100,28,-47.66666666666667,31.0,0.16666666666666666
4250,29,-47.66666666666667,31.0,0.16666666666666666
4381,30,-41.333333333333336,28.0,0.3333333333333333
4530,31,-54.0,34.0,0.0
4680,32,-47.66666666666667,31.0,0.16666666666666666
4830,33,-47.66666666666667,31.0,0.16666666666666666
4980,34,-54.0,34.0,0.0
5130,35,-47.66666666666667,31.0,0.16666666666666666
5280,36,-47.66666666666667,31.0,0.16666666666666666
5430,37,-54.0,34.0,0.0
5580,38,-47.66666666666667,31.0,0.16666666666666666
5730,39,-54.0,34.0,0.0
5880,40,-28.0,18.0,0.5
6030,41,-54.0,34.0,0.0
6180,42,-47.66666666666667,31.0,0.16666666666666666
6330,43,-41.333333333333336,28.0,0.3333333333333333
6467,44,-47.66666666666667,31.0,0.16666666666666666
6617,45,-47.66666666666667,31.0,0.16666666666666666
6760,46,-40.66666666666667,24.0,0.16666666666666666
6910,47,-25.0,15.0,0.5
7060,48,-32.0,22.0,0.5
7210,49,-41.333333333333336,28.0,0.3333333333333333
7333,50,-47.66666666666667,31.0,0.16666666666666666
7483,51,-47.66666666666667,31.0,0.16666666666666666
7633,52,-44.66666666666667,28.0,0.16666666666666666
7783,53,-47.66666666666667,31.0,0.16666666666666666
7933,54,-47.66666666666667,31.0,0.16666666666666666
8083,55,-47.66666666666667,31.0,0.16666666666666666
8231,56,-40.76666666666667,24.0,0.16666666666666666
8381,57,-34.333333333333336,21.0,0.3333333333333333
8531,58,-47.66666666666667,31.0,0.16666666666666666
8681,59,-54.0,34.0,0.0
