WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,region,condition
27.0,0.2857142857142857,1.0,483,-41.285714285714285,noop,saudi,,42,0,saudi,standard
27.0,0.2857142857142857,1.0,374,-41.285714285714285,noop,saudi,,42,1,saudi,standard
27.0,0.2857142857142857,1.0,441,-41.285714285714285,noop,saudi,,42,2,saudi,standard
27.0,0.2857142857142857,1.0,454,-41.285714285714285,noop,saudi,,42,3,saudi,standard
27.0,0.2857142857142857,1.0,428,-41.285714285714285,noop,saudi,,42,4,saudi,standard
27.0,0.2857142857142857,1.0,543,-41.285714285714285,noop,saudi,,42,5,saudi,standard
27.0,0.2857142857142857,1.0,493,-41.285714285714285,noop,saudi,,42,6,saudi,standard
27.0,0.2857142857142857,1.0,421,-41.285714285714285,noop,saudi,,42,7,saudi,standard
27.0,0.2857142857142857,1.0,459,-41.285714285714285,noop,saudi,,42,8,saudi,standard
27.0,0.2857142857142857,1.0,597,-41.285714285714285,noop,saudi,,42,9,saudi,standard
27.0,0.2857142857142857,1.0,526,-41.285714285714285,noop,saudi,,42,10,saudi,standard
27.0,0.2857142857142857,1.0,487,-41.285714285714285,noop,saudi,,42,11,saudi,standard
27.0,0.2857142857142857,1.0,606,-41.285714285714285,noop,saudi,,42,12,saudi,standard
27.0,0.2857142857142857,1.0,639,-41.285714285714285,noop,saudi,,42,13,saudi,standard
27.0,0.2857142857142857,1.0,524,-41.285714285714285,noop,saudi,,42,14,saudi,standard
27.0,0.2857142857142857,1.0,524,-41.285714285714285,noop,saudi,,1042,0,saudi,standard
27.0,0.2857142857142857,1.0,440,-41.285714285714285,noop,saudi,,1042,1,saudi,standard
27.0,0.2857142857142857,1.0,465,-41.285714285714285,noop,saudi,,1042,2,saudi,standard
27.0,0.2857142857142857,1.0,526,-41.285714285714285,noop,saudi,,1042,3,saudi,standard
27.0,0.2857142857142857,1.0,408,-41.285714285714285,noop,saudi,,1042,4,saudi,standard
27.0,0.2857142857142857,1.0,528,-41.28571428571429,noop,saudi,,1042,5,saudi,standard
27.0,0.2857142857142857,1.0,447,-41.285714285714285,noop,saudi,,1042,6,saudi,standard
27.0,0.2857142857142857,1.0,544,-41.285714285714285,noop,saudi,,1042,7,saudi,standard
27.0,0.2857142857142857,1.0,537,-41.28571428571429,noop,saudi,,1042,8,saudi,standard
27.0,0.2857142857142857,1.0,534,-41.285714285714285,noop,saudi,,1042,9,saudi,standard
27.0,0.2857142857142857,1.0,415,-41.285714285714285,noop,saudi,,1042,10,saudi,standard
27.0,0.2857142857142857,1.0,444,-41.285714285714285,noop,saudi,,1042,11,saudi,standard
27.0,0.2857142857142857,1.0,518,-41.285714285714285,noop,saudi,,1042,12,saudi,standard
27.0,0.2857142857142857,1.0,518,-41.285714285714285,noop,saudi,,1042,13,saudi,standard
27.0,0.2857142857142857,1.0,583,-41.285714285714285,noop,saudi,,1042,14,saudi,standard
27.0,0.2857142857142857,1.0,512,-41.285714285714285,noop,saudi,,2042,0,saudi,standard
27.0,0.2857142857142857,1.0,436,-41.285714285714285,noop,saudi,,2042,1,saudi,standard
27.0,0.2857142857142857,1.0,488,-41.285714285714285,noop,saudi,,2042,2,saudi,standard
27.0,0.2857142857142857,1.0,501,-41.285714285714285,noop,saudi,,2042,3,saudi,standard
27.0,0.2857142857142857,1.0,615,-41.285714285714285,noop,saudi,,2042,4,saudi,standard
27.0,0.2857142857142857,1.0,493,-41.285714285714285,noop,saudi,,2042,5,saudi,standard
27.0,0.2857142857142857,1.0,520,-41.285714285714285,noop,saudi,,2042,6,saudi,standard
27.0,0.2857142857142857,1.0,555,-41.285714285714285,noop,saudi,,2042,7,saudi,standard
27.0,0.2857142857142857,1.0,407,-41.285714285714285,noop,saudi,,2042,8,saudi,standard
27.0,0.2857142857142857,1.0,516,-41.285714285714285,noop,saudi,,2042,9,saudi,standard
27.0,0.2857142857142857,1.0,383,-41.285714285714285,noop,saudi,,2042,10,saudi,standard
27.0,0.2857142857142857,1.0,598,-41.285714285714285,noop,saudi,,2042,11,saudi,standard
27.0,0.2857142857142857,1.0,608,-41.28571428571429,noop,saudi,,2042,12,saudi,standard
27.0,0.2857142857142857,1.0,468,-41.285714285714285,noop,saudi,,2042,13,saudi,standard
27.0,0.2857142857142857,1.0,447,-41.285714285714285,noop,saudi,,2042,14,saudi,standard
27.0,0.2857142857142857,1.0,480,-41.285714285714285,noop,saudi,,3042,0,saudi,standard
27.0,0.2857142857142857,1.0,466,-41.28571428571429,noop,saudi,,3042,1,saudi,standard
27.0,0.2857142857142857,1.0,571,-41.285714285714285,noop,saudi,,3042,2,saudi,standard
27.0,0.2857142857142857,1.0,448,-41.285714285714285,noop,saudi,,3042,3,saudi,standard
27.0,0.2857142857142857,1.0,556,-41.285714285714285,noop,saudi,,3042,4,saudi,standard
27.0,0.2857142857142857,1.0,466,-41.285714285714285,noop,saudi,,3042,5,saudi,standard
27.0,0.2857142857142857,1.0,551,-41.285714285714285,noop,saudi,,3042,6,saudi,standard
27.0,0.2857142857142857,1.0,389,-41.285714285714285,noop,saudi,,3042,7,saudi,standard
27.0,0.2857142857142857,1.0,523,-41.285714285714285,noop,saudi,,3042,8,saudi,standard
27.0,0.2857142857142857,1.0,496,-41.285714285714285,noop,saudi,,3042,9,saudi,standard
27.0,0.2857142857142857,1.0,580,-41.28571428571429,noop,saudi,,3042,10,saudi,standard
27.0,0.2857142857142857,1.0,440,-41.285714285714285,noop,saudi,,3042,11,saudi,standard
27.0,0.2857142857142857,1.0,519,-41.285714285714285,noop,saudi,,3042,12,saudi,standard
27.0,0.2857142857142857,1.0,494,-41.285714285714285,noop,saudi,,3042,13,saudi,standard
27.0,0.2857142857142857,1.0,436,-41.285714285714285,noop,saudi,,3042,14,saudi,standard
27.0,0.2857142857142857,1.0,447,-41.285714285714285,noop,saudi,,4042,0,saudi,standard
27.0,0.2857142857142857,1.0,492,-41.28571428571429,noop,saudi,,4042,1,saudi,standard
27.0,0.2857142857142857,1.0,565,-41.285714285714285,noop,saudi,,4042,2,saudi,standard
27.0,0.2857142857142857,1.0,391,-41.285714285714285,noop,saudi,,4042,3,saudi,standard
27.0,0.2857142857142857,1.0,612,-41.285714285714285,noop,saudi,,4042,4,saudi,standard
27.0,0.2857142857142857,1.0,423,-41.285714285714285,noop,saudi,,4042,5,saudi,standard
27.0,0.2857142857142857,1.0,451,-41.285714285714285,noop,saudi,,4042,6,saudi,standard
27.0,0.2857142857142857,1.0,497,-41.285714285714285,noop,saudi,,4042,7,saudi,standard
27.0,0.2857142857142857,1.0,483,-41.285714285714285,noop,saudi,,4042,8,saudi,standard
27.0,0.2857142857142857,1.0,564,-41.285714285714285,noop,saudi,,4042,9,saudi,standard
27.0,0.2857142857142857,1.0,504,-41.285714285714285,noop,saudi,,4042,10,saudi,standard
27.0,0.2857142857142857,1.0,514,-41.285714285714285,noop,saudi,,4042,11,saudi,standard
27.0,0.2857142857142857,1.0,541,-41.285714285714285,noop,saudi,,4042,12,saudi,standard
27.0,0.2857142857142857,1.0,543,-41.285714285714285,noop,saudi,,4042,13,saudi,standard
27.0,0.2857142857142857,1.0,599,-41.285714285714285,noop,saudi,,4042,14,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,467,-26.571428571428577,value_first,saudi,,42,0,saudi,standard
27.0,0.2857142857142857,0.9977924944812362,349,-41.285714285714285,value_first,saudi,,42,1,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,428,-26.571428571428577,value_first,saudi,,42,2,saudi,standard
18.0,0.5714285714285714,1.0,431,-26.571428571428577,value_first,saudi,,42,3,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,412,-26.571428571428577,value_first,saudi,,42,4,saudi,standard
18.0,0.5714285714285714,0.9933774834437086,527,-26.571428571428573,value_first,saudi,,42,5,saudi,standard
